+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| CUUR0000SA0 | 1957 |  M12   |  28.4 |           |
| CUUR0000SA0 | 1957 |  M11   |  28.4 |           |
| CUUR0000SA0 | 1957 |  M10   |  28.3 |           |
| CUUR0000SA0 | 1957 |  M09   |  28.3 |           |
| CUUR0000SA0 | 1957 |  M08   |  28.3 |           |
| CUUR0000SA0 | 1957 |  M07   |  28.3 |           |
| CUUR0000SA0 | 1957 |  M06   |  28.1 |           |
| CUUR0000SA0 | 1957 |  M05   |  28.0 |           |
| CUUR0000SA0 | 1957 |  M04   |  27.9 |           |
| CUUR0000SA0 | 1957 |  M03   |  27.8 |           |
| CUUR0000SA0 | 1957 |  M02   |  27.7 |           |
| CUUR0000SA0 | 1957 |  M01   |  27.6 |           |
| CUUR0000SA0 | 1956 |  M12   |  27.6 |           |
| CUUR0000SA0 | 1956 |  M11   |  27.5 |           |
| CUUR0000SA0 | 1956 |  M10   |  27.5 |           |
| CUUR0000SA0 | 1956 |  M09   |  27.4 |           |
| CUUR0000SA0 | 1956 |  M08   |  27.3 |           |
| CUUR0000SA0 | 1956 |  M07   |  27.4 |           |
| CUUR0000SA0 | 1956 |  M06   |  27.2 |           |
| CUUR0000SA0 | 1956 |  M05   |  27.0 |           |
| CUUR0000SA0 | 1956 |  M04   |  26.9 |           |
| CUUR0000SA0 | 1956 |  M03   |  26.8 |           |
| CUUR0000SA0 | 1956 |  M02   |  26.8 |           |
| CUUR0000SA0 | 1956 |  M01   |  26.8 |           |
| CUUR0000SA0 | 1955 |  M12   |  26.8 |           |
| CUUR0000SA0 | 1955 |  M11   |  26.9 |           |
| CUUR0000SA0 | 1955 |  M10   |  26.9 |           |
| CUUR0000SA0 | 1955 |  M09   |  26.9 |           |
| CUUR0000SA0 | 1955 |  M08   |  26.8 |           |
| CUUR0000SA0 | 1955 |  M07   |  26.8 |           |
| CUUR0000SA0 | 1955 |  M06   |  26.7 |           |
| CUUR0000SA0 | 1955 |  M05   |  26.7 |           |
| CUUR0000SA0 | 1955 |  M04   |  26.7 |           |
| CUUR0000SA0 | 1955 |  M03   |  26.7 |           |
| CUUR0000SA0 | 1955 |  M02   |  26.7 |           |
| CUUR0000SA0 | 1955 |  M01   |  26.7 |           |
| CUUR0000SA0 | 1954 |  M12   |  26.7 |           |
| CUUR0000SA0 | 1954 |  M11   |  26.8 |           |
| CUUR0000SA0 | 1954 |  M10   |  26.8 |           |
| CUUR0000SA0 | 1954 |  M09   |  26.8 |           |
| CUUR0000SA0 | 1954 |  M08   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M07   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M06   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M05   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M04   |  26.8 |           |
| CUUR0000SA0 | 1954 |  M03   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M02   |  26.9 |           |
| CUUR0000SA0 | 1954 |  M01   |  26.9 |           |
| CUUR0000SA0 | 1953 |  M12   |  26.9 |           |
| CUUR0000SA0 | 1953 |  M11   |  26.9 |           |
| CUUR0000SA0 | 1953 |  M10   |  27.0 |           |
| CUUR0000SA0 | 1953 |  M09   |  26.9 |           |
| CUUR0000SA0 | 1953 |  M08   |  26.9 |           |
| CUUR0000SA0 | 1953 |  M07   |  26.8 |           |
| CUUR0000SA0 | 1953 |  M06   |  26.8 |           |
| CUUR0000SA0 | 1953 |  M05   |  26.7 |           |
| CUUR0000SA0 | 1953 |  M04   |  26.6 |           |
| CUUR0000SA0 | 1953 |  M03   |  26.6 |           |
| CUUR0000SA0 | 1953 |  M02   |  26.5 |           |
| CUUR0000SA0 | 1953 |  M01   |  26.6 |           |
| CUUR0000SA0 | 1952 |  M12   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M11   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M10   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M09   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M08   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M07   |  26.7 |           |
| CUUR0000SA0 | 1952 |  M06   |  26.5 |           |
| CUUR0000SA0 | 1952 |  M05   |  26.4 |           |
| CUUR0000SA0 | 1952 |  M04   |  26.4 |           |
| CUUR0000SA0 | 1952 |  M03   |  26.3 |           |
| CUUR0000SA0 | 1952 |  M02   |  26.3 |           |
| CUUR0000SA0 | 1952 |  M01   |  26.5 |           |
| CUUR0000SA0 | 1951 |  M12   |  26.5 |           |
| CUUR0000SA0 | 1951 |  M11   |  26.4 |           |
| CUUR0000SA0 | 1951 |  M10   |  26.2 |           |
| CUUR0000SA0 | 1951 |  M09   |  26.1 |           |
| CUUR0000SA0 | 1951 |  M08   |  25.9 |           |
| CUUR0000SA0 | 1951 |  M07   |  25.9 |           |
| CUUR0000SA0 | 1951 |  M06   |  25.9 |           |
| CUUR0000SA0 | 1951 |  M05   |  25.9 |           |
| CUUR0000SA0 | 1951 |  M04   |  25.8 |           |
| CUUR0000SA0 | 1951 |  M03   |  25.8 |           |
| CUUR0000SA0 | 1951 |  M02   |  25.7 |           |
| CUUR0000SA0 | 1951 |  M01   |  25.4 |           |
| CUUR0000SA0 | 1950 |  M12   |  25.0 |           |
| CUUR0000SA0 | 1950 |  M11   |  24.7 |           |
| CUUR0000SA0 | 1950 |  M10   |  24.6 |           |
| CUUR0000SA0 | 1950 |  M09   |  24.4 |           |
| CUUR0000SA0 | 1950 |  M08   |  24.3 |           |
| CUUR0000SA0 | 1950 |  M07   |  24.1 |           |
| CUUR0000SA0 | 1950 |  M06   |  23.8 |           |
| CUUR0000SA0 | 1950 |  M05   |  23.7 |           |
| CUUR0000SA0 | 1950 |  M04   |  23.6 |           |
| CUUR0000SA0 | 1950 |  M03   |  23.6 |           |
| CUUR0000SA0 | 1950 |  M02   |  23.5 |           |
| CUUR0000SA0 | 1950 |  M01   |  23.5 |           |
| CUUR0000SA0 | 1949 |  M12   |  23.6 |           |
| CUUR0000SA0 | 1949 |  M11   |  23.8 |           |
| CUUR0000SA0 | 1949 |  M10   |  23.7 |           |
| CUUR0000SA0 | 1949 |  M09   |  23.9 |           |
| CUUR0000SA0 | 1949 |  M08   |  23.8 |           |
| CUUR0000SA0 | 1949 |  M07   |  23.7 |           |
| CUUR0000SA0 | 1949 |  M06   |  23.9 |           |
| CUUR0000SA0 | 1949 |  M05   |  23.8 |           |
| CUUR0000SA0 | 1949 |  M04   |  23.9 |           |
| CUUR0000SA0 | 1949 |  M03   |  23.8 |           |
| CUUR0000SA0 | 1949 |  M02   |  23.8 |           |
| CUUR0000SA0 | 1949 |  M01   |  24.0 |           |
| CUUR0000SA0 | 1948 |  M12   |  24.1 |           |
| CUUR0000SA0 | 1948 |  M11   |  24.2 |           |
| CUUR0000SA0 | 1948 |  M10   |  24.4 |           |
| CUUR0000SA0 | 1948 |  M09   |  24.5 |           |
| CUUR0000SA0 | 1948 |  M08   |  24.5 |           |
| CUUR0000SA0 | 1948 |  M07   |  24.4 |           |
| CUUR0000SA0 | 1948 |  M06   |  24.1 |           |
| CUUR0000SA0 | 1948 |  M05   |  23.9 |           |
| CUUR0000SA0 | 1948 |  M04   |  23.8 |           |
| CUUR0000SA0 | 1948 |  M03   |  23.4 |           |
| CUUR0000SA0 | 1948 |  M02   |  23.5 |           |
| CUUR0000SA0 | 1948 |  M01   |  23.7 |           |
+-------------+------+--------+-------+-----------+
