+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS14000000 | 1957 |  M12   |  5.2  |           |
| LNS14000000 | 1957 |  M11   |  5.1  |           |
| LNS14000000 | 1957 |  M10   |  4.5  |           |
| LNS14000000 | 1957 |  M09   |  4.4  |           |
| LNS14000000 | 1957 |  M08   |  4.1  |           |
| LNS14000000 | 1957 |  M07   |  4.2  |           |
| LNS14000000 | 1957 |  M06   |  4.3  |           |
| LNS14000000 | 1957 |  M05   |  4.1  |           |
| LNS14000000 | 1957 |  M04   |  3.9  |           |
| LNS14000000 | 1957 |  M03   |  3.7  |           |
| LNS14000000 | 1957 |  M02   |  3.9  |           |
| LNS14000000 | 1957 |  M01   |  4.2  |           |
| LNS14000000 | 1956 |  M12   |  4.2  |           |
| LNS14000000 | 1956 |  M11   |  4.3  |           |
| LNS14000000 | 1956 |  M10   |  3.9  |           |
| LNS14000000 | 1956 |  M09   |  3.9  |           |
| LNS14000000 | 1956 |  M08   |  4.1  |           |
| LNS14000000 | 1956 |  M07   |  4.4  |           |
| LNS14000000 | 1956 |  M06   |  4.3  |           |
| LNS14000000 | 1956 |  M05   |  4.3  |           |
| LNS14000000 | 1956 |  M04   |  4.0  |           |
| LNS14000000 | 1956 |  M03   |  4.2  |           |
| LNS14000000 | 1956 |  M02   |  3.9  |           |
| LNS14000000 | 1956 |  M01   |  4.0  |           |
| LNS14000000 | 1955 |  M12   |  4.2  |           |
| LNS14000000 | 1955 |  M11   |  4.2  |           |
| LNS14000000 | 1955 |  M10   |  4.3  |           |
| LNS14000000 | 1955 |  M09   |  4.1  |           |
| LNS14000000 | 1955 |  M08   |  4.2  |           |
| LNS14000000 | 1955 |  M07   |  4.0  |           |
| LNS14000000 | 1955 |  M06   |  4.2  |           |
| LNS14000000 | 1955 |  M05   |  4.3  |           |
| LNS14000000 | 1955 |  M04   |  4.7  |           |
| LNS14000000 | 1955 |  M03   |  4.6  |           |
| LNS14000000 | 1955 |  M02   |  4.7  |           |
| LNS14000000 | 1955 |  M01   |  4.9  |           |
| LNS14000000 | 1954 |  M12   |  5.0  |           |
| LNS14000000 | 1954 |  M11   |  5.3  |           |
| LNS14000000 | 1954 |  M10   |  5.7  |           |
| LNS14000000 | 1954 |  M09   |  6.1  |           |
| LNS14000000 | 1954 |  M08   |  6.0  |           |
| LNS14000000 | 1954 |  M07   |  5.8  |           |
| LNS14000000 | 1954 |  M06   |  5.6  |           |
| LNS14000000 | 1954 |  M05   |  5.9  |           |
| LNS14000000 | 1954 |  M04   |  5.9  |           |
| LNS14000000 | 1954 |  M03   |  5.7  |           |
| LNS14000000 | 1954 |  M02   |  5.2  |           |
| LNS14000000 | 1954 |  M01   |  4.9  |           |
| LNS14000000 | 1953 |  M12   |  4.5  |           |
| LNS14000000 | 1953 |  M11   |  3.5  |           |
| LNS14000000 | 1953 |  M10   |  3.1  |           |
| LNS14000000 | 1953 |  M09   |  2.9  |           |
| LNS14000000 | 1953 |  M08   |  2.7  |           |
| LNS14000000 | 1953 |  M07   |  2.6  |           |
| LNS14000000 | 1953 |  M06   |  2.5  |           |
| LNS14000000 | 1953 |  M05   |  2.5  |           |
| LNS14000000 | 1953 |  M04   |  2.7  |           |
| LNS14000000 | 1953 |  M03   |  2.6  |           |
| LNS14000000 | 1953 |  M02   |  2.6  |           |
| LNS14000000 | 1953 |  M01   |  2.9  |           |
| LNS14000000 | 1952 |  M12   |  2.7  |           |
| LNS14000000 | 1952 |  M11   |  2.8  |           |
| LNS14000000 | 1952 |  M10   |  3.0  |           |
| LNS14000000 | 1952 |  M09   |  3.1  |           |
| LNS14000000 | 1952 |  M08   |  3.4  |           |
| LNS14000000 | 1952 |  M07   |  3.2  |           |
| LNS14000000 | 1952 |  M06   |  3.0  |           |
| LNS14000000 | 1952 |  M05   |  3.0  |           |
| LNS14000000 | 1952 |  M04   |  2.9  |           |
| LNS14000000 | 1952 |  M03   |  2.9  |           |
| LNS14000000 | 1952 |  M02   |  3.1  |           |
| LNS14000000 | 1952 |  M01   |  3.2  |           |
| LNS14000000 | 1951 |  M12   |  3.1  |           |
| LNS14000000 | 1951 |  M11   |  3.5  |           |
| LNS14000000 | 1951 |  M10   |  3.5  |           |
| LNS14000000 | 1951 |  M09   |  3.3  |           |
| LNS14000000 | 1951 |  M08   |  3.1  |           |
| LNS14000000 | 1951 |  M07   |  3.1  |           |
| LNS14000000 | 1951 |  M06   |  3.2  |           |
| LNS14000000 | 1951 |  M05   |  3.0  |           |
| LNS14000000 | 1951 |  M04   |  3.1  |           |
| LNS14000000 | 1951 |  M03   |  3.4  |           |
| LNS14000000 | 1951 |  M02   |  3.4  |           |
| LNS14000000 | 1951 |  M01   |  3.7  |           |
| LNS14000000 | 1950 |  M12   |  4.3  |           |
| LNS14000000 | 1950 |  M11   |  4.2  |           |
| LNS14000000 | 1950 |  M10   |  4.2  |           |
| LNS14000000 | 1950 |  M09   |  4.4  |           |
| LNS14000000 | 1950 |  M08   |  4.5  |           |
| LNS14000000 | 1950 |  M07   |  5.0  |           |
| LNS14000000 | 1950 |  M06   |  5.4  |           |
| LNS14000000 | 1950 |  M05   |  5.5  |           |
| LNS14000000 | 1950 |  M04   |  5.8  |           |
| LNS14000000 | 1950 |  M03   |  6.3  |           |
| LNS14000000 | 1950 |  M02   |  6.4  |           |
| LNS14000000 | 1950 |  M01   |  6.5  |           |
| LNS14000000 | 1949 |  M12   |  6.6  |           |
| LNS14000000 | 1949 |  M11   |  6.4  |           |
| LNS14000000 | 1949 |  M10   |  7.9  |           |
| LNS14000000 | 1949 |  M09   |  6.6  |           |
| LNS14000000 | 1949 |  M08   |  6.8  |           |
| LNS14000000 | 1949 |  M07   |  6.7  |           |
| LNS14000000 | 1949 |  M06   |  6.2  |           |
| LNS14000000 | 1949 |  M05   |  6.1  |           |
| LNS14000000 | 1949 |  M04   |  5.3  |           |
| LNS14000000 | 1949 |  M03   |  5.0  |           |
| LNS14000000 | 1949 |  M02   |  4.7  |           |
| LNS14000000 | 1949 |  M01   |  4.3  |           |
| LNS14000000 | 1948 |  M12   |  4.0  |           |
| LNS14000000 | 1948 |  M11   |  3.8  |           |
| LNS14000000 | 1948 |  M10   |  3.7  |           |
| LNS14000000 | 1948 |  M09   |  3.8  |           |
| LNS14000000 | 1948 |  M08   |  3.9  |           |
| LNS14000000 | 1948 |  M07   |  3.6  |           |
| LNS14000000 | 1948 |  M06   |  3.6  |           |
