rec,date
68.63,1950-01-01
68.63,1950-02-01
68.63,1950-03-01
68.63,1950-04-01
68.63,1950-05-01
68.63,1950-06-01
59.16,1950-07-01
48.7,1950-08-01
47.54,1950-09-01
50.91,1950-10-01
44.7,1950-11-01
42.85,1950-12-01
39.62,1951-01-01
44.45,1951-02-01
38.98,1951-03-01
42.62,1951-04-01
48.27,1951-05-01
59.39,1951-06-01
51.66,1951-07-01
38.55,1951-08-01
60.33,1951-09-01
72.27,1951-10-01
68.62,1951-11-01
69.63,1951-12-01
72.2,1952-01-01
67.87,1952-02-01
64.91001,1952-03-01
53.85,1952-04-01
37.96,1952-05-01
23.23,1952-06-01
12.68,1952-07-01
9.84,1952-08-01
7.82,1952-09-01
11.78,1952-10-01
10.22,1952-11-01
12.19,1952-12-01
18.6,1953-01-01
26.97,1953-02-01
22.52,1953-03-01
19.18,1953-04-01
17.14,1953-05-01
18.61,1953-06-01
20.02,1953-07-01
22.65,1953-08-01
38.99,1953-09-01
76.55,1953-10-01
87.99,1953-11-01
99.8,1953-12-01
96.69,1954-01-01
87.45,1954-02-01
88.57,1954-03-01
97.43,1954-04-01
99.99,1954-05-01
94.88,1954-06-01
86.99,1954-07-01
79.73001,1954-08-01
92.35,1954-09-01
91.29,1954-10-01
94.31,1954-11-01
84.95,1954-12-01
82.97,1955-01-01
92.98001,1955-02-01
81.06,1955-03-01
62.37,1955-04-01
52.99,1955-05-01
39.53,1955-06-01
42.9,1955-07-01
33.76,1955-08-01
40.97,1955-09-01
60.5,1955-10-01
66.61,1955-11-01
80.38,1955-12-01
95.86,1956-01-01
97.74,1956-02-01
80.24,1956-03-01
73.44,1956-04-01
65.67,1956-05-01
47.81,1956-06-01
33.51,1956-07-01
34.22,1956-08-01
32.95,1956-09-01
32.55,1956-10-01
46.92,1956-11-01
44.64,1956-12-01
53.02,1957-01-01
41.98,1957-02-01
30.43,1957-03-01
24.43,1957-04-01
18.05,1957-05-01
20.98,1957-06-01
12.37,1957-07-01
12.03,1957-08-01
12.41,1957-09-01
15.89,1957-10-01
20.46,1957-11-01
26.95,1957-12-01
30.29,1958-01-01
26.21,1958-02-01
23.34,1958-03-01
25.55,1958-04-01
25.4,1958-05-01
24.16,1958-06-01
