Quarter,GDP252,GDP253,GDP254,GDP255,GDP256,GDP257,GDP258,GDP259,GDP260,GDP261,GDP266,GDP267,GDP268,GDP269,GDP271,GDP272,GDP274,GDP275,GDP276,GDP277,GDP278,GDP279,GDP280,GDP281,GDP282,GDP284,GDP285,GDP286,GDP287,GDP288,GDP289,GDP290,GDP291,GDP292,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,CES275,CES277,CES278,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140
1,0.017079,0.038162,0.008416,0.019048,0.080715,0.032116,0.029456,0.030178,0.028694,0.03488,0.023596,0.0025921,0.017757,0.026844,0.02586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030705,0.029563,0.01979,0.036833,0.014222,0.066451,0.06915,0.090182,0.051058,0.047073,0.01931,-0.0053047,0,0,0,0.023577,0.0041868,0.031331,0.022964,0.033417,0.0080407,0.0098987,0.010983,0.011238,0.0095151,0.0098577,0.0034843
2,0.010797,0.020787,0.0056708,0.014886,-0.072677,0.011939,0.031339,0.029294,0.032736,-0.019256,0.020485,0.0011089,0.012719,-0.0016313,-0.00039896,0.0014433,-0.0043823,0.0039486,0.0038692,-0.0013702,-0.0010739,-0.0011673,-0.0019088,-0.00061799,-0.0006015,0.0071479,0.0018271,-0.0026092,-0.0030832,-0.0013831,0.0014552,0.00097966,0.00098788,0.0014447,0.0023949,0.013314,0.010982,0.002408,0.01313,0.019841,-0.10928,-0.18426,0.003805,-0.040502,0.032685,-0.021203,-0.013945,0.0051451,-0.016106,-0.0082773,-0.040916,-0.0052987,-0.0075023,-0.017681,0.0070353,0.0048691,0.0045836,0.012883,0.0076751,0.00733,0.0063226
3,0.0017167,-0.05233,0.0068219,0.012787,0.032811,-0.013204,-0.0036364,-0.0075128,-0.0016116,-0.029598,-0.014672,-0.0055566,-0.0035608,0.0036667,0.0039825,0.00095135,-1.92E-07,-0.0022135,0.0025176,-0.001021,-0.0014174,-0.0028503,-0.0025126,-0.002171,0.00060114,0.0026219,0.0067972,0.0071507,0.010359,0.0020711,0.0009591,0.0014613,0.0014735,0.00095225,-0.0050626,-0.010991,-0.010333,-0.052913,0.0053462,-0.021791,0.023473,0.040383,-0.010033,0.0034869,0.023717,0.015944,0.0015279,-0.0028916,0.0032026,-0.002989,-0.0042638,-0.013536,-0.0010422,-0.0018931,0.00015694,0.0074813,0.0032051,0.0049023,0.0049208,0.0076794,0.013088
4,0.0089648,0.033367,-0.00059137,0.012161,0.10471,0.034218,0.037538,0.040897,0.036425,0.028284,-0.046265,0.017308,0.010252,0.018135,0.021625,-0.0014491,-0.0013151,-0.003063,-0.0038871,-0.00067808,-0.00035416,-0.0014183,0.0018705,-0.004695,0.0023992,-0.0097901,-0.012717,0.0019411,-0.0018332,0.0075378,-0.0014611,-0.0014769,-0.0019811,-0.0014505,0.03517,0.036572,0.038209,0.12242,0.0076134,0.045785,0.093247,0.14642,0.028311,0.063632,0.0076301,0.0010391,0.019614,0.0061852,0.023677,0.017442,0.014627,-0.015952,0.02421,0.037699,0.004905,0.010217,0.0079682,0.0039345,0.010842,0.0085528,0.0096256
5,0.012249,0.022534,0.011761,0.009255,-0.10795,-0.02039,0.014802,0.011567,0.016963,-0.085649,-0.0039538,0.024167,0.0093714,-0.0080193,-0.0046784,0.0023781,0.00021658,0.0060894,0.0012384,0.00067351,0.0010539,0.00084918,-0.0087488,0.0074224,0.00058822,-0.002348,0.003624,-1.51E-05,0.0030479,-0.0048388,0.0019173,0.0019377,0.0029373,0.0019036,-0.0019361,0.00013154,0.0054004,-0.016318,0.013316,-0.0090983,-0.050571,-0.083595,-0.0093123,-0.026477,0.01957,0.020486,-0.018202,-0.01551,-0.023719,-0.0070197,-0.002617,0.0076757,-0.0098878,-0.01656,-0.0002603,0.007559,0.0072215,0.0032876,0.0093207,0.0074241,0.0094945
6,-0.004207,-0.0071557,-0.0070402,0.00046051,-0.0058461,-0.027208,-0.024498,0.0020424,-0.042161,-0.030852,0.030758,0.014857,-0.0015558,0.001609,0.0015619,-0.00049672,-0.0019841,-0.0034951,0.0012148,-0.0023617,-0.0028144,-0.002265,0.00059848,-0.0041046,-0.0029917,0.0060304,0.0045159,0.0063912,0.012054,-0.00069946,0.00045944,-1.91E-05,-0.00051117,0.0004563,-0.015625,-0.013107,-0.011878,-0.039371,-0.0014805,-0.031679,-0.021306,-0.028679,-0.013098,-0.018618,0.014944,0.0070974,-1.99E-05,0.01126,0.0031032,-0.012618,-0.017871,-0.010023,-0.012759,-0.01695,-0.0067917,-0.00094768,-0.0052767,0.002894,-0.0048581,0.0075005,0.00039365
7,0.001264,-0.027299,0.00088274,0.010078,-0.13139,-0.003856,-0.0053286,0.037542,-0.035718,-0.0014791,0.0035398,0.011173,0.0050476,-0.016208,-0.012564,0.00045382,0.0015347,0.0021437,-0.0013019,-0.0013518,-0.001057,-0.002557,-0.0019272,-0.0029187,0.00059577,-0.0080353,-0.0081301,-0.0020025,-0.003775,-1.65E-05,-0.0004987,0.00046219,0.00046585,-0.000495,-0.012147,-0.011392,-0.006625,-0.027135,0.00078407,-0.027569,-0.042798,-0.066888,-0.020474,-0.028008,0.011536,-0.005282,0.0029258,-0.007652,-0.001566,-0.018182,-0.011278,-0.020353,-0.017792,-0.024041,-0.0090046,0.00074874,-0.0050343,-0.0042822,-0.002674,0.0048388,0.008114
8,-0.00042114,-0.060855,0.0064497,0.01088,0.024221,-0.012962,-0.021603,-0.0046781,-0.031909,0.0041359,-0.001326,0.032118,0.00077429,0.0061088,0.0066943,-0.003787,0.0019857,-0.0034557,-0.0043826,0.00033458,-0.00035615,0.0022668,0.0069555,-0.00078292,-0.0047747,0.0083626,0.0036109,-0.007634,-0.0137,0.0013259,-0.002866,-0.0038601,-0.003892,-0.0028456,-0.011759,-0.014664,-0.015095,-0.075743,0.0036509,-0.015812,-0.020645,-0.045392,0.0083062,-0.017428,0.0099676,0.017832,-0.0059106,0.0023731,-0.0015516,-0.016747,-0.029509,-0.0053834,-0.018361,-0.028213,-0.004772,-0.00012317,-0.0060567,-0.004637,-0.0033886,0.0044259,0.0057224
9,0.01505,0.020379,0.010465,0.017874,0.072708,0.014892,0.020712,-0.016924,0.046675,0.0035315,0.0089529,-0.0067477,0.010778,0.020097,0.017892,0.00094073,0.0052864,-0.0068847,0.001857,0.0020303,0.0028224,0.00028308,0.0019017,-0.00078842,0.00776,0.0079089,-0.0022587,0.0050469,0.0047478,0.0039659,0.00047246,-9.24E-07,-9.39E-07,0.00046914,0.026919,0.025923,0.036597,0.10033,0.017119,0.010091,0.057946,0.080235,0.040315,0.041585,0.023019,-0.026429,0.01166,0.0059067,0.012249,0.0037679,-0.011177,-0.0058746,0.0060984,0.0095446,0.0013809,0.0026118,-0.0029057,-0.0020581,-0.0046947,0.0053112,0.008465
10,0.0049669,0.024669,0.0005782,0.0039779,0.080924,0.023501,0.0079894,0.00025097,0.012945,0.052644,0.027952,0.0084275,0.0076278,0.019311,0.016062,0.00093542,-0.00046496,0.007752,0.00060327,-0.00067716,-0.0014119,-1.30E-06,-0.00063592,0.00057929,-0.0041779,-0.014902,-1.84E-06,-0.0037938,-0.0041538,-0.0027233,0.00046977,0.0019157,0.0019314,0.00046649,0.020974,0.01888,0.019126,0.032423,0.013471,0.019319,0.047289,0.073688,0.028097,0.034278,0.012702,0.029702,-0.0030355,-0.013371,-0.0047024,0.0093492,0.0062768,0.0054151,0.010318,0.01548,0.0031795,0.0084883,0.004627,0.0060003,0.005486,0.0070808,0.011595
