Period,Automobile,Building Materials,Clothing,Beer wine and liquor,furnitures,General Merchandise,Grocery,household Appliances
9-Jun,48078,26350,11533,3306,3703,47089,42146,1280
9-Jul,51093,24003,12042,3556,3804,47097,43838,1302
9-Aug,55677,21522,12963,3399,3939,48826,42994,1308
9-Sep,42299,21304,11757,3263,3827,44202,41537,1203
9-Oct,45268,21263,13020,3425,3723,48509,43020,1257
9-Nov,41448,19915,13837,3356,3848,53489,42508,1398
9-Dec,46936,19182,18727,4626,3940,69970,45395,1489
10-Jan,42143,15349,9898,2877,3683,43854,42986,1112
10-Feb,43434,15468,10565,2916,3833,44756,40061,1129
10-Mar,56482,21692,13122,3214,4090,48643,43433,1223
10-Apr,52987,26682,12896,3310,3675,47751,42236,1245
10-May,54178,26231,13119,3466,3965,50476,44604,1363
10-Jun,53049,25446,12160,3438,3748,48290,42877,1342
10-Jul,55854,23100,12674,3657,3964,48620,44558,1355
10-Aug,55120,21698,13161,3455,3997,49314,43431,1291
10-Sep,51556,21261,12318,3365,3932,45678,42642,1226
10-Oct,51463,21882,13165,3497,3714,49037,43535,1192
10-Nov,49393,21458,15100,3524,4009,55587,43723,1461
10-Dec,55231,20277,20049,4683,4051,71770,46656,1514
11-Jan,49692,16006,10157,2888,3576,44323,44280,1077
11-Feb,53590,16003,11366,2985,3871,45805,41229,1142
11-Mar,63583,21964,13711,3249,4305,49677,45069,1216
11-Apr,58199,24377,13855,3363,3902,50482,45586,1182
11-May,57518,27709,13642,3471,3862,51437,46319,1276
11-Jun,57722,27009,13265,3551,3793,50907,45883,1316
11-Jul,57538,23530,13410,3740,4004,50661,47170,1336
11-Aug,59341,23733,13880,3576,4133,51267,46449,1362
11-Sep,56231,22501,13425,3517,4053,48238,44876,1384
11-Oct,55574,23077,13788,3515,3742,50877,45725,1279
11-Nov,54186,22371,15809,3646,4128,57198,46045,1613
11-Dec,61128,21201,21721,4892,4303,73907,48840,1639
12-Jan,52989,17981,10677,2995,3898,45642,45460,1170
12-Feb,60345,18502,12608,3202,4327,49635,44172,1266
12-Mar,68799,24156,15195,3549,4442,53114,47406,1325
12-Apr,61761,25987,13995,3409,3800,50601,45753,1202
12-May,67063,29374,14586,3786,4193,53091,48418,1400
12-Jun,63336,25772,14030,3815,4075,52279,47215,1412
12-Jul,63364,23921,13716,3733,4145,50733,47472,1374
12-Aug,68423,24170,15158,3752,4371,53679,48046,1410
12-Sep,60831,22327,13719,3503,4127,49326,46048,1305
12-Oct,61295,24659,14256,3626,3790,51398,46978,1298
12-Nov,59772,23512,16575,3869,4234,59013,47314,1640
12-Dec,64800,21172,21616,5126,4350,73802,49363,1613
13-Jan,59912,19323,11325,3158,3966,46616,47082,1239
13-Feb,63076,18702,12276,3231,3985,48503,43837,1288
13-Mar,71529,23216,15410,3625,4475,54650,48869,1377
13-Apr,68820,28906,14139,3465,3975,49955,45316,1306
13-May,72952,32849,15197,3973,4213,54774,49549,1477
13-Jun,69509,27891,14169,3817,4083,53179,47765,1402
13-Jul,73058,27611,14350,4010,4238,51958,48783,1492
13-Aug,75544,26242,15677,4078,4573,55227,49288,1469
13-Sep,64308,24424,13505,3643,4269,49910,46499,1402
13-Oct,67070,26255,14852,3799,4274,52923,48283,1441
13-Nov,64894,23974,16829,4043,4589,60375,48904,1596
13-Dec,68348,22399,21756,5235,4231,73798,50374,1635
14-Jan,60664,19900,11088,3373,3912,47319,49142,1251
14-Feb,64398,18989,12101,3353,4078,48886,45091,1264
14-Mar,77683,24343,14864,3679,4598,53967,48997,1392
14-Apr,74600,30447,15009,3699,4164,52789,48690,1281
14-May,79113,33758,15645,4187,4616,56900,51742,1430
14-Jun,73221,30409,14037,4086,4187,53872,49434,1430
14-Jul,77685,29003,14678,4240,4438,53646,51362,1462
14-Aug,79966,26798,15888,4216,4704,57050,51309,1449
14-Sep,71294,26574,13894,3856,4586,50663,48861,1435
14-Oct,72328,27748,15237,4087,4470,54625,51057,1449
14-Nov,68450,25248,17845,4133,4721,61843,51042,1594
14-Dec,76041,24498,22721,5606,4798,75313,53011,1625
15-Jan,68158,21161,11649,3576,4410,49436,51536,1271
15-Feb,68559,19923,12646,3517,4240,49100,47088,1252
15-Mar,82234,26526,15576,3881,4741,54686,51167,1419
15-Apr,79070,31512,15202,3864,4357,52424,50091,1342
15-May,82410,33282,16279,4369,4867,57441,53201,1519
15-Jun,79265,31709,14673,4241,4632,54135,50950,1531
15-Jul,82841,30676,15315,4524,4788,54829,53116,1543
15-Aug,83872,27916,16247,4248,4919,56674,52120,1433
15-Sep,77506,27377,14365,4091,4999,51588,50244,1464
15-Oct,77134,28546,15618,4291,4860,55544,51987,1394
15-Nov,72505,26889,17485,4241,4887,61397,51355,1543
15-Dec,80868,27044,22884,5834,5076,76391,54146,1592
16-Jan,68984,22100,11560,3559,4464,49050,52167,1226
16-Feb,76652,23290,13073,3718,4638,50661,49193,1321
16-Mar,84611,30027,15828,3986,5013,55303,52741,1378
16-Apr,81446,32496,14917,4043,4611,52960,50958,1296
16-May,82428,34787,15546,4322,4814,55722,53502,1415
16-Jun,81439,34371,14826,4388,4848,54481,52745,1487
16-Jul,84085,30347,15134,4655,4821,54710,53756,1435
16-Aug,88224,30257,15950,4386,4924,54859,52769,1433
16-Sep,81027,29210,14619,4336,5080,50670,51621,1434
16-Oct,78994,29010,15310,4337,4731,54221,52769,1308
16-Nov,77389,29095,17344,4571,5077,60520,52793,1532
