Period,AUT,BUM,GEM,GRO,COM
9-Jun,48078,26350,47089,42146,19822
9-Jul,51093,24003,47097,43838,20704
9-Aug,55677,21522,48826,42994,21609
9-Sep,42299,21304,44202,41537,20050
9-Oct,45268,21263,48509,43020,21425
9-Nov,41448,19915,53489,42508,22439
9-Dec,46936,19182,69970,45395,28782
10-Jan,42143,15349,43854,42986,17570
10-Feb,43434,15468,44756,40061,18443
10-Mar,56482,21692,48643,43433,21649
10-Apr,52987,26682,47751,42236,21126
10-May,54178,26231,50476,44604,21913
10-Jun,53049,25446,48290,42877,20688
10-Jul,55854,23100,48620,44558,21650
10-Aug,55120,21698,49314,43431,21904
10-Sep,51556,21261,45678,42642,20841
10-Oct,51463,21882,49037,43535,21568
10-Nov,49393,21458,55587,43723,24094
10-Dec,55231,20277,71770,46656,30297
11-Jan,49692,16006,44323,44280,17698
11-Feb,53590,16003,45805,41229,19364
11-Mar,63583,21964,49677,45069,22481
11-Apr,58199,24377,50482,45586,22302
11-May,57518,27709,51437,46319,22251
11-Jun,57722,27009,50907,45883,21925
11-Jul,57538,23530,50661,47170,22490
11-Aug,59341,23733,51267,46449,22951
11-Sep,56231,22501,48238,44876,22379
11-Oct,55574,23077,50877,45725,22324
11-Nov,54186,22371,57198,46045,25196
11-Dec,61128,21201,73907,48840,32555
12-Jan,52989,17981,45642,45460,18740
12-Feb,60345,18502,49635,44172,21403
12-Mar,68799,24156,53114,47406,24511
12-Apr,61761,25987,50601,45753,22406
12-May,67063,29374,53091,48418,23965
12-Jun,63336,25772,52279,47215,23332
12-Jul,63364,23921,50733,47472,22968
12-Aug,68423,24170,53679,48046,24691
12-Sep,60831,22327,49326,46048,22654
12-Oct,61295,24659,51398,46978,22970
12-Nov,59772,23512,59013,47314,26318
12-Dec,64800,21172,73802,49363,32705
13-Jan,59912,19323,46616,47082,19688
13-Feb,63076,18702,48503,43837,20780
13-Mar,71529,23216,54650,48869,24887
13-Apr,68820,28906,49955,45316,22885
13-May,72952,32849,54774,49549,24860
13-Jun,69509,27891,53179,47765,23471
13-Jul,73058,27611,51958,48783,24090
13-Aug,75544,26242,55227,49288,25797
13-Sep,64308,24424,49910,46499,22819
13-Oct,67070,26255,52923,48283,24366
13-Nov,64894,23974,60375,48904,27057
13-Dec,68348,22399,73798,50374,32857
14-Jan,60664,19900,47319,49142,19624
14-Feb,64398,18989,48886,45091,20796
14-Mar,77683,24343,53967,48997,24533
14-Apr,74600,30447,52789,48690,24153
14-May,79113,33758,56900,51742,25878
14-Jun,73221,30409,53872,49434,23740
14-Jul,77685,29003,53646,51362,24818
14-Aug,79966,26798,57050,51309,26257
14-Sep,71294,26574,50663,48861,23771
14-Oct,72328,27748,54625,51057,25243
14-Nov,68450,25248,61843,51042,28293
14-Dec,76041,24498,75313,53011,34750
15-Jan,68158,21161,49436,51536,20906
15-Feb,68559,19923,49100,47088,21655
15-Mar,82234,26526,54686,51167,25617
15-Apr,79070,31512,52424,50091,24765
15-May,82410,33282,57441,53201,27034
15-Jun,79265,31709,54135,50950,25077
15-Jul,82841,30676,54829,53116,26170
15-Aug,83872,27916,56674,52120,26847
15-Sep,77506,27377,51588,50244,24919
15-Oct,77134,28546,55544,51987,26163
15-Nov,72505,26889,61397,51355,28156
15-Dec,80868,27044,76391,54146,35386
16-Jan,68984,22100,49050,52167,20809
16-Feb,76652,23290,50661,49193,22750
16-Mar,84611,30027,55303,52741,26205
16-Apr,81446,32496,52960,50958,24867
16-May,82428,34787,55722,53502,26097
16-Jun,81439,34371,54481,52745,25549
16-Jul,84085,30347,54710,53756,26045
16-Aug,88224,30257,54859,52769,26693
16-Sep,81027,29210,50670,51621,25469
16-Oct,78994,29010,54221,52769,25686
16-Nov,77389,29095,60520,52793,28524
