Date,AL,AK,FL,GA,LA,MS,OK,SC,TN,TX
Jan-76,6.4,7.1,10,8.3,6.2,7,6.4,7.6,5.9,5.9
Feb-76,6.3,7,9.8,8.2,6.2,6.8,6.3,7.4,5.9,5.9
Mar-76,6.1,7,9.5,8.1,6.2,6.6,6.1,7.2,5.9,5.8
Apr-76,6,7,9.3,8,6.3,6.4,5.9,7,6,5.8
May-76,6,7,9.1,7.9,6.4,6.3,5.8,6.9,6,5.8
Jun-76,6,7.1,9,7.9,6.6,6.3,5.7,6.8,6.1,5.8
Jul-76,6.2,7.4,8.9,7.9,6.7,6.4,5.6,6.8,6.2,5.8
Aug-76,6.3,7.7,9,8,6.8,6.5,5.5,6.8,6.3,5.8
Sep-76,6.4,8,9.1,8.1,6.9,6.7,5.5,6.8,6.5,5.8
Oct-76,6.5,8.3,9.1,8.1,6.9,6.8,5.5,6.8,6.5,5.8
Nov-76,6.6,8.5,9.2,8.2,6.9,6.8,5.5,6.9,6.6,5.8
Dec-76,6.7,8.7,9.2,8.1,6.9,6.9,5.6,7,6.6,5.8
Jan-77,6.9,8.9,9.2,8,6.9,6.9,5.6,7.1,6.6,5.7
Feb-77,7,9.1,9.1,7.8,6.8,7,5.6,7.1,6.6,5.6
Mar-77,7.1,9.3,8.9,7.5,6.7,7.2,5.6,7.1,6.6,5.5
Apr-77,7.2,9.4,8.6,7.2,6.6,7.4,5.4,7,6.5,5.4
May-77,7.2,9.6,8.4,7,6.5,7.5,5.3,6.8,6.4,5.3
Jun-77,7.1,9.7,8.2,6.8,6.4,7.7,5.1,6.7,6.4,5.3
Jul-77,6.9,9.8,8.1,6.7,6.5,7.8,4.9,6.6,6.3,5.3
Aug-77,6.7,9.8,8,6.7,6.6,7.8,4.8,6.5,6.3,5.3
Sep-77,6.5,9.9,8,6.6,6.8,7.8,4.6,6.5,6.3,5.3
Oct-77,6.3,10,7.8,6.5,7.1,7.7,4.5,6.4,6.2,5.3
Nov-77,6.1,10.2,7.7,6.3,7.3,7.5,4.4,6.2,6.1,5.2
Dec-77,6,10.4,7.5,6,7.5,7.4,4.4,6,6,5.2
Jan-78,5.9,10.7,7.3,5.8,7.7,7.2,4.3,5.8,5.9,5.1
Feb-78,5.8,10.8,7,5.6,7.6,7.1,4.2,5.6,5.8,5
Mar-78,5.7,10.9,6.9,5.5,7.5,7.1,4.1,5.5,5.8,4.9
Apr-78,5.6,10.9,6.7,5.5,7.3,7.2,3.8,5.5,5.8,4.8
May-78,5.6,10.8,6.7,5.6,7,7.3,3.5,5.6,5.8,4.8
Jun-78,5.7,10.8,6.7,5.7,6.7,7.3,3.2,5.7,5.9,4.8
Jul-78,5.8,10.7,6.7,5.8,6.5,7.3,3.1,5.7,6,4.8
Aug-78,6,10.6,6.7,5.9,6.3,7.2,3.1,5.6,6,4.8
Sep-78,6.1,10.5,6.8,5.9,6.2,7,3.2,5.5,6.1,4.8
Oct-78,6.2,10.4,6.8,5.9,6,6.8,3.3,5.4,6,4.7
Nov-78,6.3,10.1,6.7,5.8,5.9,6.5,3.4,5.3,5.9,4.7
Dec-78,6.3,9.9,6.7,5.7,5.8,6.3,3.5,5.2,5.8,4.6
Jan-79,6.4,9.6,6.6,5.6,5.8,6,3.5,5.2,5.8,4.5
Feb-79,6.5,9.3,6.4,5.5,5.8,5.7,3.4,5.1,5.7,4.4
Mar-79,6.6,9.1,6.3,5.4,5.9,5.5,3.3,5,5.8,4.4
Apr-79,6.7,9,6.1,5.2,6.1,5.3,3.2,4.9,5.9,4.4
May-79,6.9,8.9,6,5.1,6.3,5.3,3.2,4.8,6,4.4
Jun-79,7,8.9,6,5,6.5,5.3,3.2,4.7,6.2,4.4
Jul-79,7,9,5.9,5,6.7,5.5,3.2,4.7,6.2,4.5
Aug-79,7,9,5.9,5,6.8,5.7,3.2,4.7,6.3,4.5
Sep-79,7,9.1,5.9,5,6.9,5.9,3.2,4.8,6.2,4.5
Oct-79,6.9,9,5.9,5,6.9,6,3.2,5,6.2,4.5
Nov-79,6.9,8.9,5.8,5,6.8,6.1,3.2,5.1,6.2,4.5
Dec-79,6.9,8.8,5.7,5.1,6.8,6.2,3.2,5.3,6.2,4.5
Jan-80,6.9,8.7,5.6,5.3,6.9,6.3,3.2,5.4,6.3,4.6
Feb-80,7.1,8.8,5.7,5.6,6.9,6.5,3.3,5.7,6.5,4.8
Mar-80,7.4,9.1,5.8,5.9,6.9,6.8,3.3,6,6.8,5
Apr-80,7.8,9.4,5.9,6.2,6.9,7.1,3.4,6.3,7.1,5.1
May-80,8.2,9.7,6,6.5,6.8,7.4,3.5,6.6,7.5,5.2
Jun-80,8.6,9.9,6.2,6.7,6.7,7.6,5.8,6.9,7.8,5.3
Jul-80,8.9,9.9,6.3,6.8,6.6,7.8,5.8,7.1,8,5.4
