Year,Motor vehicles & parts,Food & beverage,Health,General merchandise,GDP,GDP-1,GDP-2,DJIA,DJIA-1,DJIA-2,CPI,CPI-1,CPI-2
1992,418393,370513,89705,247876,6.539,6.174,5.98,3301.1,3168.83,2633.66,140.3,136.2,130.7
1993,472916,374516,92594,265996,6.879,6.539,6.174,3754.1,3301.1,3168.83,144.5,140.3,136.2
1994,541141,384340,96363,285190,7.309,6.879,6.539,3834.4,3754.1,3301.1,148.2,144.5,140.3
1995,579715,390386,101635,300498,7.664,7.309,6.879,5117.1,3834.4,3754.1,152.4,148.2,144.5
1996,627507,401073,109557,315305,8.1,7.664,7.309,6448.3,5117.1,3834.4,156.9,152.4,148.2
1997,653817,409373,118672,331363,8.609,8.1,7.664,7908.3,6448.3,5117.1,160.5,156.9,152.4
1998,688415,416525,129583,351081,9.089,8.609,8.1,9181.4,7908.3,6448.3,163,160.5,156.9
1999,764204,433699,142699,380179,9.661,9.089,8.609,11497.1,9181.4,7908.3,166.6,163,160.5
2000,796210,444764,155234,404228,10.285,9.661,9.089,10786.9,11497.1,9181.4,172.2,166.6,163
2001,815579,462429,166533,427468,10.622,10.285,9.661,10021.5,10786.9,11497.1,177.1,172.2,166.6
2002,818811,464856,179983,446520,10.978,10.622,10.285,8341.6,10021.5,10786.9,179.9,177.1,172.2
2003,841588,474385,192426,468771,11.511,10.978,10.622,10453.9,8341.6,10021.5,184,179.9,177.1
2004,866372,490380,199290,497382,12.275,11.511,10.978,10783,10453.9,8341.6,188.9,184,179.9
2005,888307,508484,210085,528385,13.094,12.275,11.511,10717.5,10783,10453.9,195.3,188.9,184
2006,899997,525232,223336,554256,13.856,13.094,12.275,12463.2,10717.5,10783,201.6,195.3,188.9
2007,910139,547837,237164,578582,14.478,13.856,13.094,13264.8,12463.2,10717.5,207.342,201.6,195.3
2008,785865,569276,246573,595041,14.719,14.478,13.856,8776.4,13264.8,12463.2,215.303,207.342,201.6
2009,671772,568418,252794,588918,14.419,14.719,14.478,10428.1,8776.4,13264.8,214.537,215.303,207.342
2010,742913,580530,260435,603757,14.964,14.419,14.719,11577.5,10428.1,8776.4,218.056,214.537,215.303
2011,812938,609137,271612,624766,15.518,14.964,14.419,12217.6,11577.5,10428.1,224.939,218.056,214.537
2012,886494,628205,274000,642313,16.155,15.518,14.964,13104.1,12217.6,11577.5,229.594,224.939,218.056
2013,959294,640847,281840,651874,16.692,16.155,15.518,16576.7,13104.1,12217.6,232.957,229.594,224.939
2014,1020851,669165,299263,667163,17.393,16.692,16.155,17823.07,16576.7,13104.1,236.736,232.957,229.594
2015,1095412,685568,315257,674928,18.037,17.393,16.692,17425.03,17823.07,16576.7,237.017,236.736,232.957
