date,LA.death,LA.o3,LA.co,RS.death,RS.o3,RS.co,SD.death,SD.o3,SD.co,SJ.death,SJ.o3,SJ.co,SA.death,SA.o3,SA.co
4/13/1999,154,21.73751034,790.6196003,26,31.77053088,632.6002436,26,32.02571944,760.5542018,59,30.96914602,697.4962023,55,32.76942625,732.075806
4/14/1999,158,22.91276069,1257.604399,31,28.35888476,936.2728009,39,38.95346242,727.6641422,50,34.13067673,1084.719972,54,26.37450301,1083.24552
4/15/1999,140,22.90253476,1438.092709,28,41.1376089,688.9750699,27,45.67997426,581.6352203,53,35.36540188,1451.319118,52,23.20320383,1473.411169
4/16/1999,163,20.64526875,1506.015274,38,32.9921635,849.8512788,33,39.77666053,763.8176009,46,26.44221289,1644.593273,49,23.54476325,1535.333051
4/17/1999,159,32.38916552,1252.079524,38,31.35576085,910.5567033,26,38.98725519,838.6825927,55,39.66148817,1194.237254,47,35.95630811,1510.502799
4/18/1999,131,41.59700078,1153.081935,38,48.21066621,832.3922825,27,58.19588481,898.8753434,58,45.15022293,1005.622785,35,47.49876139,1172.249693
4/19/1999,148,35.24980713,1257.200844,27,41.99459922,940.6290932,23,49.57635293,855.2109091,48,35.01848332,1217.478668,43,38.72077795,1102.822762
4/20/1999,164,26.01759096,879.9827432,28,50.40736219,856.5956774,27,52.62536067,730.8906092,56,36.68791932,793.3067355,47,39.71785912,822.9801194
4/21/1999,158,31.23788123,505.6868677,25,44.32971996,441.4701066,31,40.14860385,532.178118,37,46.94298263,543.0635827,32,43.5237087,638.2820339
4/22/1999,154,24.74975836,572.202692,23,42.59607625,451.3018517,30,40.22178976,498.7250582,48,41.85784558,588.6892011,37,39.86782947,624.3032748
4/23/1999,151,27.34542547,580.993371,27,39.87454692,329.2237298,30,40.6890836,501.4962464,58,40.35417507,654.1528735,45,42.27563572,564.4528464
4/24/1999,151,31.24602575,454.6843578,21,38.76264138,494.8482086,25,36.12557921,549.8617561,50,38.32741277,569.2264696,43,43.7641089,497.2724617
4/25/1999,141,33.87068683,507.3978961,28,45.95119293,271.0339343,21,42.40009167,586.8718285,46,42.21390093,497.8202191,45,41.00529953,558.0790571
4/26/1999,158,25.45523587,731.3791648,17,39.52599331,658.6724096,28,38.61799087,727.2840688,47,37.45652919,576.7074977,40,33.01465682,640.6348315
4/27/1999,149,27.54587644,662.5343428,25,38.70697567,755.9584926,20,36.51948239,746.6038981,45,42.12810735,557.3239459,33,36.96748418,578.3652743
