Month,E,A,C,H,G,,Month,E,A,C,H,G
Jan.86,101.2,103.4,108.5,112,99.3,,Jan.89,86.7,107.3,117,128.2,82.2
Feb.86,98.6,102.7,107.4,111.6,95.8,,Feb.89,87.4,108.1,117.8,128.8,82.3
Mar.86,93.6,103.8,106.4,112.2,85.6,,Mar.89,87.8,117.4,119.4,129.6,82.9
Apr.86,87.2,104.5,105.6,112,73.1,,Apr.89,90.9,117,120.1,130.2,86.9
May.86,85.3,103.9,105.3,111.1,72.6,,May.89,92.3,114.5,120.5,131.1,92.2
Jun.86,89.8,102.4,105.2,112.7,76.1,,Jun.89,95.7,110.7,120.1,132.2,93.1
Jul.86,86.2,100.9,105.7,113.7,72.3,,Jul.89,95.3,106.7,119.5,132.7,92.5
Aug.86,84.1,104.3,106.2,113.9,69.1,,Aug.89,94.2,108.7,119.6,132.7,90.4
Sep.86,84.6,107.2,106.6,113.7,69.4,,Sep.89,92.6,120.8,121.7,133,87.5
Oct.86,80.7,106.3,107,113.6,68.8,,Oct.89,91,121.7,122.2,133.7,87.3
Nov.86,80.1,105.6,106.8,113.1,67.7,,Nov.89,90.7,119.8,122.1,134.5,86.9
Dec.86,80.6,105.2,107.2,114,68.4,,Dec.89,92.3,114.7,122.1,135.3,86.2
Jan.87,81.6,102.7,108.1,115.2,69.9,,Jan.90,97.2,116.9,124.6,136.3,87.8
Feb.87,84,105.7,108.6,115.6,73.1,,Feb.90,94.7,116.2,124.6,135.8,88.1
Mar.87,83.7,110.4,109.8,115.4,74.3,,Mar.90,94.3,122.6,125.5,137.5,87
Apr.87,83.3,112.9,111,115.8,76.2,,Apr.90,93.8,126,126,138.2,86.6
May.87,84,112,111.1,117.1,77.5,,May.90,93.9,122.1,125.5,138.3,87.1
Jun.87,87.5,108,111.2,118,79.5,,Jun.90,96.4,117.7,125.3,138.3,91.7
Jul.87,88.2,105,110.7,118.3,81.7,,Jul.90,95.6,115.1,125.7,140.3,93.1
Aug.87,89.5,108.8,111.7,119.5,84.3,,Aug.90,98.2,121.2,127.4,142.1,97.7
Sep.87,89.4,115.2,113.1,119.8,84.6,,Sep.90,104.8,126.9,129.3,141.4,107.6
Oct.87,85.5,115.6,113.3,120,83.2,,Oct.90,107.8,128,131,141.2,117.2
Nov.87,85.7,115.4,113.6,120.3,82.5,,Nov.90,108.4,126.1,131,140.8,119.8
Dec.87,85.5,106.9,112.6,121.5,82.6,,Dec.90,106.3,122.9,130.8,141.1,119.2
Jan.88,85.7,102,112.4,123.2,82,,Jan.91,104.3,121,130.7,143.6,108.2
Feb.88,85.7,100.2,112.1,122.8,80.6,,Feb.91,101.5,121.9,131,144.8,99.6
Mar.88,84.4,105,112.9,123,79.7,,Mar.91,98.8,123.4,130.8,144.4,95.6
Apr.88,83.8,108.9,114.2,123.7,79.2,,Apr.91,98.1,123.5,131.3,144.2,97.4
May.88,84.3,106.9,113.6,124.3,79.1,,May.91,98.9,124,131.5,144.4,100.7
Jun.88,87.5,103.6,113.6,124.9,80.2,,Jun.91,101.7,122.8,131.2,145.5,101.2
Jul.88,87.5,100.3,113.6,125.8,81.4,,Jul.91,100.8,120.6,130.7,147.4,101.4
Aug.88,87.8,102.4,114.2,126,82.8,,Aug.91,100.4,123.7,130.6,147.3,101.5
Sep.88,87.8,116.2,116.9,126.9,82.6,,Sep.91,100.6,127.3,131.7,146.6,102.5
Oct.88,84.7,119.9,117.3,126.7,82.2,,Oct.91,97.9,129.5,131.9,145.7,100.8
Dec.88,85.3,111,116.3,127.1,82,,Nov.91,99.7,130.6,132.6,147.2,101.1
Month,E,A,C,H,G,,Month,E,A,C,H,G
Dec.91,100.1,125.8,132.3,147.4,100.8,,Nov.94,105.2,127.2,139.7,160,101.5
Jan.92,98.4,123.7,132.3,148.3,98.5,,Dec.94,104.5,121.7,138.7,159.7,98.8
Feb.92,97.7,123.4,132.8,149.4,96.7,,Jan.95,103.5,122.9,139.8,160.9,95.8
Mar.92,96.8,127,133.5,150.9,96.4,,Feb.95,104.1,123.9,139.7,161.5,95
Apr.92,96.4,127.1,133.8,150.8,95.5,,Mar.95,103.9,127.9,140.5,162,94.6
May.92,97.8,127.3,133.6,150.2,97.3,,Apr.95,103.6,127.5,141.1,162.4,94.5
Jun.92,103.6,124.6,133.7,151.6,101.2,,May.95,105.2,127.3,141.1,162.8,98
Jul.92,104.1,124.5,133.4,152.4,102.2,,Jun.95,108.6,123.5,140.9,163.9,101.5
Aug.92,103.4,128.8,134.5,152.9,99.8,,Jul.95,108.7,119,140.2,165,101.1
Sep.92,103.7,136.1,135.7,152.6,100,,Aug.95,107.4,123.1,141,165,98.7
Oct.92,101.4,135.6,136.1,152.6,101.2,,Sep.95,106,129.1,142.1,164.1,96.3
Nov.92,104.3,134.1,136.4,152.6,104.6,,Oct.95,103.6,130.5,142.6,164.2,94.9
Dec.92,104.6,129.7,135.5,152.2,103.8,,Nov.95,103.6,130.2,142.8,164.4,92.8
Jan.93,104.2,126.8,136.1,153.5,102.6,,Dec.95,104.4,126.7,142.2,164.6,92.5
Feb.93,102.6,133.8,137.4,153.8,100.6,,Jan.96,108,123.6,142.8,166.6,95.5
Mar.93,102.1,134.2,137.9,154.7,98.8,,Feb.96,108.5,128,143.6,166.9,94.9
