,C,BAC,JPM,S&P
1/4/1994,62.5443,11.9688,13.4583,466.89
1/5/1994,62.1582,12.125,13.375,467.55
1/6/1994,61.386,12,13.1667,467.12
1/7/1994,63.3164,12.2813,13.5417,469.9
1/10/1994,62.1582,12.4063,13.7917,475.27
1/11/1994,61.7721,12.375,13.6667,474.13
1/12/1994,62.1582,12.375,13.7083,474.17
1/13/1994,61.5791,12.3438,13.8333,472.47
1/14/1994,61.386,12.4688,13.8333,474.91
1/17/1994,61,12.4375,13.8333,473.3
1/18/1994,61,12.3125,13.5,474.25
1/19/1994,61.193,12.2188,12.8333,474.3
1/20/1994,60.6139,12.2813,12.6667,474.98
1/21/1994,60.6139,12.375,12.5417,474.72
1/24/1994,61,12.3438,12.5417,471.97
1/25/1994,61.193,12.25,12.4167,470.92
1/26/1994,62.1582,12.2813,12.625,473.2
1/27/1994,63.5095,12.4688,12.8333,477.05
1/28/1994,64.0886,12.5313,13.0417,478.7
1/31/1994,65.0538,12.6875,13.1667,481.61
2/1/1994,65.4398,12.6563,12.875,479.62
2/2/1994,66.212,12.625,13.0417,482
2/3/1994,64.8607,12.4688,12.6667,480.71
2/4/1994,60.0348,12.2813,12.3333,469.81
2/7/1994,61.386,12.3438,12.4167,471.76
2/8/1994,60.6139,12.0938,12.2917,471.05
2/9/1994,61.5791,12.3438,12.4583,472.77
2/10/1994,61.7721,12.0625,12.3333,468.93
2/11/1994,61.193,12.0938,12.2083,470.18
2/14/1994,61.386,12.1563,12.1667,470.23
2/15/1994,60.4208,12.1875,12.1667,472.52
2/16/1994,60.4208,12.1875,12.25,472.79
2/17/1994,59.8417,12.125,12.2083,470.34
2/18/1994,58.4905,12.0625,12.1667,467.69
2/22/1994,59.0696,12.25,12.3333,471.46
2/23/1994,58.8765,12.2188,12.5417,470.69
2/24/1994,57.3322,12.0625,12.4583,464.26
2/25/1994,57.9114,12.1875,12.625,466.07
2/28/1994,57.5253,12.2188,12.4167,467.14
3/1/1994,55.0158,12.1875,12.4583,464.44
3/2/1994,54.4367,11.9688,12.3333,464.81
3/3/1994,54.4367,11.7813,12,463.01
3/4/1994,55.0158,11.9375,12.0833,464.74
3/7/1994,55.2088,11.6563,12.125,466.91
3/8/1994,54.0506,11.75,12.125,465.88
3/9/1994,55.5949,11.6875,11.9583,467.06
3/10/1994,54.8228,11.6563,11.9583,463.9
3/11/1994,55.5949,11.7188,12.1667,466.44
3/14/1994,55.5949,11.75,12.5833,467.39
3/15/1994,57.9114,11.75,12.7083,467.01
3/16/1994,57.3322,12.0938,13,469.42
3/17/1994,57.5253,12,12.9583,470.9
3/18/1994,55.5949,12,12.7917,471.06
3/21/1994,55.5949,11.875,12.7083,468.54
3/22/1994,56.9462,11.875,12.8333,468.8
3/23/1994,59.2626,11.9063,12.75,468.54
3/24/1994,58.1044,11.8125,12.6667,464.35
3/25/1994,57.3322,11.5,12.4167,460.58
3/28/1994,55.981,11.6563,12.3333,460
3/29/1994,53.8576,11.5313,12.2083,452.48
