,GS UN Equity,MMM UN Equity,BA UN Equity,UNH UN Equity,IBM UN Equity,HD UN Equity,MCD UN Equity,AAPL UW Equity,JNJ UN Equity,TRV UN Equity,UTX UN Equity,DIS UN Equity,CAT UN Equity,CVX UN Equity,V UN Equity,JPM UN Equity,PG UN Equity,AXP UN Equity,DD UN Equity,XOM UN Equity,WMT UN Equity,MRK UN Equity,NKE UN Equity,VZ UN Equity,KO UN Equity,PFE UN Equity,INTC UW Equity,CSCO UW Equity,MSFT UW Equity,GE UN Equity
7/3/2006,,81.12,81.3,45.01,78.17,35.77,33.97,8.2786,60.15,45.03,63.99,29.6209,74.77,62.75,,42.87,56.3,53.66,39.7464,62.15,47.57,36.62,10.1663,30.0724,21.685,23.58,19.36,20,23.7,33.33
7/5/2006,150.95,80.55,80.17,45.11,77.77,35.53,33.76,8.1443,60.04,44.47,63.85,29.6702,73.13,63.88,,42.41,55.93,52.5,39.4899,62.55,47.02,36.69,10.0063,29.8393,21.51,23.68,18.75,19.6,23.3,33.31
7/6/2006,150.58,81.39,80.81,44.83,78.09,35.47,33.69,7.9671,60.52,44.62,63.85,29.6406,73.65,63.98,,42.45,56.45,52.54,38.9864,63.47,46.72,36.66,9.9738,29.5973,21.665,23.68,18.85,19.63,23.48,33.5
7/7/2006,148.51,74.1,79.99,45.39,76.42,35.37,33.18,7.9143,60.62,44.1,63.1,29.4334,72.58,63.68,,42.41,56.5,51.98,38.5114,62.82,46,36.97,9.885,29.3195,21.59,23.68,18.56,19.39,23.3,33.3
7/10/2006,148.85,73.11,80.32,46.82,76.67,35,33.68,7.8571,60.95,44.37,62.87,29.5222,73.27,64.27,,42.58,56.98,52.1,38.7394,63.04,46.18,36.82,9.8725,29.5615,21.815,23.87,18.18,18.97,23.5,33.45
7/11/2006,148.67,73.09,81.63,48.09,76.47,34.38,34.28,7.95,60.77,44.62,63.84,29.8478,73.4,65.3,,42.87,57.25,52.49,38.7299,63.98,46.13,37.27,9.8238,29.3015,21.905,23.49,18.67,18.69,23.1,33.26
7/12/2006,145.27,72.72,80.92,48.06,75.48,33.61,33.81,7.5657,60.62,44.2,63.24,29.5123,71.31,64.87,,42.25,56.61,52.2,38.2644,63.97,45.15,36.7,9.8263,28.952,21.785,23.18,17.88,18.26,22.64,33.06
7/13/2006,142.55,71.63,79.59,48.01,74.24,34.07,33.17,7.4643,60.27,43.68,61.43,28.3184,69.7,64.94,,41.39,56.54,51.25,37.571,64.07,44.16,36.94,9.845,28.45,21.55,22.87,17.69,18.02,22.25,32.67
7/14/2006,140.1,71.22,77.25,47.55,73.57,33.84,33.04,7.2214,60.46,43.56,58.81,28.1112,69.19,66.38,,40.89,55.62,51.27,37.6849,64.9,43.05,36.15,9.8225,28.3424,21.325,22.41,17.84,17.94,22.29,32.11
7/17/2006,140.87,70.66,78.95,47.65,73.7,33.6,34.72,7.4814,60.9,43.54,57.96,28.2198,69.19,64.87,,40.73,55.82,51.25,37.8654,64,43.02,36.37,9.8613,28.3066,21.35,22.41,17.84,17.97,22.48,32.36
7/18/2006,142.34,70.85,79.17,48.4,74.26,33.13,34.81,7.5714,60.6,43.11,58.88,28.7131,69.47,65.55,,40.71,55.81,50.95,37.7704,64.61,43.17,36.69,9.8125,28.3066,21.775,22.58,18.21,17.88,22.74,32.46
7/19/2006,146.97,71.02,82.29,50.93,76.07,34.35,35.09,7.7357,61.31,44.11,61.07,28.871,71.12,65.99,,43.05,56.64,52.1,38.3214,64.66,44.2,37.32,9.85,28.9699,21.91,23.3,18.49,18,23.45,32.88
7/20/2006,145.18,71.1,80.69,50.21,75.48,33.98,34.67,8.6443,61.37,44.31,60.25,28.7328,69.08,65.32,,42.98,56.61,51.79,38.0269,64.25,44.29,37.3,9.95,28.9071,21.92,23.71,17.15,17.88,22.85,32.52
7/21/2006,142.04,70.72,79.08,50,74.86,33.85,34.7,8.6743,61.73,44.22,59.95,28.0915,68.35,64.45,,43.15,56.07,50.62,38.0079,63.93,43.72,37.36,10.0075,28.5665,21.95,23.83,17.14,17.48,23.87,32.25
7/24/2006,146.9,71.69,81.44,50.8,75.99,34.61,34.84,8.7843,61.98,45.12,61.45,28.9795,70.52,66.27,,44.2,56.9,50.66,38.5399,65.36,44.43,38.95,10.08,29.2119,22,24.79,17.48,17.95,24,32.62
