Month,1,2,3,5,6,7,8,9,12,14,15,16,17,18,19,22,24,25,26,35,39
2006 01,9,30,24,21,20,16,22,13,46,50,53,27,26,43,46,42,37,34,17,45,42
2006 02,6,26,23,7,18,17,11,26,26,34,59,18,27,17,31,30,32,28,11,21,21
2006 03,13,39,32,15,13,12,23,20,33,42,65,30,37,34,36,35,36,37,17,29,35
2006 04,7,32,39,7,19,19,16,14,33,59,47,44,30,25,30,43,31,26,9,24,28
2006 05,14,32,34,6,10,24,36,21,48,80,62,27,35,31,36,50,30,39,21,45,26
2006 06,11,37,26,15,8,33,37,17,29,78,54,20,33,24,54,47,33,23,18,37,39
2006 07,6,68,31,27,23,29,29,37,33,66,81,30,34,35,65,55,39,25,34,39,41
2006 08,14,55,40,19,17,37,45,27,48,75,62,25,37,62,43,54,49,42,36,50,47
2006 09,4,55,32,20,15,28,26,22,51,57,53,17,39,63,45,50,45,45,37,32,36
2006 10,10,46,24,23,25,29,28,18,58,69,63,17,45,57,46,48,40,42,21,42,48
2006 11,13,56,25,22,8,6,27,13,58,59,65,22,51,43,58,47,42,44,30,34,56
2006 12,7,54,25,28,3,11,21,14,77,69,51,28,28,47,68,48,53,43,26,33,47
2007 01,5,49,19,20,11,19,10,23,56,60,66,28,43,59,76,65,42,41,27,43,50
2007 02,10,35,14,11,20,14,16,17,29,59,37,21,35,30,41,22,36,17,10,22,45
2007 03,7,41,22,17,12,17,19,13,33,58,42,19,31,28,49,27,44,29,21,44,33
2007 04,11,31,35,11,14,17,13,17,49,60,46,26,27,45,47,22,43,28,18,44,36
2007 05,15,47,32,7,18,33,24,14,37,60,73,28,26,51,59,46,47,44,24,37,44
2007 06,25,37,28,9,9,15,27,7,49,64,61,17,29,43,41,56,35,19,22,48,48
2007 07,18,44,28,8,15,20,31,22,55,64,67,16,39,37,67,46,67,52,36,33,23
2007 08,10,50,28,12,12,16,35,9,52,91,45,17,36,50,62,40,65,43,32,43,42
2007 09,22,37,29,5,11,14,21,16,53,54,61,18,41,43,66,53,58,31,27,31,31
2007 10,22,39,30,20,22,22,17,22,61,54,50,18,26,40,43,52,58,43,50,40,34
2007 11,17,43,23,13,14,13,12,19,67,70,58,12,42,49,46,62,65,40,37,38,38
2007 12,17,55,20,16,14,26,23,22,54,82,48,22,41,42,52,49,71,45,29,36,34
2008 01,17,49,28,32,28,39,20,16,43,56,45,28,46,48,55,27,73,51,40,70,40
2008 02,18,41,16,15,12,32,26,13,46,48,55,15,21,47,56,41,40,35,32,36,40
2008 03,19,50,23,14,7,19,17,8,42,63,66,23,36,50,69,57,39,45,31,39,48
2008 04,19,55,32,7,16,19,20,13,44,53,67,25,38,41,75,40,61,34,41,52,27
2008 05,12,40,25,8,20,23,23,19,60,47,76,37,44,46,67,55,67,41,53,47,31
2008 06,17,39,25,17,15,22,27,20,47,50,79,28,39,57,39,51,70,38,45,50,38
2008 07,26,40,29,19,14,15,36,23,51,93,108,34,58,48,51,76,79,47,30,54,51
2008 08,17,57,46,20,19,34,38,38,42,75,84,40,51,56,57,67,74,39,25,68,51
