"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1976",1501284,987060,891608,9899372,1241819,1455740,264791,335284,3602310,2273932,373138,5149989,2434546,1338074,1071376,1494225,1527236,477001,1916398,2721867,3993535,1852393,969878,2122679,330284,719847,328862,397632,3308854,482382,7692561,2609782,278686,4755748,1187330,1090242,5125768,436975,1296233,309906,1856518,5710482,527232,216308,2340718,1618814,697869,2142236,179878
"1977",1568504,1042116,930260,10382340,1292960,1484885,272833,330279,3724245,2332184,397769,5281924,2490170,1384889,1105749,1536657,1599156,479869,1973483,2763250,4109934,1915838,995545,2217870,348883,741279,350339,418365,3383863,513455,7731387,2688807,287162,4833856,1234371,1156384,5204966,446289,1326618,317559,1939384,5950809,545853,228284,2406419,1696825,711266,2187868,194801
"1978",1621710,1082446,952308,10905557,1347646,1513504,277334,334729,3962454,2410909,416943,5422862,2590145,1418036,1139699,1583514,1668701,483755,2044558,2813748,4208346,1971339,1012078,2254477,366065,754549,373494,434779,3467250,538014,7847918,2764219,293863,4950642,1270542,1216053,5304589,450847,1353561,326810,1977234,6209219,567238,239606,2491973,1809342,738077,2261573,209688
"1979",1656358,1152471,984461,11279488,1429392,1562654,280816,328952,4135752,2467596,429329,5448408,2636428,1421489,1169991,1616350,1726798,497657,2111836,2852892,4302204,2046335,1028571,2280920,371332,765089,400795,452147,3572955,556087,7997062,2810807,299850,5055136,1311532,1253483,5384412,460738,1371335,332946,2043202,6470105,604729,244838,2536127,1930439,770530,2325984,223061
"1980",1669289,1228001,998280,11579052,1491648,1588290,283955,321997,4274346,2533586,428739,5554539,2625544,1435156,1187425,1658824,1786701,505963,2148225,2868271,4303606,2104800,1056820,2306044,375691,769921,429584,466658,3591520,566057,7974354,2853983,303355,5087387,1370727,1298181,5435928,468996,1404592,335049,2081202,6752517,629827,250246,2560172,1984675,786225,2356163,235940
"1981",1677652,1271678,1023163,11829789,1539314,1596437,287919,306560,4527425,2600075,430350,5592209,2617959,1426591,1187080,1665577,1854541,509975,2171319,2941642,4302873,2122138,1059321,2321961,385038,775186,463175,477481,3605102,578162,8022783,2911968,309566,5105836,1438610,1332668,5478375,475921,1440956,334385,2109072,7061470,647080,257581,2607554,1997449,786286,2378803,249994
"1982",1716324,1341767,1024106,12152372,1595941,1608804,294391,307539,4729458,2655895,442756,5614249,2599391,1424383,1193568,1683086,1867571,518584,2174978,2987137,4287138,2153900,1063553,2326378,388809,784839,482097,487036,3626746,595252,7978964,2935666,315885,5126857,1494118,1329233,5492370,475945,1478368,331818,2132868,7376503,673441,263223,2651253,2023476,782433,2421495,257381
"1983",1756953,1386057,1031664,12293797,1666793,1619703,296258,316481,4927448,2692349,453993,5603113,2583412,1422636,1188919,1702034,1908753,535851,2197036,2996869,4291139,2175118,1060755,2357360,396719,787905,486023,498244,3688776,608731,8037315,2945353,320240,5097422,1541193,1334345,5480516,476842,1484428,334537,2179996,7643814,688079,264317,2721531,2056817,765479,2415317,259713
"1984",1788133,1431770,1042889,12637075,1715898,1663064,307185,321549,5161635,2769779,462704,5611290,2631866,1415875,1203358,1704246,1951326,547680,2240006,3037295,4337979,2202696,1076818,2386949,401741,792288,499664,520641,3810874,625064,8104569,3029867,326772,5096523,1559584,1328665,5495136,487592,1504924,341952,2224347,7840165,704638,268562,2817037,2064244,764756,2392021,254140
"1985",1802728,1487075,1047947,12982818,1714199,1710255,316652,323655,5342656,2877663,466588,5672208,2710413,1413046,1228017,1694398,1985981,551978,2280057,3051393,4360316,2228246,1123857,2460185,402891,806451,516346,541015,3844017,649722,8293107,3106764,332622,5153700,1567481,1321878,5552886,499236,1547943,345294,2257243,8028508,730769,278950,2862792,2097674,757346,2379204,251849
"1986",1861327,1562728,1067484,13335690,1705842,1737273,324857,323379,5590997,2982631,471760,5694686,2748410,1433643,1241711,1693468,1979030,562749,2346980,3066029,4398541,2241061,1152710,2535842,401814,808354,530886,561335,3903528,671408,8438633,3185480,332507,5222904,1590593,1356675,5603120,509201,1587452,348925,2300145,8179583,750189,288936,2913661,2188078,747599,2417601,250778
"1987",1869005,1618230,1092247,13743990,1701342,1750361,332990,330066,5859869,3063215,470758,5756424,2757863,1452988,1262821,1692290,1948253,584840,2408210,3094323,4511201,2280674,1149889,2582361,401148,809864,556169,582583,3961873,675614,8482355,3266960,330954,5259505,1558956,1390525,5662027,516940,1624528,353333,2334831,8274343,755593,295679,3004002,2257364,747272,2486571,240530
"1988",1877663,1666073,1111749,14141442,1697028,1746643,348445,329849,6054325,3144406,479124,5849194,2805683,1491110,1276496,1712328,1920896,598659,2469123,3141431,4552889,2307357,1145759,2584524,404629,813514,582023,599963,3974034,685612,8546476,3320376,330983,5317556,1527352,1430852,5762223,521583,1656972,357415,2345200,8337079,761260,301054,3082007,2326789,748053,2555148,237937
"1989",1896227,1718674,1128467,14552934,1702489,1772352,359658,314700,6237743,3208446,489473,5994211,2856099,1508708,1284372,1736251,1881536,614540,2523885,3175997,4589440,2351967,1165936,2611877,408809,816764,604199,613360,3996223,696460,8698808,3396102,330463,5380101,1519275,1466406,5826436,524842,1697915,360925,2367338,8442930,789203,305936,3151756,2451094,756974,2595987,237771
"1990",1907367,1786186,1131830,15138423,1763683,1819775,360223,328924,6464169,3283912,492490,5947011,2814608,1451750,1272519,1754358,1869848,633069,2590052,3206383,4607247,2398899,1183981,2614839,403136,825024,669920,620106,4055456,713787,8813271,3476500,317217,5419623,1523545,1490722,5828450,525361,1743547,347178,2394729,8618927,822207,304774,3252176,2525326,762165,2589873,235964
"1991",1920555,1805012,1129518,15126481,1794287,1841104,361714,321433,6532429,3278409,508081,5944289,2792829,1474789,1279949,1762723,1907456,645139,2616556,3194946,4595664,2427606,1184038,2645085,405837,836294,702749,614313,4065824,725155,8741100,3538010,315214,5431912,1507357,1516876,5855127,518015,1758778,350013,2413716,8766240,852319,303590,3339309,2545980,776738,2620564,235670
"1992",1965516,1873606,1154527,15304998,1845245,1827707,367162,317226,6657112,3399695,531126,6027916,2857384,1511801,1308836,1778852,1921822,644489,2651353,3181030,4678258,2468394,1190488,2651148,417467,847609,731906,614149,4063907,741883,8751234,3603937,315924,5503260,1517081,1554604,5911157,526655,1789261,356762,2457179,9005336,888853,307571,3400299,2635812,778882,2687155,238859
"1993",2003905,1949027,1177924,15261199,1931142,1795716,376854,315856,6756534,3480778,554106,6072484,2948307,1559713,1333092,1803302,1897952,628854,2658444,3174301,4742463,2516375,1215133,2684206,422646,864394,768893,617488,4019377,758589,8715592,3628362,323927,5501305,1533187,1599829,5904299,522244,1829683,365476,2526887,9187561,940966,312578,3378790,2692270,779810,2754297,242868
"1994",2026692,2104125,1218426,15256527,2039524,1756296,384827,310532,6947512,3593963,587134,6108648,3064328,1579261,1348851,1826236,1943086,621684,2681591,3200834,4807898,2556437,1248762,2770737,432281,886391,812037,624921,4058732,781343,8678491,3686337,336807,5548818,1548909,1646846,5893118,514025,1843154,378141,2659938,9403041,990791,315615,3428901,2739472,782507,2829522,250668
"1995",2067444,2229131,1238738,15246014,2124988,1734064,385838,300085,7046151,3682926,600704,6174337,3135172,1587051,1349748,1855545,1959012,637534,2710626,3214652,4812501,2604291,1258844,2863240,443172,902311,844115,631197,4121562,799191,8661116,3763539,340299,5589102,1555736,1672690,5908490,511418,1857227,387360,2732184,9577635,1012703,319849,3451089,2811332,784567,2882201,255335
"1996",2086463,2285205,1248668,15422616,2154732,1741727,388134,287378,7169990,3810136,616791,6247845,3109669,1608348,1358124,1874089,1989219,656737,2740602,3241366,4877630,2652527,1264513,2908811,449306,914379,891348,638154,4205216,812619,8785710,3901251,347537,5645423,1580955,1719625,5979581,516096,1893455,391213,2767002,9719628,1038967,323956,3420680,2884868,795409,2933003,255836
"1997",2133573,2308569,1242594,15790063,2217553,1752540,387597,282744,7368111,3960492,633725,6300928,3120608,1602935,1381702,1916745,2021240,656709,2766990,3305660,4954558,2679234,1272802,2927870,452708,921312,939780,649244,4263767,823101,9012217,3983679,351391,5695177,1609954,1750280,6056001,527878,1911635,393649,2786082,9922250,1070223,327878,3446323,2981747,796507,2970086,253828
"1998",2136177,2387027,1241352,16144564,2311582,1742196,394889,291902,7521469,4072762,649435,6347005,3123160,1595942,1416392,1932757,2048904,653210,2764180,3340628,5019762,2711784,1274790,2916610,460394,930952,978737,661664,4246417,834554,9071814,3990054,349505,5707110,1637452,1779976,6063130,532609,1941200,399442,2812390,10095846,1100830,333732,3485097,3050487,795145,2969590,257589
"1999",2140296,2473013,1255032,16416600,2344282,1754565,398783,306131,7657159,4153499,651207,6467988,3124851,1596414,1425599,1959402,2039045,668497,2766119,3353865,5115757,2756145,1286502,2904971,464373,937559,1020300,675195,4287886,836237,9126567,4057006,343452,5754992,1656205,1793699,6076778,538096,1981546,406105,2852445,10245857,1120920,336946,3540081,3085544,804343,2947247,262758
"2000",2133223,2509883,1258301,16867808,2359515,1764126,413500,310469,7856895,4222253,659824,6493466,3126379,1590453,1406580,1965688,2037075,678164,2803685,3330177,5162774,2812947,1319266,2959946,467293,944973,1067022,687908,4282069,845755,9133869,4138190,342568,5787343,1660528,1818559,6106892,543561,1993562,408658,2843069,10374053,1142044,331404,3605811,3059339,809063,2973221,266808
"2001",2115401,2585284,1253456,17128430,2391048,1759829,421786,310515,8043714,4262041,677665,6457922,3140899,1612964,1390620,1958409,2028302,674319,2837985,3381287,5119956,2845203,1294134,3001465,466063,950764,1112079,697760,4288826,857949,9151745,4198338,341816,5816832,1675935,1823916,6178617,543862,1949685,412778,2861343,10532732,1164077,337065,3670137,3039367,809128,3011703,269359
