date,CT,ME,MA,NH,RI,NJ,NY,DE,DC,MD,PA,VA,WV,AL,FL,GA,KY,MS,NC,SC,TN,IL,IN,MI,MN,OH,WI,AR,LA,NM,OK,TX,IA,KS,MO,NE,CO,UT,AZ,CA,NV,ID,OR,WA
1984,15.5,2.51,12.81,1.54,11.95,26.56,43.81,8.99,153.6,29.02,10.65,21.12,17.38,34.64,75.3,57.18,8.58,55,29.02,49.2,24.79,21.22,8.44,8.25,5.56,6.03,4.2,19.48,66.46,18.42,15.61,69.92,2.1,7.67,14.29,2.77,11.36,3.51,21.19,42.57,22.59,4.14,9.41,10.82
1985,16.18,2.84,12.55,1.6,14.55,29.92,44.99,12.45,147.63,26.12,10.74,16.37,13.58,34.5,70.19,51.02,6.6,53.54,25.32,43.8,28.18,20.21,5.4,7.45,2.91,4.4,2.13,26.77,61.03,22.1,15.86,66.03,3.29,5.72,11.68,2.46,10.78,2.37,23.74,41.57,18.5,1.91,8.83,8.66
1986,15.85,4.44,12.08,1.56,9.92,26.01,41.53,17.53,122.19,26.76,15.44,17.58,15.24,29.08,80.8,44.96,5.4,48.27,21.32,42.56,27.28,17.8,5.65,6.73,2.57,3.14,2.84,24.27,52.16,18.87,14.75,56.82,2.97,6.25,9.85,2.54,10.69,3.31,21.46,49.75,17.33,2.52,8.72,10.28
1987,23.34,2.11,13.49,2.56,8.89,27.33,63.68,21.04,195.76,30.7,19.94,17.65,11.84,29.31,130.7,61.23,4.53,51.41,25.68,45.28,30.29,15.19,3.65,6.78,1.98,1.95,3.31,20.7,47.51,22.25,16.88,50.39,3.32,4.21,6.52,1.09,10.27,7.27,28.16,73.23,28.82,6.5,25.1,14.69
1988,37.98,2.16,16.25,2.68,10.13,33.2,77.19,32.88,265.97,40.55,29.47,23.19,13.06,34.66,156.54,85.15,7.01,46.73,31.64,43.81,41.94,14.27,4.39,12,2.51,2.1,2.86,27.53,52.22,31.06,14.68,57.86,3.61,5.64,9.29,3.12,10.36,6.33,28.28,77.09,84.35,6.29,29.58,17.56
1989,62.31,2.05,17.85,3.35,19.29,43.32,90.67,65.02,324.11,40.93,50.52,28.28,19.37,49.7,149.31,124.99,6.47,64.6,37.82,51.12,59.06,22.28,5.14,17.47,3.32,4.03,6.12,34.61,73.2,12.1,12.19,59.07,3.43,7.08,7.63,4.25,6.04,3.4,20.62,62.59,35.96,2.11,18.24,18.96
1990,56.47,1.7,28.28,3.6,16.8,56.42,107.09,58.99,489.82,66.19,64.58,34.31,13.72,77.38,117.83,141.42,7.77,96.32,50.89,62.21,88.77,36.21,6.59,28.19,4.83,10.16,12.68,55.12,125.03,14.59,19.47,77.19,5.32,7.13,11.72,2.34,6.05,2.77,35.04,57.35,42.11,2.67,11.26,16.97
1991,40.72,0.97,23.31,3.42,23.65,46.72,101.42,53.29,480.64,63.54,50.8,43.66,20.35,84.85,77.66,120.32,8.57,108.51,57.99,92.31,76.09,51.09,8.3,37.37,4.68,13.4,20.45,80.94,152.75,11.89,19.3,76.92,5.75,14.93,18.41,3.88,6.7,4.61,21.91,42.37,23.61,3.46,9.46,11.34
1992,25.54,0.97,17.35,5.64,17.97,34.72,84.54,62.88,390.42,44.83,44.86,31.4,15.17,62.76,60.94,87.28,10.46,131.38,75.83,77.78,64.62,54.07,13.5,29.14,6.12,19.52,19.18,90.32,153.51,8.65,25.21,61.15,5.5,17.89,37.2,3.97,5.92,2.89,13.79,37.32,12.8,2.52,7.25,8.04
1993,16.98,2.33,15.43,4.43,14.38,32.16,67.99,38.79,277.51,37.51,35.12,30.26,10.73,55.38,53.26,58.42,17.08,160.78,63.16,63.85,63.08,41.33,17.76,20.46,5.73,26.02,21.89,65.14,158.79,10.51,22.17,54.53,6.17,11.46,47.43,2.15,7.94,3.58,13.7,34.42,9.85,1.35,5.85,6.82
