Date,DJIA,NASDAQ,SP500,,Date,DJIA,NASDAQ,SP500
4/9/1990,0.012682722,0.012454022,0.012448684,,12/10/1990,0.001431337,-0.007294405,-0.002841541
4/16/1990,-0.020504632,-0.024360328,-0.027140868,,12/17/1990,0.01524662,0.012931263,0.014972091
4/23/1990,-0.019060641,-0.018488292,-0.018096666,,12/24/1990,-0.001691074,-0.006444689,-0.009175346
4/30/1990,0.02439152,0.025042665,0.027807125,,12/31/1990,-0.024300032,-0.010834342,-0.023765204
5/7/1990,0.033102065,0.021923111,0.039432055,,1/7/1991,-0.025496824,-0.014815152,-0.018138557
5/14/1990,0.006521367,0.023015416,0.007472057,,1/14/1991,0.056457267,0.041153648,0.052524967
5/21/1990,0.000358107,0.011973589,-0.000169279,,1/21/1991,0.004760443,0.044866823,0.011491959
5/28/1990,0.027982109,0.018345118,0.023909566,,1/28/1991,0.026450042,0.05765149,0.020556682
6/4/1990,-0.013391748,-0.002600244,-0.012329282,,2/4/1991,0.035966174,0.044711897,0.046420686
6/11/1990,0.025357202,0.014432156,0.011640643,,2/11/1991,0.036067685,0.026879143,0.026662366
6/18/1990,-0.027175507,-0.017909677,-0.020826576,,2/18/1991,-0.015553101,0.000668348,-0.009282652
6/25/1990,0.008194728,0.00651044,0.007260516,,2/25/1991,0.007083621,0.017003859,0.013095897
7/2/1990,0.008386333,-0.003901149,0.001116699,,3/4/1991,0.015447631,0.039519578,0.012020243
7/9/1990,0.025574234,0.017009763,0.024500653,,3/11/1991,-0.002347749,-0.018738547,-0.003633787
7/16/1990,-0.006416103,-0.028366103,-0.015639931,,3/18/1991,-0.030778162,-0.004600015,-0.016490003
7/23/1990,-0.021377478,-0.028290075,-0.022852496,,3/25/1991,0.019038297,0.038358539,0.020843598
7/30/1990,-0.03113693,-0.058381897,-0.024575251,,4/1/1991,-0.005878914,0.027586166,0.000373002
8/6/1990,-0.033686121,-0.02301737,-0.02745696,,4/8/1991,0.008254356,0.011690383,0.013337789
8/13/1990,-0.026778298,-0.036186107,-0.023186393,,4/15/1991,0.01522189,-0.000857576,0.009939967
8/20/1990,-0.04322271,-0.068902148,-0.051063669,,4/22/1991,-0.018105454,-0.013155019,-0.013574336
8/27/1990,0.03164661,0.037145283,0.034857687,,4/29/1991,0.009051211,-0.005148296,0.004685326
9/3/1990,0.001983199,-0.002100888,0.002600769,,5/6/1991,-0.00637998,0.002678805,-0.013376883
9/10/1990,-0.021391084,-0.015898586,-0.020524617,,5/13/1991,-0.011552116,-0.024703775,-0.008955656
9/17/1990,-0.020381017,-0.032852164,-0.017543967,,5/20/1991,0.0094061,0.023182616,0.013602319
9/24/1990,-0.024130715,-0.050378474,-0.017072896,,5/27/1991,0.038241405,0.026914402,0.032166662
10/1/1990,0.023437909,0.008382746,0.01765089,,6/3/1991,-0.016908458,-0.015070162,-0.027040605
10/8/1990,-0.045894253,-0.058683466,-0.037516872,,6/10/1991,0.007933522,-0.006984664,0.007509398
10/15/1990,0.049928955,0.029475782,0.040658036,,6/17/1991,-0.011696356,-0.018860982,-0.011946905
10/22/1990,-0.034157584,-0.008931289,-0.025180027,,6/24/1991,-0.020030286,-0.020588399,-0.017599354
10/29/1990,0.022205263,0.006260286,0.023161847,,7/1/1991,0.008809443,-0.003937024,0.007836396
11/5/1990,-0.000895674,0.016212588,0.006042263,,7/8/1991,0.016336602,0.038607971,0.016359288
11/12/1990,0.024467029,0.025690528,0.01071565,,7/15/1991,0.011855905,0.009775283,0.010386377
