湖北,北京,福建,广东,广西,海南,河北,河南,黑龙江,湖南,吉林,江苏,江西,辽宁,内蒙古,安徽,宁夏,山东,山西,上海,天津,西藏,云南,浙江,重庆
10.25511895,10.05238129,10.00162974,10.26214831,9.537590934,10.07106765,9.577550073,9.495085994,9.570475571,9.57094045,9.243587751,9.892765121,9.501067055,9.597677995,9.363005663,9.180867557,9.612627101,9.520056961,8.807575365,10.65532587,10.13467705,9.163030362,9.619211141,9.687208378,9.745645578
8.969435773,8.838563224,8.918044561,9.474809355,8.437312332,9.36735979,7.793133092,7.956020162,8.938954345,8.498427522,8.154266604,8.677643329,8.585868146,8.548339568,8.472211516,7.627447015,8.793756175,8.471638849,7.366876998,9.547288079,8.823192475,8.930437487,8.52587103,8.393510808,8.480963645
8.683109114,8.809121757,8.737748837,9.235408308,8.289673412,9.367140396,7.983778796,8.20330533,8.926333538,8.301228447,7.986951116,8.374788874,8.193455525,8.419378291,8.51561695,7.460610604,8.041831232,8.213882711,7.458666626,9.332600662,8.51769973,8.521749462,8.390199013,8.139057023,8.434540785
8.708623141,8.736962984,8.81868349,9.180086013,8.308806881,9.157797174,7.822137524,7.79900167,9.019168017,8.379409529,7.750560922,8.290687745,7.937520519,8.22271932,8.310974356,7.784946018,8.265212827,8.229732176,7.686766651,9.301245558,8.619024487,8.355038901,8.455734722,8.180704555,8.27581495
9.146040756,9.30435372,9.079061027,9.525035621,8.537895251,9.320203983,8.393623445,8.365276126,9.227805109,8.701157671,8.021543495,8.6757639,8.38597151,8.633253856,8.645278531,7.968234505,8.993346622,8.515228773,8.07697617,9.865685845,9.303698344,8.689667614,8.93484955,8.340250485,8.624155424
9.16691708,9.309254683,9.163253656,9.642290178,8.538068772,9.395800055,8.730634629,8.710116289,9.166760437,8.716934235,8.388990434,8.693324474,8.438595412,8.755978368,8.789780027,8.168555988,8.738699403,8.644281832,8.389344668,9.794846635,9.415770632,8.758636841,8.84466173,8.410308882,8.579312121
8.480051915,8.408267513,8.60828398,8.908847009,8.0904927,8.830735487,7.921080521,7.742078515,8.565584943,8.035632358,7.602276515,7.919160238,7.860088602,8.210654104,7.898299687,7.277260292,8.004298762,7.970472814,7.223052518,8.865243383,8.496474705,8.476267025,8.309784692,7.628930065,7.764626218
8.59419667,8.534593693,8.469740632,8.896905898,8.013784439,8.982975423,8.004545019,7.78976212,8.50916354,7.867450651,7.798728203,7.854850987,7.678788998,8.102964041,8.087855384,7.292968204,7.915348169,7.913881774,7.449294378,8.870732109,8.226300638,8.620819347,8.338282292,7.708962495,7.800797855
8.578693853,8.533532833,8.643650399,8.953387556,7.898545692,9.049796941,7.977510813,8.017307508,8.685629459,8.050409101,8.030856908,7.883477922,7.738629725,8.281497409,8.305678635,7.279519442,8.196298985,8.277029411,7.316215896,8.852793811,8.664299691,8.545683462,8.464335305,7.904140102,7.680288541
8.815053101,8.625173672,8.604745827,9.145721999,7.895155707,9.001441753,8.254741603,8.12015179,8.552014337,8.367574819,7.901594842,7.984896552,7.717840694,8.374584909,8.394025057,7.571190396,8.384180521,8.260753987,7.391371196,8.861678785,8.609357823,8.861056415,8.363766916,7.781752255,7.752896053
8.977940167,8.683267758,8.683901429,8.920362223,7.9519457,8.759289336,8.151791326,8.361752235,8.907715386,8.472506808,7.695416868,7.854398168,8.159255546,8.465544553,8.211442188,7.757948942,8.672471521,8.363625798,7.673353345,8.961482109,8.651530592,8.636460839,8.46066559,7.895801933,7.997831237
9.821677451,9.478875387,9.148919067,9.360068301,8.58653889,9.148725573,8.81524234,8.838083778,9.176770726,9.166521676,8.522877082,8.963091248,8.29924653,8.994220901,8.834981246,8.474251528,8.936763683,9.019727067,8.392041826,9.807167642,9.387079152,8.953224454,9.053008905,8.573282052,8.752761458
10.09055392,9.46295858,9.309331677,9.657576078,9.022232909,9.279179787,8.942592127,8.85603656,9.297092399,9.38019082,8.824437053,9.157467807,8.638498904,9.26093847,9.281228613,8.689123062,9.064132977,9.128096508,8.584294052,9.894834445,9.617026401,8.748848982,9.012548484,8.712617695,9.071121726
9.459983982,8.862356283,8.754631944,9.111056209,8.729127217,9.10115217,8.27160667,8.297454551,8.607822204,8.921708637,8.07474644,8.570815919,8.525673796,8.585585305,8.23317108,7.959145718,7.950504785,8.493200938,7.569411792,9.122132472,8.744854522,8.509823243,8.351383677,8.271586453,8.463616591
9.330278281,8.775811989,8.677936865,9.203203036,8.886525755,9.112135674,8.214161243,8.131663755,8.593645606,8.855581772,8.076068522,8.385117151,8.236844166,8.579693489,8.443401323,7.765819647,8.263851996,8.465555393,7.85005483,9.113556256,8.702799971,8.250769269,8.577055923,8.08816751,8.579862258
9.262955629,8.796180971,8.865235111,9.438211871,8.74074346,9.420866659,8.226127233,8.426047566,8.707089632,9.131850632,7.815837412,8.547974023,8.553367603,8.640865425,8.685445404,7.657720917,8.602500784,8.462488197,7.889224952,9.326200281,8.956688482,8.45289845,8.594757014,8.456337078,8.46106601
9.473400045,8.932651834,8.930614501,9.663493438,8.537136272,9.537803698,8.192433402,8.474556555,8.959052924,8.871147578,8.122315699,8.557992101,8.526994996,8.634709976,8.645388497,7.780006725,8.810459642,8.682709325,8.069003238,9.341623618,8.929484945,8.487278755,8.687180999,8.383794125,8.407068258
9.778602998,9.207507808,9.001451164,9.776668854,8.867633907,9.268260163,8.487695764,8.447867612,9.056368124,8.912289233,8.008615123,8.634532769,8.46522423,8.716243207,8.742051272,8.027239142,8.7469389,8.727328021,8.197217469,10.51198721,9.058998452,8.645747217,8.580937647,8.601906513,8.413075113
10.18781997,9.78234224,9.344005347,9.891754322,9.260438331,9.497603607,9.151865139,9.021602101,9.365981451,9.369417628,8.745771965,8.861695736,8.741946114,9.146996223,9.685825824,8.516447747,9.252824984,9.179654879,8.575839387,10.04736231,9.710826325,8.890213814,9.089843094,8.83406019,9.066319875
10.28238331,9.770349548,9.45764594,10.00413898,9.371112226,9.612844991,9.181864283,9.029731063,9.427009721,9.480371066,8.63009768,9.169492971,8.96041908,9.350427883,9.199913703,8.541493177,9.363533451,9.422926763,8.814887474,10.07051612,9.916090303,8.874877626,9.150865489,8.888695077,9.057960716
9.083457641,8.941598378,8.848315167,9.459224742,9.047063116,9.431989474,8.625824365,8.388745454,8.930279021,8.939246092,8.197848438,8.592325226,8.672744448,8.831884038,8.749225124,8.086428224,8.375283945,8.656201871,8.334721623,9.699312443,9.167448181,8.502818947,8.727214056,8.277216824,8.321089766
9.19158971,8.969239262,8.92091098,9.390817038,8.999205057,9.265573229,8.353996679,8.293295189,9.004888014,8.682580978,8.118616802,8.724811289,8.834074778,8.876135363,8.923840933,8.051760916,8.849561781,8.734318825,8.094073148,9.563641067,9.073704738,8.374345063,8.692532764,8.510678728,8.588292198
9.291638701,9.003042354,8.990995223,9.421769479,8.864308353,9.46956767,8.473684522,8.306948237,8.905146458,9.181545593,8.228443916,8.786169958,8.778015008,8.866836266,8.308199063,8.137472914,9.024492605,8.887479274,8.032809327,9.590691077,9.103296218,8.659548043,8.744720719,8.629687544,8.539576614
9.5134603,9.044127159,9.050886816,9.608811944,8.749865202,9.276666357,9.116959151,8.496114493,8.763874945,9.140282927,8.304788645,8.677973584,8.830231071,8.82285773,9.239697698,8.078809669,8.751316247,8.906398175,8.63432861,9.567006176,9.209467992,8.60371159,8.868432147,8.67007957,8.514551149
