### GDP simple growth 1980.I to 2018.I (in percentages)
   US      UK     FR   AU   GE    CA
0.3145153 -0.9719569 1.119703 0.4478638 0.801235 0.7067828
-2.060477 -1.979667 -0.5731772 0.2604569 -0.6438022 -0.03293659
-0.1188486 -0.1241305 -0.001383286 0.5276328 -0.3967224 -0.1354361
1.864925 -1.061944 -0.06086513 1.722049 -0.13276 1.395319
1.959438 -0.1581866 0.3456891 0.3853689 1.189866 2.222622
-0.741078 0.2427818 0.4917462 1.552 -0.2496323 1.103378
1.197524 1.08778 0.8016114 2.010489 0.263434 -0.8960904
-1.089546 0.1149653 0.543321 -0.4009357 -0.07883145 -0.455675
-1.553541 0.1561732 0.7950025 -0.8106423 0.3746705 -1.189497
0.4561966 1.12407 0.6943395 0.9059793 -0.6155935 -1.152753
-0.3822953 0.263948 0.05337604 -0.6673266 -0.9884038 -0.8816859
0.03994247 0.7051746 0.5984929 -1.584049 0.2395889 -0.9228845
1.317854 1.810554 0.4046865 -1.005523 0.9062695 1.644656
2.275605 0.8527816 0.01089338 -0.1902718 1.052778 1.9873
1.999069 1.101035 0.1521608 2.796451 -0.2083678 1.133117
2.086219 0.8649186 0.4699601 1.66346 1.383274 1.272203
1.95477 0.6893475 0.6704805 2.505795 1.322573 1.71501
1.727791 -0.8720806 0.2919518 1.122588 -1.575206 1.956069
0.9640641 0.6506818 0.5643348 0.8514495 2.723288 0.424365
0.8208628 1.986396 0.2429466 0.692727 0.8418143 1.57611
0.9690868 0.8436434 0.1817684 1.461266 -0.5450709 1.518987
0.8804553 2.130698 0.6742824 2.205599 1.002248 0.3212119
1.527124 0.09471853 0.6451613 1.356369 1.302408 1.266018
0.743292 0.2428673 0.3981407 -0.2714865 0.5999773 1.538556
0.9335039 1.139278 0.3681005 0.6836715 -0.5720494 -0.02213829
0.4503839 0.7318685 1.080402 -0.1895109 1.150685 0.575723
0.9570324 0.4366465 0.4092752 0.2764566 0.7382392 0.1275397
0.5370757 1.764729 0.2402801 1.645532 0.9971082 -0.7203976
0.7451714 0.8921589 0.2697446 1.002403 -2.509805 2.315915
1.078898 1.444603 1.146496 1.539746 2.244994 1.296611
0.867612 2.417736 0.7621816 1.807489 0.6921207 1.531916
1.717053 1.131707 1.529804 2.001464 1.5999 1.298438
0.5166263 1.808673 1.294232 0.4894085 -0.9069727 1.462704
1.313867 0.5984289 0.6671362 0.05046011 1.812832 0.8885097
0.5859288 1.529459 1.321039 0.8143212 1.133076 0.008201003
1.332496 0.8615669 0.9866007 1.541289 1.177547 0.7026654
1.016602 0.4353273 1.349724 1.086108 1.045143 1.140544
0.7632691 0.6522512 0.8039044 2.06071 0.402548 0.3841466
0.7408807 0.09346506 1.175799 0.8289961 0.9132453 0.3609211
0.1970468 0.09026519 1.194239 -0.2612884 1.158806 -0.2142754
1.09279 0.6813886 0.6878482 0.8200657 2.075707 0.9386297
0.3629082 0.5151331 0.4739942 0.1058419 0.4916601 -0.4157579
0.06652294 -1.037961 0.3609152 -0.5534968 2.105935 -0.7177665
-0.9103794 -0.3350101 0.2930813 0.5826254 1.760421 -0.8963968
-0.4678438 -0.2810943 -0.1646451 -1.296443 2.264805 -1.446843
0.7797188 -0.12185 0.5698098 -0.1595656 -0.4153615 0.4573512
0.5052966 -0.2287041 0.1856504 0.4531827 -0.5055573 0.1276962
0.3484987 0.1592057 0.5447045 0.06993978 1.295725 0.1802212
1.197052 -0.007999807 0.8930966 0.7858724 1.602069 0.06574141
1.084353 -0.1217459 0.01052858 0.6892244 -0.6541607 0.1203958
0.9882719 0.6404675 -0.0263187 1.015194 -0.2981799 0.5381792
1.043165 0.7017957 -0.2142906 2.063589 -0.2118281 0.5658579
0.1674003 0.7322999 -0.6898935 0.7082904 -0.8804268 0.6365299
0.5824196 0.5083034 0.1413281 0.5392542 0.05039803 0.9097617
0.4773147 0.80476 0.1522704 0.1148267 0.7051974 0.9549656
1.360113 0.6804874 0.2283232 1.84317 -0.06252197 0.4300763
0.9702163 1.217 0.6559249 1.682868 1.223048 1.471458
1.355046 1.160735 1.141832 1.237255 0.346104 1.465433
0.5845152 1.135658 0.5682349 0.7576557 0.7514163 1.277498
1.145524 0.5693654 0.9478159 0.9405434 1.320454 0.7255837
0.3547561 0.3217664 0.4776406 0.028779 -0.455553 0.9224514
0.2983409 0.3607462 0.4870762 0.3551535 0.8728373 0.0340199
0.8506775 0.9823465 0.1238379 2.257325 0.3364875 0.1306879
0.679021 0.2817302 0.04780453 0.08456776 -0.04790367 0.4054504
0.7489468 0.9017124 0.6689437 1.647678 -1.000537 0.06215331
1.667847 0.3183819 0.2435992 0.697541 1.428227 0.6960878
0.8969914 0.6829708 0.6020067 0.8461459 0.6085922 0.8773326
1.038382 0.9521455 0.1013527 0.8750818 0.5574665 0.7952957
0.6455644 1.927657 0.3739038 0.5962619 -0.6015042 1.319449
1.662001 0.883882 1.160658 2.958816 1.412131 1.126081
1.250848 0.4906134 0.722999 0.1285944 0.3861461 1.194758
0.8588165 1.037167 1.07343 1.384654 0.7110356 0.9584334
0.9994799 0.7597015 0.8865893 0.7764099 0.8015588 1.402205
0.9258071 0.9067471 0.865678 0.9398309 -0.3215008 0.04349747
1.252567 0.7454681 0.7530071 1.901334 0.2649456 0.9276267
1.61588 0.9729581 0.7379901 1.505716 -0.02298275 1.350892
0.9464719 0.5649958 0.5876514 0.7371056 0.8015685 1.812465
0.7691586 0.06201743 0.8309242 0.376343 0.2165958 0.839816
1.309665 1.784713 1.15697 1.142537 1.046534 1.55773
1.699585 1.374781 1.2607 1.702242 1.249574 1.421416
0.3617602 0.8439337 1.053241 0.4116346 0.9395595 1.596
1.831165 0.6113409 0.9153095 0.9489093 1.013441 1.191249
0.1335553 0.2806706 0.6685991 0.1633449 -0.1417679 1.010155
0.6228896 0.1663746 0.8446175 -0.3907091 0.07645224 0.1780021
-0.2851777 1.320481 0.5078122 1.014143 1.634062 0.5204032
0.5845558 0.7868811 0.1890363 0.83701 0.08588854 0.2581096
-0.4150381 0.7450587 0.3231435 1.199144 -0.2896373 -0.0757104
0.2723714 0.445552 0.0006433368 1.198171 0.1183421 0.6130572
0.8745142 0.4749448 0.299798 0.7364027 -0.3089474 1.48979
0.6057325 0.6595091 0.5184815 1.754158 0.2587064 0.5700126
0.4445713 0.7579777 0.3618094 0.3710818 0.4730587 0.8737042
