   caldt       CAP1RET       CAP2RET       CAP3RET       CAP4RET       CAP5RET
19620131      0.052992      0.059657      0.059473      0.027071      0.005742
19620228     -0.027997      0.020947      0.024393      0.031472      0.013171
19620330     -0.002387      0.017837     -0.002472     -0.002815     -0.002115
19620430     -0.028573     -0.047390     -0.081319     -0.070903     -0.073089
19620531     -0.146782     -0.124529     -0.116800     -0.100803     -0.088893
19620629     -0.091182     -0.095991     -0.068865     -0.077617     -0.080519
19620731      0.058085      0.095732      0.090456      0.069094      0.078783
19620831      0.062715      0.048367      0.044303      0.037393      0.028827
19620928     -0.078331     -0.069329     -0.077772     -0.071420     -0.066415
19621031     -0.069723     -0.060825     -0.059643     -0.056402     -0.042256
19621130      0.094081      0.090778      0.104935      0.121150      0.117747
19621231     -0.060694     -0.040711     -0.037052     -0.034966     -0.024683
19630131      0.140961      0.114725      0.100873      0.093347      0.091540
19630228     -0.018427     -0.012341     -0.019915     -0.007125     -0.013072
19630329     -0.015084      0.004580     -0.001585      0.016797      0.002708
19630430      0.003717      0.010921      0.019612      0.017924      0.023051
19630531      0.031985      0.041957      0.028155      0.045605      0.048514
19630628      0.001255     -0.013709     -0.005286     -0.005251     -0.010483
19630731     -0.019617      0.008366     -0.007961      0.002385     -0.005279
19630830      0.045374      0.032028      0.032754      0.029280      0.040553
19630930      0.015646     -0.008044      0.001541     -0.006749     -0.016992
19631031      0.018441      0.008095      0.006901      0.008819      0.013992
19631129     -0.033257     -0.035188     -0.011785     -0.028603     -0.017337
19631231     -0.035937     -0.019554     -0.023902     -0.000313     -0.017340
19640131      0.083475      0.059348      0.034992      0.038401      0.024695
19640228      0.027234      0.017938      0.032170      0.027282      0.022167
19640331      0.015505      0.023283      0.021330      0.020444      0.031555
19640430      0.039063     -0.020210     -0.007013     -0.009363      0.001913
19640528     -0.019234     -0.006441      0.005045      0.014367      0.004245
19640630      0.005320      0.000685      0.010548      0.022752      0.011320
19640731      0.061608      0.028964      0.048660      0.031958      0.027277
19640831      0.014420      0.007812     -0.008174     -0.009557     -0.007868
19640930      0.034297      0.050840      0.052823      0.053363      0.037226
19641030      0.031717      0.023274      0.025195      0.022171      0.017250
19641130     -0.000608      0.007270     -0.000107      0.003908      0.001782
19641231     -0.039887     -0.019595     -0.013196     -0.010669     -0.023091
19650129      0.111164      0.096144      0.080440      0.074528      0.056692
19650226      0.060269      0.049493      0.023158      0.026299      0.026321
19650331      0.048490      0.032983      0.014195      0.026133      0.024748
19650430      0.052605      0.063449      0.048079      0.043078      0.039919
19650528      0.002581      0.009272      0.002892     -0.010912     -0.012981
19650630     -0.112785     -0.092661     -0.102479     -0.085785     -0.098900
19650730      0.034649      0.020202      0.025902      0.040030      0.037708
19650831      0.031640      0.029205      0.035376      0.052825      0.056044
19650930      0.013367      0.025684      0.031143      0.037569      0.031364
19651029      0.096970      0.086474      0.075506      0.078371      0.068145
19651130      0.116378      0.075012      0.058815      0.064272      0.067385
19651231      0.066274      0.044571      0.042844      0.065098      0.031211
19660131      0.138880      0.106431      0.082812      0.067192      0.065679
19660228      0.081308      0.070402      0.035697      0.037969      0.042460
19660331      0.044714      0.026869     -0.005546     -0.025180     -0.012624
19660429      0.065838      0.061155      0.053183      0.060792      0.049740
19660531     -0.120929     -0.120994     -0.111910     -0.103158     -0.100851
19660630     -0.020943     -0.007673     -0.003419      0.004013      0.000233
19660729     -0.015219     -0.016104     -0.015407     -0.025366     -0.009596
19660831     -0.106574     -0.117080     -0.123786     -0.116072     -0.110661
19660930     -0.027781     -0.036968     -0.019686     -0.011970     -0.012983
19661031     -0.063213     -0.043079     -0.061871     -0.046208     -0.027782
19661130      0.030712      0.028644      0.048201      0.052261      0.057068
19661230      0.030743      0.032706      0.017665      0.012722      0.027595
19670131      0.254853      0.229927      0.214939      0.177328      0.187887
19670228      0.097105      0.086914      0.051824      0.044006      0.044069
19670331      0.050679      0.060154      0.075153      0.075185      0.065473
19670428      0.062914      0.043248      0.044318      0.049669      0.038724
19670531      0.015432      0.011052     -0.002593     -0.017030     -0.008825
19670630      0.191089      0.130377      0.130751      0.109739      0.096850
19670731      0.123030      0.104424      0.093748      0.087817      0.085227
19670831      0.007559      0.009743      0.004053      0.012756     -0.000131
19670929      0.145687      0.096157      0.078714      0.081854      0.072513
19671031      0.019256      0.023736     -0.015808     -0.026953     -0.030736
19671130     -0.029269     -0.013665      0.005539     -0.000652      0.007581
19671229      0.178219      0.141145      0.137660      0.106873      0.092164
19680131      0.144967      0.087373      0.054698      0.030053      0.013808
19680229     -0.075677     -0.076941     -0.071728     -0.057793     -0.049170
19680329     -0.027939     -0.025739     -0.019889     -0.009176     -0.011624
19680430      0.191309      0.175859      0.146484      0.157008      0.147884
19680531      0.165721      0.152036      0.133454      0.108480      0.098560
19680628      0.023263      0.015066      0.019860     -0.002482     -0.002646
19680730      0.001341     -0.007262     -0.014804     -0.034627     -0.029897
