time,expcn,expus,impcn,impus
1,22.62961171,24.29008217,22.43096713,24.45638942
2,22.6171012,24.35298163,22.49538831,24.44583632
3,22.58859131,24.33979232,22.52059273,24.47702438
4,22.61205223,24.32217682,22.53049781,24.49369763
5,22.62824759,24.30711805,22.54128737,24.50641174
6,22.69667597,24.37017941,22.62364115,24.52890781
7,22.647738,24.34765744,22.5343019,24.52969274
8,22.71645901,24.31906462,22.58814444,24.54024163
9,22.62565394,24.34679311,22.61347161,24.54472717
10,22.69926957,24.38507467,22.66678248,24.55536863
11,22.7346148,24.35410031,22.69950109,24.55128095
12,22.68349293,24.38248216,22.67937862,24.55708078
13,22.4771025,24.35069533,22.50848583,24.54086827
14,22.77278539,24.33591199,22.8615053,24.53219243
15,22.69904785,24.38751955,22.75887885,24.61445328
16,22.68529049,24.37954462,22.73953481,24.60633366
17,22.71468376,24.40189291,22.83545423,24.59325778
18,22.60647313,24.35906092,22.72116758,24.61893586
19,22.72917172,24.3455246,22.87629598,24.59679746
20,22.71557345,24.35644757,22.88034662,24.59240222
21,22.84749779,24.37166178,22.94984123,24.61677858
22,22.77961232,24.41229528,22.89520562,24.65155581
23,22.78760195,24.41336954,22.90186895,24.6340681
24,22.87077689,24.44702969,22.99324554,24.62592514
25,22.78597169,24.40821257,22.98956418,24.6358287
26,22.77873586,24.36853295,22.83188287,24.64323717
27,22.89278483,24.47246398,22.90215453,24.67963103
28,22.95176458,24.44294119,22.98720081,24.69234947
29,22.96531516,24.44603934,22.92991693,24.70909677
30,23.04784605,24.48097148,23.00458681,24.74380238
31,23.05480756,24.45986345,22.990604,24.75033035
32,23.0043519,24.51598715,22.99183623,24.77324045
33,23.02918237,24.50750092,22.93430253,24.77748261
34,23.0529882,24.5120585,22.99342873,24.78284641
35,23.16741293,24.53086122,22.99448046,24.81390354
36,23.23153999,24.57224254,23.03970515,24.80425494
37,23.30828797,24.55745702,22.98770757,24.82577696
38,23.22347435,24.564802,23.0420675,24.81487332
39,23.30105823,24.59984818,23.05541214,24.84051279
40,23.25740928,24.58786175,23.10364308,24.85934398
41,23.2538116,24.60286895,23.10799676,24.85540381
42,23.29862576,24.6000968,23.10658486,24.86159539
43,23.23255482,24.59648564,23.13699183,24.85809634
44,23.20074442,24.62137246,23.1450383,24.85107741
45,23.22017268,24.64800761,23.17587299,24.86393721
46,23.19465399,24.63794531,23.12917344,24.85085173
47,23.15500542,24.64045547,23.15008331,24.85262356
48,23.23245303,24.65179191,23.13899184,24.86205781
49,23.22502779,24.64077377,23.30254351,24.8794108
50,23.19827665,24.66727189,23.10225324,24.87460491
51,23.12785877,24.65314841,23.1707999,24.87911307
52,23.17258177,24.66195025,23.12052516,24.8892952
53,23.20738543,24.6747403,23.16146987,24.91992628
54,23.21452986,24.67669946,23.15520037,24.91423789
55,23.21292055,24.66154121,23.10897424,24.91674658
56,23.32066322,24.68447893,23.14544333,24.93285689
57,23.28725873,24.67957363,23.09690486,24.94394932
58,23.36696341,24.70246139,23.1316144,24.93425204
59,23.29083862,24.71452507,23.14239326,24.94811221
60,23.33634436,24.69519791,23.23975995,24.96719352
61,23.41940945,24.69174479,23.24229633,24.96955866
62,23.31953458,24.73199804,23.11878446,24.97363076
63,23.42148531,24.76510585,23.15714878,24.9720896
64,23.42326029,24.7727002,23.14549301,24.98962906
65,23.44892954,24.77505078,23.17713147,25.00183293
66,23.44033796,24.78867923,23.15779981,24.99517064
67,23.43871107,24.81075361,23.22737007,25.01823564
68,23.45976312,24.7880271,23.17571044,25.02222331
69,23.47998901,24.79408585,23.17444835,25.0328293
70,23.5276311,24.79681228,23.25573306,25.03595579
71,23.51792359,24.7777775,23.20600852,25.02174781
72,23.42089527,24.78795843,23.23771183,25.04150034
73,23.50233046,24.78879932,23.11288862,25.03437364
74,23.52404903,24.77428527,23.25474544,25.02981433
75,23.48454511,24.7804968,23.17507237,25.05884269
76,23.49129302,24.7488675,23.16194094,25.05859387
77,23.45304463,24.7483675,23.17063135,25.060452
78,23.44797872,24.75120347,23.16964434,25.03956658
79,23.45929272,24.73923436,23.16121351,25.03532591
80,23.42702084,24.73207067,23.1600075,25.05013646
81,23.40300661,24.75438657,23.16151817,25.05540608
82,23.3698166,24.78596492,23.20270512,25.07843502
83,23.40125794,24.7909926,23.20124671,25.07884582
84,23.50330326,24.7661241,23.26448191,25.06534249
85,23.38259898,24.75346291,23.23470337,25.07716302
86,23.39983918,24.74004518,23.19454452,25.10331552
87,23.42089497,24.74412531,23.331166,25.09989041
88,23.40772905,24.7583203,23.30563625,25.11525518
89,23.50351863,24.75754187,23.37908317,25.14451318
90,23.43713858,24.75608954,23.3551214,25.17607707
91,23.53945096,24.7710253,23.33600274,25.1913096
92,23.56849839,24.795927,23.33646761,25.19874866
93,23.5747688,24.81849334,23.41170899,25.20640397
94,23.60715781,24.81822688,23.4195787,25.22221959
95,23.64027782,24.82103785,23.48618028,25.2339495
96,23.5787469,24.85857638,23.36450629,25.25710113
97,23.75215317,24.85912016,23.64085614,25.26549622
98,23.66771061,24.85697533,23.51529467,25.28658225
99,23.71516527,24.86854113,23.54792278,25.32016189
100,23.75487848,24.87923844,23.61435335,25.32082715
101,23.74046319,24.87638233,23.57567258,25.32493992
102,23.80441453,24.91287512,23.68004784,25.35817927
103,23.77094922,24.90853218,23.68992532,25.36137745
104,23.7971756,24.93928216,23.71952552,25.36443038
105,23.79441301,24.93631153,23.71002566,25.39043382
106,23.82113072,24.92564234,23.72671585,25.38723309
107,23.77448969,24.92333585,23.74429766,25.36758943
108,23.73842135,24.91012881,23.68567266,25.36450755
109,23.71111224,24.91093376,23.60771056,25.38169239
110,23.91434748,24.91464636,23.86603972,25.33192991
111,23.86322863,24.88760277,23.73011485,25.34679643
112,23.83009405,24.86330053,23.74602435,25.30990539
113,23.78737991,24.87858006,23.69620765,25.27872043
114,23.81664372,24.83581044,23.75905214,25.27691112
115,23.81801707,24.80584142,23.73202703,25.26315056
116,23.81574761,24.81172646,23.7688186,25.25122015
117,23.84670048,24.75529163,23.76502357,25.2336527
118,23.81614898,24.76608901,23.71566279,25.23765756
119,23.85262418,24.76123403,23.72201449,25.22284215
120,23.86143607,24.74984891,23.7758255,25.18372234
121,23.9349831,24.74752765,23.77804899,25.21686739
