# Europe Land Temperature Anomalies, November
# Units: Degrees Celsius
# source http://www.ncdc.noaa.gov/cag/time-# series/global/europe/land/1/11/1880-2015


Year,  Eur
1910,-0.77
1911,0.54
1912,-1.25
1913,1.16
1914,-1.42
1915,-1.43
1916,0.64
1917,0.55
1918,-0.14
1919,-2.25
1920,-1.67
1921,-1.97
1922,-1.06
1923,0.66
1924,-0.34
1925,-0.76
1926,1.96
1927,-0.48
1928,1.20
1929,1.20
1930,1.06
1931,-0.13
1932,0.21
1933,-0.37
1934,0.80
1935,0.11
1936,0.32
1937,0.53
1938,1.89
1939,0.48
1940,0.88
1941,-1.69
1942,-0.77
1943,0.37
1944,0.16
1945,-0.23
1946,-0.04
1947,0.42
1948,-0.18
1949,1.13
1950,0.33
1951,0.85
1952,-0.84
1953,-0.47
1954,0.29
1955,-0.37
1956,-2.40
1957,0.43
1958,0.79
1959,-0.13
1960,1.15
1961,0.71
1962,0.83
1963,1.54
1964,0.31
1965,-1.55
1966,0.31
1967,0.90
1968,0.35
1969,0.57
1970,0.77
1971,-0.67
1972,0.15
1973,-1.43
1974,0.28
1975,-0.51
1976,0.26
1977,0.98
1978,0.02
1979,-0.01
1980,-0.84
1981,-0.29
1982,0.65
1983,-0.50
1984,0.46
1985,-1.07
1986,0.48
1987,0.04
1988,-2.14
1989,-0.21
1990,0.65
1991,0.43
1992,0.04
1993,-2.36
1994,0.77
1995,-1.02
1996,1.18
1997,0.39
1998,-1.32
1999,-0.04
2000,1.93
2001,-0.24
2002,0.74
2003,1.29
2004,0.32
2005,0.56
2006,1.55
2007,-0.20
2008,0.96
2009,1.85
2010,1.18
2011,0.62
2012,1.83
2013,1.62
2014,1.71
2015,2.25
