year USA   GER   UK    FR
1960 17747 12352 11879 11272
1961 17862 12753 12107 11688
1962 18655 13193 12172 12268
1963 19192 13433 12662 12805
1964 20023 14184 13316 13485
1965 21044 14779 13571 14000
1966 22158 15055 13803 14603
1967 22472 14974 14110 15195
1968 23326 15734 14687 15752
1969 23816 16748 14972 16736
1970 23585 17422 15308 17612
1971 24071 17777 15582 18376
1972 25080 18430 16135 19041
1973 26281 19216 17298 20138
1974 25898 19363 17100 20946
1975 25590 19265 17016 20615
1976 26707 20316 17456 21433
1977 27656 21041 17886 22099
1978 28891 21700 18477 22861
1979 29467 22589 18981 23547
1980 29041 22830 18571 23810
1981 29488 22907 18328 23909
1982 28638 22833 18762 24341
1983 29662 23273 19472 24511
1984 31519 24027 20013 24758
1985 32531 24648 20733 25033
1986 33353 25194 21576 25470
1987 34114 25543 22640 25941
1988 35196 26329 23854 26999
1989 36111 27085 24405 27966
1990 36378 27971 24779 28546
1991 35812 30761 24253 28700
1992 36537 31112 24399 28983
1993 37094 30579 25097 28668
1994 38139 31241 26178 29206
1995 38640 31672 26935 29699
1996 39623 31831 27707 29913
1997 40897 32322 28703 30461
1998 42183 32933 29630 31376
1999 43716 33526 30459 32246
2000 45026 34508 31640 33207
2001 45046 34966 32428 33574
2002 45418 34909 33102 33643
2003 46137 34762 34230 33709
2004 47307 35174 35055 34316
2005 48312 35431 35792 34683
2006 49130 36785 36511 35295
2007 49571 38036 37588 35882
2008 48951 38515 36975 35656
2009 47041 36649 35279 34351
2010 47772 38057 35689 34734
2011 48282 39186 35688 35133
