mon day year BHP VALE
7 1 2002 8.39 1.89
7 2 2002 8.4 1.88
7 3 2002 8.54 1.92
7 5 2002 8.77 1.9
7 8 2002 8.86 1.88
7 9 2002 9.12 1.9
7 10 2002 8.68 1.88
7 11 2002 8.57 1.88
7 12 2002 8.42 1.89
7 15 2002 9.73 1.89
7 16 2002 9.46 1.91
7 17 2002 9.54 1.89
7 18 2002 9.78 1.88
7 19 2002 9.58 1.85
7 22 2002 9.52 1.83
7 23 2002 9.26 1.81
7 24 2002 9.38 1.75
7 25 2002 8.9 1.73
7 26 2002 8.85 1.68
7 29 2002 9.17 1.59
7 30 2002 9.29 1.64
7 31 2002 9.26 1.7
8 1 2002 9 1.75
8 2 2002 8.58 1.76
8 5 2002 8.05 1.68
8 6 2002 8.33 1.69
8 7 2002 8.65 1.75
8 8 2002 8.93 1.79
8 9 2002 9.1 1.76
8 12 2002 8.93 1.73
8 13 2002 8.71 1.69
8 14 2002 8.93 1.71
8 15 2002 8.93 1.71
8 16 2002 8.77 1.8
8 19 2002 9.18 1.75
8 20 2002 8.98 1.75
8 21 2002 9.36 1.76
8 22 2002 9.46 1.74
8 23 2002 9.11 1.76
8 26 2002 9.4 1.76
8 27 2002 9.43 1.76
8 28 2002 9.27 1.77
8 29 2002 9.25 1.76
8 30 2002 8.98 1.78
9 3 2002 8.93 1.71
9 4 2002 8.92 1.74
9 5 2002 8.53 1.74
9 6 2002 8.98 1.76
9 9 2002 8.93 1.8
9 10 2002 9.23 1.76
9 11 2002 9.39 1.78
9 12 2002 9.16 1.75
9 13 2002 9.32 1.75
9 16 2002 9.22 1.76
9 17 2002 9.28 1.73
9 18 2002 9.1 1.71
9 19 2002 9.03 1.67
9 20 2002 8.89 1.71
9 23 2002 8.58 1.68
9 24 2002 8.46 1.66
9 25 2002 8.98 1.68
9 26 2002 9.07 1.66
9 27 2002 9.11 1.59
9 30 2002 8.76 1.58
10 1 2002 9.32 1.64
10 2 2002 8.91 1.61
10 3 2002 9.11 1.64
10 4 2002 9.1 1.64
10 7 2002 9.06 1.6
10 8 2002 9.38 1.6
10 9 2002 8.62 1.55
10 10 2002 9.07 1.54
10 11 2002 9.34 1.57
10 14 2002 9.23 1.51
10 15 2002 9.64 1.54
10 16 2002 9.35 1.51
10 17 2002 9.95 1.58
10 18 2002 9.72 1.62
10 21 2002 9.88 1.63
10 22 2002 9.59 1.64
10 23 2002 10.01 1.69
10 24 2002 9.77 1.74
10 25 2002 9.38 1.81
10 28 2002 9.58 1.79
10 29 2002 9.46 1.78
10 30 2002 9.52 1.79
10 31 2002 9.5 1.83
11 1 2002 9.55 1.84
11 4 2002 9.72 1.84
11 5 2002 9.74 1.72
11 6 2002 10.12 1.8
11 7 2002 9.8 1.85
11 8 2002 9.79 1.83
11 11 2002 9.62 1.84
11 12 2002 9.74 1.81
11 13 2002 9.55 1.8
11 14 2002 9.58 1.88
11 15 2002 9.75 1.91
11 18 2002 9.92 1.98
11 19 2002 9.81 1.92
11 20 2002 10.1 1.89
11 21 2002 10.3 1.97
11 22 2002 10.16 1.94
11 25 2002 10.04 1.92
11 26 2002 9.71 1.9
11 27 2002 9.92 1.92
11 29 2002 10.45 1.93
12 2 2002 10.53 2.02
12 3 2002 10.28 1.98
12 4 2002 10.27 1.96
12 5 2002 10.19 1.95
12 6 2002 10.46 2.01
12 9 2002 10.12 1.99
12 10 2002 10.16 2.01
12 11 2002 10.18 2.06
12 12 2002 10.07 2.06
12 13 2002 9.98 2.03
12 16 2002 10.13 2.05
12 17 2002 10.25 2.05
12 18 2002 9.98 2.06
12 19 2002 9.8 2.06
12 20 2002 10.24 2.06
12 23 2002 10.21 2.04
12 24 2002 10.32 2.05
12 26 2002 10.42 2.05
12 27 2002 10.25 2.06
12 30 2002 10.34 2.06
12 31 2002 10.46 2.07
1 2 2003 10.37 2.07
1 3 2003 10.63 2.07
1 6 2003 10.51 2.08
1 7 2003 10.45 2.09
1 8 2003 10.33 2.02
1 9 2003 10.49 2.07
1 10 2003 10.42 2.03
1 13 2003 10.4 2.01
1 14 2003 10.5 2.05
1 15 2003 10.37 2.01
1 16 2003 10.41 1.99
1 17 2003 10.33 1.97
1 21 2003 10.13 1.92
1 22 2003 10.09 1.94
1 23 2003 10.05 1.87
1 24 2003 10.05 1.84
1 27 2003 9.86 1.85
1 28 2003 9.77 1.87
1 29 2003 9.69 1.87
1 30 2003 9.46 1.95
1 31 2003 9.6 1.98
2 3 2003 9.55 2.01
2 4 2003 9.79 2.01
2 5 2003 9.78 2.02
2 6 2003 9.75 2.05
2 7 2003 9.87 2.07
2 10 2003 9.96 2.06
2 11 2003 9.96 2.09
2 12 2003 9.92 2.07
2 13 2003 9.82 1.98
2 14 2003 9.82 1.93
2 18 2003 9.92 2.02
2 19 2003 10.09 1.96
2 20 2003 10.08 1.98
2 21 2003 10.14 2.03
2 24 2003 10.21 2.06
2 25 2003 10.26 2.07
2 26 2003 10.15 2.09
2 27 2003 10.19 2.04
2 28 2003 10.22 2.08
3 3 2003 10.45 2.11
3 4 2003 10.15 2.1
3 5 2003 10.14 2.1
3 6 2003 9.93 2.1
3 7 2003 9.85 2.05
3 10 2003 9.66 2.01
3 11 2003 9.54 2.04
3 12 2003 9.38 2.05
3 13 2003 9.86 2.06
3 14 2003 9.83 2.01
3 17 2003 10.07 2.02
3 18 2003 10.11 2
3 19 2003 10.47 1.97
3 20 2003 10.19 1.99
3 21 2003 10.44 1.99
3 24 2003 9.94 1.96
3 25 2003 10.25 1.98
3 26 2003 10.24 1.94
3 27 2003 10.12 1.97
3 28 2003 10.06 1.97
3 31 2003 10.1 1.93
4 1 2003 10.09 1.98
4 2 2003 10.26 2
4 3 2003 10.29 1.95
4 4 2003 10.28 1.94
4 7 2003 10.55 1.98
4 8 2003 10.34 2
4 9 2003 10.24 2.01
4 10 2003 10.08 2.03
4 11 2003 10.26 2.01
4 14 2003 10.45 2.02
4 15 2003 10.52 2.04
4 16 2003 10.45 2.01
4 17 2003 10.55 2.05
4 21 2003 10.64 2.07
4 22 2003 10.79 2.03
4 23 2003 10.59 2.03
4 24 2003 10.07 1.96
4 25 2003 9.83 1.99
4 28 2003 10.07 2.01
4 29 2003 10.29 2.04
4 30 2003 10.14 2.04
5 1 2003 10.25 2.05
5 2 2003 10.2 2.03
5 5 2003 10.3 2.05
5 6 2003 10.36 2.09
5 7 2003 9.88 2.1
5 8 2003 9.97 2.08
5 9 2003 10.24 2.11
5 12 2003 10.29 2.14
5 13 2003 10.19 2.14
5 14 2003 10.03 2.09
5 15 2003 9.96 2.06
5 16 2003 9.92 2.09
5 19 2003 9.94 2.1
5 20 2003 9.96 2.14
5 21 2003 9.97 2.13
5 22 2003 10.22 2.14
5 23 2003 10.28 2.18
5 27 2003 10.29 2.16
5 28 2003 10.36 2.17
5 29 2003 10.35 2.2
5 30 2003 10.46 2.19
6 2 2003 10.55 2.14
6 3 2003 10.52 2.17
6 4 2003 10.69 2.19
6 5 2003 10.75 2.22
6 6 2003 10.68 2.25
6 9 2003 10.54 2.22
6 10 2003 10.97 2.21
6 11 2003 11.11 2.22
6 12 2003 11.07 2.19
6 13 2003 11.11 2.15
6 16 2003 11.34 2.18
6 17 2003 11.32 2.21
6 18 2003 11.11 2.22
6 19 2003 11.05 2.22
6 20 2003 11.04 2.19
6 23 2003 10.89 2.2
6 24 2003 10.81 2.2
6 25 2003 10.73 2.19
6 26 2003 10.69 2.19
6 27 2003 10.6 2.17
6 30 2003 10.68 2.17
7 1 2003 10.58 2.19
7 2 2003 10.67 2.23
7 3 2003 10.61 2.25
7 7 2003 11.05 2.27
7 8 2003 10.96 2.3
7 9 2003 10.99 2.37
7 10 2003 11.13 2.35
7 11 2003 11.06 2.31
7 14 2003 11.23 2.32
7 15 2003 10.84 2.33
7 16 2003 11.07 2.33
7 17 2003 11.14 2.33
7 18 2003 11.26 2.33
7 21 2003 10.93 2.33
7 22 2003 11.27 2.31
7 23 2003 11.34 2.32
7 24 2003 11.76 2.4
7 25 2003 12.26 2.47
7 28 2003 12.12 2.48
7 29 2003 12.06 2.47
7 30 2003 11.85 2.48
7 31 2003 11.98 2.54
8 1 2003 12.12 2.53
8 4 2003 11.9 2.48
8 5 2003 11.95 2.46
8 6 2003 12.2 2.44
8 7 2003 12.2 2.42
8 8 2003 12.26 2.47
8 11 2003 12.32 2.52
8 12 2003 12.31 2.56
8 13 2003 12.43 2.58
8 14 2003 12.55 2.69
8 15 2003 12.62 2.71
8 18 2003 13.02 2.74
8 19 2003 12.92 2.78
8 20 2003 12.91 2.85
8 21 2003 12.82 2.8
8 22 2003 12.72 2.71
8 25 2003 12.6 2.68
8 26 2003 12.59 2.68
8 27 2003 12.74 2.68
8 28 2003 13.02 2.78
8 29 2003 13.15 2.78
9 2 2003 13.24 2.86
9 3 2003 13.27 2.82
9 4 2003 13.29 2.86
9 5 2003 13.46 2.94
9 8 2003 13.58 2.96
9 9 2003 13.71 2.93
9 10 2003 13.3 2.92
9 11 2003 13.38 2.91
9 12 2003 13.31 2.97
9 15 2003 13.31 2.93
9 16 2003 13.46 2.94
9 17 2003 13.48 2.95
9 18 2003 13.56 3.07
9 19 2003 13.46 3.09
9 22 2003 13.38 3.03
9 23 2003 13.42 3.01
9 24 2003 13.41 3.02
9 25 2003 13.23 2.92
9 26 2003 12.95 2.93
9 29 2003 13.25 2.99
9 30 2003 13.07 3.03
10 1 2003 13.19 3.14
10 2 2003 13.37 3.29
10 3 2003 13.69 3.38
