year mon day  dspi
1959 01 01    340.7
1959 02 01    342.4
1959 03 01    344.8
1959 04 01    347.7
1959 05 01    350.0
1959 06 01    352.2
1959 07 01    352.2
1959 08 01    350.6
1959 09 01    351.6
1959 10 01    353.0
1959 11 01    355.8
1959 12 01    359.6
1960 01 01    360.7
1960 02 01    361.0
1960 03 01    361.5
1960 04 01    364.1
1960 05 01    365.2
1960 06 01    365.5
1960 07 01    366.3
1960 08 01    366.4
1960 09 01    367.2
1960 10 01    369.1
1960 11 01    368.6
1960 12 01    366.6
1961 01 01    370.5
1961 02 01    372.4
1961 03 01    373.6
1961 04 01    374.2
1961 05 01    377.3
1961 06 01    381.6
1961 07 01    383.8
1961 08 01    384.0
1961 09 01    384.9
1961 10 01    388.9
1961 11 01    392.7
1961 12 01    395.0
1962 01 01    394.6
1962 02 01    397.6
1962 03 01    400.8
1962 04 01    403.0
1962 05 01    403.4
1962 06 01    404.2
1962 07 01    405.6
1962 08 01    406.4
1962 09 01    408.5
1962 10 01    409.7
1962 11 01    411.4
1962 12 01    413.0
1963 01 01    417.1
1963 02 01    414.8
1963 03 01    416.1
1963 04 01    418.0
1963 05 01    420.1
1963 06 01    423.5
1963 07 01    424.7
1963 08 01    427.1
1963 09 01    430.1
1963 10 01    433.7
1963 11 01    435.0
1963 12 01    439.2
1964 01 01    441.9
1964 02 01    443.9
1964 03 01    454.8
1964 04 01    457.6
1964 05 01    460.1
1964 06 01    462.5
1964 07 01    464.6
1964 08 01    467.8
1964 09 01    470.3
1964 10 01    470.6
1964 11 01    473.8
1964 12 01    479.2
1965 01 01    480.7
1965 02 01    480.8
1965 03 01    482.8
1965 04 01    484.3
1965 05 01    490.6
1965 06 01    492.6
1965 07 01    498.1
1965 08 01    500.6
1965 09 01    514.8
1965 10 01    511.9
1965 11 01    516.5
1965 12 01    520.4
1966 01 01    521.7
1966 02 01    525.5
1966 03 01    528.4
1966 04 01    528.5
1966 05 01    530.0
1966 06 01    533.7
1966 07 01    536.8
1966 08 01    541.7
1966 09 01    546.3
1966 10 01    549.8
1966 11 01    553.0
1966 12 01    553.4
1967 01 01    559.4
1967 02 01    560.9
1967 03 01    565.6
1967 04 01    566.4
1967 05 01    568.7
1967 06 01    572.7
1967 07 01    577.1
1967 08 01    580.7
1967 09 01    582.1
1967 10 01    583.5
