year mon unemp gdp
1948 1 3.733333 7.50758
1948 4 3.666667 7.525802
1948 7 3.766667 7.531177
1948 10 3.833333 7.532731
1949 1 4.666667 7.518716
1949 4 5.866667 7.515072
1949 7 6.7 7.526233
1949 10 6.966667 7.516814
1950 1 6.4 7.556428
1950 4 5.566667 7.586398
1950 7 4.633333 7.624814
1950 10 4.233333 7.642236
1951 1 3.5 7.654775
1951 4 3.1 7.671221
1951 7 3.166667 7.690972
1951 10 3.366667 7.692661
1952 1 3.066667 7.702692
1952 4 2.966667 7.703775
1952 7 3.233333 7.710474
1952 10 2.833333 7.742966
1953 1 2.7 7.76149
1953 4 2.566667 7.769041
1953 7 2.733333 7.762936
1953 10 3.7 7.746992
1954 1 5.266667 7.742185
1954 4 5.8 7.743443
1954 7 5.966667 7.754653
1954 10 5.333333 7.774478
1955 1 4.733333 7.802904
1955 4 4.4 7.819275
1955 7 4.1 7.83257
1955 10 4.233333 7.838146
1956 1 4.033333 7.833561
1956 4 4.2 7.841414
1956 7 4.133333 7.840156
1956 10 4.133333 7.856358
1957 1 3.933333 7.862459
1957 4 4.1 7.860069
1957 7 4.233333 7.869631
1957 10 4.933333 7.859066
1958 1 6.3 7.831617
1958 4 7.366667 7.837752
1958 7 7.333333 7.860918
1958 10 6.366667 7.883936
1959 1 5.833333 7.903966
1959 4 5.1 7.92891
1959 7 5.266667 7.927721
1959 10 5.6 7.931213
1960 1 5.133333 7.953424
1960 4 5.233333 7.948738
1960 7 5.533333 7.950361
1960 10 6.266667 7.937446
1961 1 6.8 7.943392
1961 4 7 7.961928
1961 7 6.766667 7.977934
1961 10 6.2 7.9981
1962 1 5.633333 8.015889
1962 4 5.533333 8.026856
1962 7 5.566667 8.036056
1962 10 5.533333 8.03848
1963 1 5.766667 8.051468
1963 4 5.733333 8.063913
1963 7 5.5 8.082588
1963 10 5.566667 8.090157
1964 1 5.466667 8.112348
1964 4 5.2 8.123765
1964 7 5 8.13725
1964 10 4.966667 8.140024
1965 1 4.9 8.164311
1965 4 4.666667 8.177769
1965 7 4.366667 8.197869
1965 10 4.1 8.221694
1966 1 3.866667 8.245962
1966 4 3.833333 8.249288
1966 7 3.766667 8.255828
1966 10 3.7 8.2639
1967 1 3.833333 8.272673
1967 4 3.833333 8.272877
1967 7 3.8 8.280838
1967 10 3.9 8.288434
1968 1 3.733333 8.308815
1968 4 3.566667 8.325669
1968 7 3.533333 8.332477
1968 10 3.4 8.336798
1969 1 3.4 8.352436
1969 4 3.433333 8.355333
1969 7 3.566667 8.361638
1969 10 3.566667 8.356931
1970 1 4.166667 8.355356
1970 4 4.766667 8.357189
1970 7 5.166667 8.366045
1970 10 5.833333 8.35538
1971 1 5.933333 8.382587
1971 4 5.9 8.388246
1971 7 6.033333 8.3962
1971 10 5.933333 8.398973
1972 1 5.766667 8.416688
1972 4 5.7 8.440118
1972 7 5.566667 8.449664
1972 10 5.366667 8.466005
1973 1 4.933333 8.49126
1973 4 4.933333 8.50277
1973 7 4.8 8.497419
1973 10 4.766667 8.5069
1974 1 5.133333 8.498092
1974 4 5.2 8.500657
1974 7 5.633333 8.490726
1974 10 6.6 8.486775
1975 1 8.266667 8.474536
1975 4 8.866667 8.482146
1975 7 8.466667 8.498846
1975 10 8.3 8.511839
1976 1 7.733333 8.534306
1976 4 7.566667 8.541808
1976 7 7.733333 8.546694
1976 10 7.766667 8.55393
1977 1 7.5 8.565469
1977 4 7.133333 8.585151
1977 7 6.9 8.602875
1977 10 6.666667 8.602655
1978 1 6.333333 8.606065
1978 4 6 8.644654
1978 7 6.033333 8.654413
1978 10 5.9 8.66756
1979 1 5.866667 8.669227
1979 4 5.7 8.670155
1979 7 5.866667 8.67732
1979 10 5.966667 8.680077
1980 1 6.3 8.683284
1980 4 7.333333 8.662574
1980 7 7.666667 8.660722
1980 10 7.4 8.67904
1981 1 7.433333 8.699615
1981 4 7.4 8.6916
1981 7 7.4 8.703673
1981 10 8.233333 8.691146
1982 1 8.833333 8.67459
1982 4 9.433333 8.679992
1982 7 9.9 8.676144
1982 10 10.66667 8.676928
1983 1 10.36667 8.689279
1983 4 10.13333 8.711509
1983 7 9.366667 8.731046
1983 10 8.533333 8.751506
1984 1 7.866667 8.770719
1984 4 7.433333 8.787831
1984 7 7.433333 8.797503
1984 10 7.3 8.805615
1985 1 7.233333 8.814999
1985 4 7.3 8.823427
1985 7 7.2 8.838929
1985 10 7.033333 8.846497
1986 1 7.033333 8.856063
1986 4 7.166667 8.860073
1986 7 6.966667 8.869665
1986 10 6.833333 8.87449
1987 1 6.6 8.880015
1987 4 6.266667 8.89059
1987 7 6 8.899226
1987 10 5.833333 8.916197
1988 1 5.7 8.921351
1988 4 5.466667 8.934112
1988 7 5.466667 8.939266
1988 10 5.333333 8.952528
1989 1 5.2 8.961866
1989 4 5.233333 8.969326
