# North America Land Temperature Anomalies, November
# Units: Degrees Celsius
# source http://www.ncdc.noaa.gov/cag/time-# series/global/northAmerica/land/1/11/1880-2015


Year,NAmer
1910,0.19
1911,-2.11
1912,0.52
1913,1.26
1914,0.60
1915,0.54
1916,-0.05
1917,1.28
1918,-0.28
1919,-1.81
1920,-0.30
1921,-0.43
1922,0.51
1923,1.59
1924,0.41
1925,-0.21
1926,-0.43
1927,-1.00
1928,1.21
1929,-0.61
1930,0.12
1931,1.24
1932,-1.74
1933,-0.63
1934,1.46
1935,-1.65
1936,-0.09
1937,0.06
1938,-0.33
1939,0.81
1940,-1.21
1941,0.21
1942,-0.35
1943,1.26
1944,0.43
1945,-1.23
1946,-0.62
1947,-0.04
1948,0.55
1949,2.26
1950,-1.25
1951,-0.91
1952,1.08
1953,1.63
1954,1.88
1955,-2.56
1956,-0.08
1957,0.33
1958,0.25
1959,-1.39
1960,0.13
1961,-0.54
1962,0.93
1963,0.15
1964,0.06
1965,0.23
1966,-0.86
1967,0.34
1968,0.26
1969,0.28
1970,-0.12
1971,-0.28
1972,-0.81
1973,-0.82
1974,0.61
1975,-0.29
1976,-0.14
1977,0.04
1978,-0.56
1979,0.67
1980,0.91
1981,1.90
1982,-1.12
1983,1.44
1984,-0.71
1985,-2.30
1986,-1.63
1987,1.30
1988,0.27
1989,-0.96
1990,-0.15
1991,-1.12
1992,0.13
1993,-0.60
1994,0.35
1995,-0.68
1996,-1.29
1997,0.61
1998,1.80
1999,2.17
2000,0.04
2001,2.31
2002,1.15
2003,0.46
2004,1.43
2005,1.27
2006,0.04
2007,1.11
2008,1.33
2009,2.01
2010,1.54
2011,0.49
2012,0.41
2013,0.02
2014,-0.71
2015,2.01
