# South America Land Temperature Anomalies, November
# Units: Degrees Celsius
# source http://www.ncdc.noaa.gov/cag/time-# series/global/southAmerica/land/1/11/1880-2015


Year,SAmer
1910,-0.28
1911,-0.09
1912,-0.18
1913,-0.08
1914,-0.61
1915,-0.20
1916,-0.12
1917,-0.38
1918,-0.23
1919,-0.41
1920,-0.24
1921,-0.65
1922,-0.49
1923,-0.16
1924,-0.71
1925,-0.12
1926,-0.27
1927,-0.13
1928,0.07
1929,-0.14
1930,-0.27
1931,-0.57
1932,0.01
1933,-0.52
1934,-0.45
1935,-0.17
1936,-0.39
1937,-0.13
1938,-0.26
1939,-0.38
1940,-0.31
1941,-0.19
1942,0.07
1943,-0.29
1944,-0.13
1945,-0.06
1946,0.09
1947,-0.02
1948,-0.13
1949,0.00
1950,-0.55
1951,0.05
1952,-0.33
1953,0.09
1954,0.01
1955,0.03
1956,-0.46
1957,-0.11
1958,0.05
1959,-0.03
1960,0.03
1961,0.14
1962,0.59
1963,-0.21
1964,-0.33
1965,0.13
1966,0.15
1967,-0.02
1968,0.56
1969,0.42
1970,-0.25
1971,0.12
1972,0.26
1973,-0.27
1974,0.02
1975,-0.33
1976,0.17
1977,0.24
1978,0.39
1979,0.05
1980,-0.04
1981,0.23
1982,0.26
1983,0.43
1984,-0.02
1985,0.35
1986,0.41
1987,0.85
1988,0.57
1989,0.46
1990,0.75
1991,0.43
1992,0.06
1993,0.47
1994,0.39
1995,0.63
1996,0.52
1997,1.04
1998,0.51
1999,0.32
2000,0.25
2001,0.57
2002,0.83
2003,0.99
2004,0.70
2005,0.68
2006,0.66
2007,0.56
2008,1.18
2009,1.38
2010,0.56
2011,0.86
2012,1.25
2013,0.88
2014,0.90
2015,1.01
