AUSGDP,AUSCON,AUSINV,BELGDP,BELCON,BELINV,CYPGDP,CYPCON,CYPINV,ESTGDP,ESTCON,ESTINV,FINGDP,FINCON,FININV,FRAGDP,FRACON,FRAINV,GERGDP,GERCON,GERINV,GREGDP,GRECON,GREINV,IRLGDP,IRLCON,IRLINV,ITAGDP,ITACON,ITAINV,LATGDP,LATCON,LATINV,LITGDP,LITCON,LITINV,LUXGDP,LUXCON,LUXINV,MALGDP,MALCON,MALINV,NETGDP,NETCON,NETINV,PORGDP,PORCON,PORINV,SLKGDP,SLKCON,SLKINV,SLVGDP,SLVCON,SLVINV,SPAGDP,SPACON,SPAINV
62941.9,34035.9,15878.1,77022.9,41244.9,17102.7,3447.5,2040,705.3,2574.9,1268.4,511,39091,19246,9163,435267,228963.6,95995.4,585431.6,342251.8,127355.5,46582.7,31411.2,10182.1,30469.9,14361.6,7104.4,384816.8,230488.6,78209.2,3010.8,1836.7,556,4500.3,2828.3,759.3,7675.4,2654.7,1298.8,1322.5,814.7,246.4,137404.3,68170.2,30839.9,41602,26448.4,11023.9,10344,6210.9,2539.9,6819.8,3950,1827.3,213243,125847,54025
63401.2,34454.1,16417.7,77533.7,41519,17255.6,3506.4,2123.9,719.2,2642.9,1308,518.7,39070,19084,9396,439390.4,231024.7,97189.5,591494.9,346228.9,127205.1,47002.2,31528.2,10221.2,31317.8,14810.8,7141.9,387503.2,232610.9,78961.7,3037.8,1841.8,607.5,4543.1,2898.7,707.8,7601.5,2625.3,1262.3,1364.4,815,284.5,138938.8,68380.4,31476.4,41358.1,26177.5,10627.7,10448.8,6349.8,2504.1,6958.6,3900,1790.2,215860,126472,54644
63771.5,34436.2,16262,77844.3,41870.1,17454.2,3506.9,2090.1,709.7,2672.7,1334.6,538.9,39730,19098,9527,442224.9,232405.8,99053.7,590656.4,346482,128345.9,47858,31813.5,9934.3,32235.6,14874.9,7263.9,389627.4,233681.4,80101.4,3101.5,1859.9,625.9,4591.1,2894,743.9,7717.9,2636.8,1368.4,1337,816.4,269.9,140085.3,68938.9,31248.4,41934.3,26383.8,10874.9,10516.9,6404.4,2798.4,7033.2,3976.8,1838.8,218203,128017,55566
64441.7,34774.5,16526.1,78541.7,42251.5,17568,3523.4,2089.6,705.9,2745.2,1337.9,585.3,40198,19238,9690,445791.8,233025.3,99739,591107.9,344638.1,127418.2,48534.3,31651.5,10281.3,32597.4,15045.1,7144.2,395806.7,235437.4,79725.6,3090.8,1880.5,670.1,4669.8,2931.6,730,7780,2688,1340.5,1368.5,828.4,284.7,141906,69380.9,31773,42250.9,26535.3,10856.9,10584.8,6520.3,2785.7,7079,3966.7,1849.7,220611,127809,56280
64361.5,35094.4,16545.7,78482,42325.7,17873.8,3559.1,2248.6,709.9,2774.1,1363.4,579.2,40606,19487,9845,448226.4,235349.6,100238.2,600702.5,350540.7,127822.6,49170.8,31893.8,10517.7,32863.5,15272.6,7475.7,397164.9,235791.9,80884.4,3129.9,1910.9,720.8,4805,3019.4,822.6,7904.5,2701.9,1362.4,1348.2,820.4,251.6,142060,69500.7,31554.1,42150.3,26592,10427.1,10653.9,6629.9,2949.5,7152.6,4001.8,1833.5,222813,129607,56862
64266.4,34680.6,16083,78439.7,42264.3,17669.6,3577.2,2186.7,691.9,2820.6,1383.3,572.6,40390,19658,9625,448797.4,236800.9,100106.5,601347.5,351083,125503.3,49011.4,32428.1,10723.9,33289.4,15450.9,7648.8,396177.8,234792.7,81917.5,3329.4,1938.3,708.9,4793.8,2974.6,739.3,7746.1,2746.6,1436.6,1356.2,839,253.9,142778.4,69982.8,31857.2,42510.9,26606.3,11066.8,10770.9,6606.9,3133.2,7169.2,4060.9,1836.8,224584,131322,57676
64388.9,34610.6,15943.3,78282.6,42059.9,17863.6,3697.8,2168.5,742.7,2831.2,1403.6,626.3,40663,19763,9564,450491.9,238055.2,100628.6,599541.5,351553.1,123459.9,49801.2,33422.9,10702.2,33368.3,15435.6,7357.5,394551.8,233581.1,81507.4,3247.3,1948.3,754.4,4897.1,3008.9,798.7,7862.7,2765.9,1532.4,1375.3,848.5,241.6,143026.5,70255.5,31516.2,42567.9,26495.9,11115.3,10815.8,6722.7,2970.9,7214.6,4030.2,1910.6,226819,133131,58233
64520.1,34943.1,15781,78243.1,41885.7,17104.5,3702.8,2202.3,696.2,2895.2,1458.2,642.6,40511,19959,9406,450623.3,238584.4,100130.4,600251,349672.9,122156,49952,33267.8,10838.3,33871.8,15866.5,7503.8,394695.4,234020.2,81684.4,3345.9,1978.2,771.7,5020.1,3071,954,8038.2,2793.8,1259.8,1346.3,844.5,246.9,143487.8,70767.4,32076.6,43164.3,26852.5,11191.3,11043.3,6807.9,2949,7276.2,4071.6,1868.5,228427,133018,58510
65027.8,34853,15981.1,78957.9,42055.3,17100.8,3721.4,2215.1,787.9,2896.6,1481.6,657.5,40761,19870,9224,451868.6,239947.3,99170.1,598444.9,347259.4,119830.6,50343.4,33998.8,10523.8,34695.9,15859,7682.1,394422.9,234655.6,83999.8,3371.1,2001.6,728.3,5036.3,3177.9,913,8141.6,2860.7,1479.3,1405.5,839.2,236.8,142612.2,70716.3,31253.4,43273.6,27041.7,11107.8,11081.3,6875,2989.3,7396.7,4107.8,1845.9,229727,134558,59362
65263.2,34978.2,15791.1,79655.3,42206.6,16854.6,3776.9,2267.7,815.9,2998.8,1514.6,736.2,41365,20232,9432,454280.1,241201.7,98679.5,599928.5,346463.9,117248.2,51472.1,34299.1,10509.2,34929.2,15969.9,7775.6,396215.9,233473.5,82942.3,3487.6,2043.8,746,5185.9,3170.9,896.9,8283.2,2887.4,1308.5,1394.3,831.2,155.9,143108.9,70806.4,30780.5,43076.4,27038.1,10819.5,11194.4,7052.8,3013.6,7406.5,4115.8,1832.9,231454,135101,60192
