RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,AMBSL,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S.P.500,S.P..indust,S.P.div.yield,S.P.PE.ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST
0.001909756,0.000917699,0.014071578,-0.028020784,-0.001101989,-0.009017487,-0.003428643,-0.001146113,0.001153783,-0.019963342,0.009155874,0.002151025,-0.016547579,-0.03208457,0.000437936,-0.012366695,0.037317881,0.010269458,-1.3687,-86,-0.086165236,-0.008008896,-0.014536724,0.6,-0.1,0.152052043,0.079893909,0.131299415,0.230880534,0.025317808,0.132722506,-0.001082897,-0.011904292,-0.002463591,-0.057987258,-0.00368582,-0.006109671,-0.000156091,0.004943644,-0.001168697,0.001576163,-0.000896781,0.002789402,0.023619874,39.5,-0.1,40,7.011213987,4.983606622,5.327876169,6.059123196,5.796057751,6.86171134,5.111987788,5.241747015,5.609471795,5.789960171,-0.011126046,-0.0226252,0.00816158,0.030993377,-5.11E-07,0.002005009,0.002951306,0.002249629,0.024230458,0.030323827,0.001802545,0.000612257,0.002588954,0.00086914,-0.013718627,-0.015045504,0.113781872,-0.021169864,-0.13,-0.17,-0.65,-0.69,-0.64,-0.38,-0.24,-0.07,-0.09,0.65,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,-0.000161393,0,0.000927048,-0.000735797,0.009022618,0.011976191,-0.003241494,0.009820046,-0.00583942,-0.001361007,-0.004405293,-0.003338901,-2.07E-05,0.005979078,-0.002600782,-1.77E-05,0,0,-0.003338901,-0.000489599,-0.004555114,0.001785612,-0.001024597,-2.01E-05,0.030131341,-0.004683849,0.001737736,0.003472085,0.000950902,0.003489993
0.003425817,0.003620855,0.015382419,0.009835695,0.025903391,-0.007961168,0.002287068,0.001146113,0.006880459,-0.001188755,0.010196449,-0.010779417,-0.02363474,-0.036529442,-0.008798395,-0.007948896,0.001217458,0.030185311,-0.9828,-40,0.003764053,0.017104593,0.019689533,-0.2,-0.4,0.04058187,-0.111330683,-0.067950662,-0.109866478,-0.020666637,-0.030758711,0.006571084,0.003761049,0.005354184,0.041807278,-0.003379997,-0.006363609,0.000936184,0.008119509,0.014467121,0.003929572,0.017467227,0.002781643,0.001055162,39.8,-0.4,40,7.161622003,5.384495063,5.66296048,6.144185634,5.758901774,6.923628628,5.241747015,5.497168225,5.655991811,5.693732139,-0.010788158,-0.018693813,0.000105558,-0.010331125,-0.000716588,-0.000675259,-0.002064999,0.001204179,0.015076737,0.007992164,0.006563759,-0.001608146,0.00601105,0.001046178,0.012821846,0.012693747,-0.038945869,0.003859329,0.08,-0.33,-0.08,-0.06,0.02,-0.02,0.03,-0.04,-0.05,0.24,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,0.000438005,-0.0010815,0.001282188,0.012539349,-0.009022618,-0.011976191,-0.003241494,-0.006568011,-8.55E-06,0.004410525,0.002195391,0.003338901,-2.05E-05,-8.91E-06,-6.78E-06,-0.004192878,0,0.003210276,0.00332779,0.003108224,0.004119112,0.004438599,0.001531299,-0.008948561,-0.06807429,0,-0.001047769,0.008678176,0.005451725,0.024135978
0.002402878,0.002448083,-0.020416629,-0.031588265,-0.015046831,-0.001142501,0.005690945,0.006865835,0.005698251,0.009454398,0.003378335,0.003247153,-0.009156949,-0.013625464,0.001562914,-0.005717982,-0.012268672,-0.027919195,-0.7882,-23,0.000838637,0.000675263,0.001484669,-0.1,-0.7,-0.00984659,0.069391993,-0.117085734,-0.130770231,-0.102528746,0.05758206,-0.006185511,-0.003709432,-0.010299649,0.005643169,-0.005059411,-0.007930083,-0.000936184,-0.007549562,-0.010875486,-0.00209385,-0.01320573,0.001189768,-0.012024193,39.6,0.3,40.1,7.147559271,5.370638028,5.697093487,6.126869184,5.703782475,6.958448393,5.411646052,5.480638923,5.710427017,5.655991811,0.012030517,-0.011083605,0.005998439,0.030993377,0.001431639,0.000326951,0.001671994,0.000971918,-8.07E-05,0.004171285,-0.003075954,-0.001945208,-0.010668356,8.01E-05,-0.009193395,-0.010481922,0.038254125,-0.0112633,-0.07,0.09,0.06,0.03,0.17,0.2,0.07,0.01,0.08,0.4,-0.56,-0.27,0.36,0.64,0.5,0.61,1.43,-0.003301285,0.000720945,-0.00124655,0.015558502,0,0,0.003241494,-0.003252035,0.00292826,-0.003395468,-4.81E-06,-0.003350087,-0.00451468,-0.002980628,-6.82E-06,0.004175371,0,-1.03E-05,-0.00332779,-0.002624063,-0.001297824,-0.006723378,0.000504431,0.008948561,0.041619668,0,0.001035234,-0.004827284,-0.002067116,0.003798098
0.000789293,-0.000248684,-0.000219455,0.008605836,-0.001364294,-0.012650248,-0.011414463,-0.011466589,-0.00684123,-0.010644568,-0.005634409,-0.01305236,-0.016220196,-0.032523563,0.000875614,-0.011534995,0.006153151,-0.004539992,-1.2475,-40,-0.037326051,0.004413879,0.001678957,0.3,0,0.011574203,0.095817923,0.069076515,0.11560201,0.017834868,0.013853883,-0.002334066,-0.006940516,-0.005556382,-0.007309003,-0.007022998,-0.009974325,-0.002813821,0.000199405,-0.0008967,-0.001385846,-0.000357411,0.001979807,0,39.5,-0.2,39.9,7.128495946,5.33753808,5.777652323,6.011267174,5.730099783,6.864847778,5.170483995,5.361292166,5.65248918,5.648974238,0.018965583,-0.004504926,0.002200913,0.010331126,0,0.001979687,0.003237678,-0.001382202,2.97E-05,-0.002782677,0.002006163,-0.000784145,0.00335233,0.000869342,0.036277093,0.037035092,-0.119780118,0.034284162,-0.53,-0.44,-0.83,-0.84,-0.85,-0.37,-0.2,-0.01,-0.02,0.49,-0.86,-0.58,0.04,0.8,0.83,1.13,1.94,-0.002199202,0.002165258,-0.001176743,0.004386643,0,0,0.003241494,-0.013072082,0.00292826,0.000336751,-0.002190581,0.003350087,0,0,-6.85E-06,-0.004175371,0,-0.003200003,0,-0.000608565,-0.002633301,0.000221582,-0.000768429,-0.00447428,-0.011428696,0,0.001026647,0.005126225,0.007419537,-0.009980606
0.001832139,0.001904999,0.00202812,-0.006865177,-0.010098878,-0.003479167,-0.005760477,-0.00578298,-0.009197001,-0.038793242,0.002256074,-0.012108603,0.001165738,0.005886449,-0.00832511,-0.002321258,0.009767844,0.02471996,-0.4961,-65,-0.025579426,-0.002706207,-0.00392196,0.1,0.7,-0.016826623,0.001690617,0.075528842,0.128880858,0.010050336,0.037426964,-0.000773096,-0.003644888,-0.028103849,0.000999833,-0.003432757,-0.00474798,-0.001566662,0.000797221,-0.000448652,-0.000374883,0.000446744,0.00315956,0.001185256,39.6,0,39.9,7.087573706,5.288267031,5.723585102,5.976350909,5.700443573,6.906754779,5.38907173,5.411646052,5.590986981,5.66296048,-0.034640298,-0.014759388,0.003970332,0.010331126,0.004288784,0.001294775,0.008000043,0.00211956,0.006151618,0.005967747,-0.010325828,0.00144214,-0.001355085,0.000359367,-0.025111841,-0.030091207,0.086601657,-0.020266514,-0.09,-0.42,-0.16,-0.03,-0.16,-0.33,-0.25,-0.04,-0.04,0.16,-0.93,-0.52,-0.03,0.56,0.67,1.18,1.99,-0.000347685,-0.005404427,0.002031688,-0.003875579,0.002989539,0.00297177,-0.006482988,0.013072082,-0.00292826,-0.003380207,0.002185793,0,0.00449439,-0.002980628,0.002621233,0.00415801,0.003372684,0,0,0.001335257,0.002843942,0.001828156,0.000672208,0.00445435,0.007547206,0,0.001357845,-0.01092581,-0.003290869,0.032175941
-0.001623817,-0.002568459,-0.000931328,-0.001263177,0.003414288,-0.001162418,-0.002309493,0,0.002308646,0.011063299,2.50E-06,-0.013375634,-0.004675666,-0.005886449,-0.005266526,-0.00466325,0.003639032,-0.007797021,-0.677,-21,-0.017799336,0.001375496,-0.000212437,0.1,-0.4,0.021419053,0.083415392,0.006493529,-0.007707167,0.024692613,0.079062379,-0.000626278,-0.003396476,0.029276183,-0.009707189,-0.003444581,-0.003103871,-0.003927426,0.000881897,-8.98E-05,0.009070103,-0.000893687,0.00275645,0.003547361,39.4,0,39.7,7.203405521,5.433722004,5.645446898,6.171700597,5.866468057,6.901737207,5.33753808,5.438079309,5.598421959,5.655991811,0.059088916,0.007731757,-0.001878719,0.010331126,0.003526531,0.003228674,0.007165019,-0.000387121,-0.011892144,-0.010854185,-0.002666443,0.001210799,-0.002734733,0.000472625,0.011927155,0.011911893,-0.041403657,0.016672181,-0.25,-0.05,0,-0.12,-0.25,-0.17,-0.1,-0.13,-0.14,0.36,-0.68,-0.39,-0.03,0.64,0.82,1.3,2.1,-0.000649336,-0.001436224,0.000640729,-0.008930005,-0.005979078,-0.005943541,0.003241494,-0.019934215,0,0.004056797,-0.002185793,0,-0.00449439,0.005961256,0,-0.00415801,-0.003372684,0,0.003316753,-6.37E-05,0.000123004,0.000605108,-0.000848947,-1.98E-05,-5.65E-05,0.004662013,0.003378395,-0.002571895,-0.002300972,-0.024113051
0.0012743,0.000290318,0.004757097,0.016091207,-0.000935016,-0.010518771,-0.008135624,-0.005816618,-0.004619713,-0.012297761,-0.003389779,-0.009017528,-0.016550701,-0.013067201,-0.007079839,-0.010571368,0.008441379,0,-1.1318,-65,-0.009874423,0.004428832,0.00562947,-0.1,0.7,-0.040320975,-0.059217299,0.057637743,-0.001936109,0.128028474,-0.021339652,-0.000829501,-0.002515593,-0.006612323,-0.004720171,-0.001955035,-0.002445533,-0.001260041,8.53E-05,-0.001527061,-0.005439656,-0.000214604,0.002356639,0.002593424,39.1,-0.1,39.4,7.00033446,5.267858159,5.676753802,5.950642553,5.424950017,6.891625897,5.323009979,5.393627546,5.575949103,5.686975356,-0.007032554,0.002641153,0.001670147,-0.020662252,-0.00852328,-0.004289687,0.004812329,0.001646833,0.003940451,0.003940753,0.003544352,0.000488636,0.003651523,0.000720887,-0.030544955,-0.033924556,0.10702825,-0.025609319,-0.38,0.05,0.18,0.24,0.12,-0.01,0,-0.03,-0.07,0.79,-0.12,0.23,0.47,1.01,1.2,1.65,2.41,-0.000905135,0,0.000889221,0.002779925,0.002989539,0.005943541,0,0.026623203,0,-0.002028398,0.002181026,-0.006734032,0.00447428,-0.002980628,-0.00526317,0.004140793,0,0,-0.003316753,-0.001091673,-0.00461363,-0.001659414,0.000333689,-0.004434597,-0.007490672,-2.16E-05,-0.004124903,-0.006991018,-0.007052417,0.011518038
0.002953627,0.00314661,0.004843152,-0.019027762,0.008765738,-0.001176084,0.005816755,0.004654306,0.01036089,0.011076889,0.010130089,-0.007960532,-0.003581177,-0.012035053,-0.006051016,-0.001180511,0.001197008,0.005576227,-0.39,-67,-0.052101004,-0.003813337,-0.009628654,0.6,0.6,0.051710619,0.055324729,0.191276588,0.188439753,0.194408444,0.05826283,-0.001568715,-0.005525021,-0.001623018,-0.00101437,-0.006478868,-0.00928055,-0.002524855,0.000568505,-0.000629468,-0.001757437,0.001018958,-0.000392388,0.000941398,39.4,0.1,39.7,7.127693699,5.655991811,5.605802066,5.955837369,5.710427017,6.879355804,5.278114659,5.446737372,5.572154032,5.638354669,-0.076310969,-0.018353424,-0.000834725,0.010331126,-0.001418942,-0.00131523,-0.001152849,-0.00142937,0.007586825,0.005882141,0.001162908,0.000907339,-0.002614718,3.01E-05,-0.019901154,-0.018457776,0.071512461,-0.021800747,-0.13,-0.09,-0.18,-0.1,-0.03,0.15,0.09,0.05,0.1,0.83,-0.17,0.26,0.57,1.29,1.42,1.83,2.64,0.000348226,0,-0.00039116,0.006252262,0.008941937,0.005890917,0,-4.44E-05,0.00291971,0.00471699,-4.75E-06,0.006734032,-0.00447428,0.00297177,0.00526317,-0.004140793,0,0.003189795,0.003305788,0.000543851,0.003537613,0.001102414,-0.000759902,0.004415018,0.003724399,-0.00464038,-0.001367972,-0.0019301,-0.005246756,0.012381287
-0.004294118,-0.00576251,-0.003480345,-0.009829987,-0.014394271,-0.014217651,-0.010493828,-0.011680915,-0.018497836,-0.033605698,-0.010130089,-0.002279404,-0.026669248,-0.043293019,-0.010526249,-0.019094153,0.00359112,-0.015695586,-1.7563,-24,-0.012168706,0.007910362,0.007241513,0,0.4,-0.027556279,0.064197199,0.028194239,0.077198811,-0.0286758,0.022852219,-0.003348661,-0.00810579,-0.016226631,-0.006788892,-0.007843694,-0.011297002,-0.003006569,-0.000795997,-0.003694863,-0.00172304,-0.003902688,0.003525959,0.001645317,39,-0.3,39.3,7.127693699,5.710427017,5.624017506,5.96870756,5.620400866,6.886531643,5.323009979,5.407171771,5.613128106,5.624017506,0.00197031,-0.010875725,0.000521785,0.010331126,0.002126906,0.000952775,0.003550356,0.000525868,0.000938151,0.00013945,0.000804686,-0.002905744,-0.000342278,0.000705883,0.031870829,0.034375956,-0.113843661,0.036647382,-0.03,-0.02,0.07,-0.07,0.04,0.05,0.04,0.01,-0.03,0.84,-0.07,0.22,0.64,1.37,1.49,1.87,2.64,-0.000208921,0.003234372,0.000711086,-0.001943238,-0.008941937,-0.008862687,-0.003252035,-0.006644543,-0.029509164,-0.003709095,-0.004352559,0,0.00445435,-8.81E-06,-0.002642009,0.004123717,0,-1.01E-05,-0.003305788,0.002230353,0.007379778,0.001866016,0.001088604,-0.008830036,-0.003724399,-0.00464038,0.003013452,-0.000157614,0.002419967,-0.009172435
-0.004569985,-0.005879549,-0.01233264,0.007826863,-0.00733133,-0.019278345,-0.014168052,-0.013010323,-0.007025496,-0.034774431,-0.001132484,-0.023156675,-0.027400031,-0.047913863,-0.002773039,-0.017013568,0.00357827,0.006757604,-1.5167,-73,-0.037919408,-0.000624849,-0.005019459,0.5,-1.5,0.201728449,0.071282372,-0.068525745,-0.135018382,0.007246409,-0.03015115,-0.004066745,-0.01344171,-0.012535088,-0.02552743,-0.010978519,-0.013842239,-0.006997484,0.00090966,-0.002802768,-0.001425624,-0.001957071,0.001172562,0.009466558,38,-0.1,38.4,6.968850378,4.976733742,5.509388337,5.863631176,5.765191103,6.857514063,5.129898715,5.472270674,5.634789603,5.575949103,0.012813771,-0.007772834,-0.011859298,-0.010331126,-0.001420455,0.000299876,0.003824096,-0.003741107,0.002774753,0.004109894,0.006284955,0.004672861,-0.00157687,0.000985287,0.023693992,0.022333226,-0.082315145,0.028156739,-0.46,-0.05,-0.12,-0.16,-0.22,-0.14,-0.09,0.04,0.02,1.25,0.27,0.52,0.88,1.69,1.86,2.37,3.12,-0.000394748,-0.00107928,-0.002206014,0.005818421,-0.00297177,-0.005899722,0.003252035,0.003305788,0.014541116,-1.01E-06,0.002176279,0.003372684,-1.98E-05,-8.75E-06,0.005284019,-0.004123717,0.003361348,-1.01E-05,0.003294896,-0.003198877,-0.0137713,-0.002093859,-0.00117686,0.004415018,0.007407441,0.009280759,-0.000369825,-0.003012036,0.006300147,-0.00074014
