Year Mon Day IL MI OH 
1976 1 1 6.4 9.8 8.2
1976 2 1 6.4 9.7 8.1
1976 3 1 6.3 9.8 8
1976 4 1 6.2 9.7 7.9
1976 5 1 6.3 9.6 7.8
1976 6 1 6.8 9.6 7.6
1976 7 1 6.8 9.6 7.5
1976 8 1 6.8 9 7.5
1976 9 1 6.8 9.2 7.4
1976 10 1 6.7 9.2 7.5
1976 11 1 6.6 9.1 7.6
1976 12 1 6.6 9 7.5
1977 1 1 6 8.8 7.2
1977 2 1 6 8.8 7.7
1977 3 1 5.9 8.7 7
1977 4 1 5.8 8.3 6.5
1977 5 1 5.9 8.2 6.4
1977 6 1 6.3 8.2 6.3
1977 7 1 6.3 8.2 6.1
1977 8 1 6.4 8.4 6
1977 9 1 6.4 8.1 6.1
1977 10 1 6.5 7.8 6
1977 11 1 6.5 7.7 5.9
1977 12 1 6.3 7.5 5.9
1978 1 1 6.5 7.2 5.7
1978 2 1 6.4 7.2 5.8
1978 3 1 6.3 7 5.8
1978 4 1 6 7 5.5
1978 5 1 6.2 6.9 5.4
1978 6 1 5.9 7 5.4
1978 7 1 6 7.1 5.3
1978 8 1 6 7.4 5.4
1978 9 1 5.8 6.9 5.5
1978 10 1 5.8 6.8 5.4
1978 11 1 5.6 7 5.4
1978 12 1 5.6 7.1 5.4
1979 1 1 5.3 7 5.7
1979 2 1 5.3 7 5.6
1979 3 1 5.4 7.2 5.5
1979 4 1 5.5 7.6 5.8
1979 5 1 5.2 7.3 5.6
1979 6 1 5.2 7.3 5.6
1979 7 1 5.2 7.6 5.8
1979 8 1 5.2 8.5 6.1
1979 9 1 5.7 8.4 6
1979 10 1 5.9 8.5 6
1979 11 1 6.2 8.8 6.2
1979 12 1 6.5 9.4 6.3
1980 1 1 6.8 10.1 6.5
1980 2 1 7 10.8 6.6
1980 3 1 7.2 11.2 6.7
1980 4 1 7.3 11.9 7.2
1980 5 1 8 12.6 9.3
1980 6 1 8.6 13 9.7
1980 7 1 9 13.2 9.9
1980 8 1 8.8 12.8 9.7
1980 9 1 8.8 12.8 9.5
1980 10 1 8.9 12.5 9.2
1980 11 1 8.8 12.2 9
1980 12 1 8.8 12 9
1981 1 1 8.7 12.3 9.3
1981 2 1 8.6 12.4 9.2
1981 3 1 8.7 12.3 9.1
1981 4 1 8.4 11.9 8.9
1981 5 1 8.4 11.9 9.1
1981 6 1 8.3 11.9 9.1
1981 7 1 8.2 12.1 9.3
1981 8 1 8.4 12.4 9.5
1981 9 1 8.5 12.5 9.7
