year mon tb3m cpiaucsl
1947 1 0.38 21.48
1947 2 0.38 21.62
1947 3 0.38 22
1947 4 0.38 22
1947 5 0.38 21.95
1947 6 0.38 22.08
1947 7 0.66 22.23
1947 8 0.75 22.4
1947 9 0.8 22.84
1947 10 0.85 22.91
1947 11 0.92 23.06
1947 12 0.95 23.41
1948 1 0.97 23.68
1948 2 1 23.67
1948 3 1 23.5
1948 4 1 23.82
1948 5 1 24.01
1948 6 1 24.15
1948 7 1 24.4
1948 8 1.06 24.43
1948 9 1.09 24.36
1948 10 1.12 24.31
1948 11 1.14 24.16
1948 12 1.16 24.05
1949 1 1.17 24.01
1949 2 1.17 23.91
1949 3 1.17 23.91
1949 4 1.17 23.92
1949 5 1.17 23.91
1949 6 1.17 23.92
1949 7 1.02 23.7
1949 8 1.04 23.7
1949 9 1.07 23.75
1949 10 1.05 23.67
1949 11 1.08 23.7
1949 12 1.1 23.61
1950 1 1.07 23.51
1950 2 1.12 23.61
1950 3 1.12 23.64
1950 4 1.15 23.65
1950 5 1.16 23.77
1950 6 1.15 23.88
1950 7 1.16 24.07
1950 8 1.2 24.2
1950 9 1.3 24.34
1950 10 1.31 24.5
1950 11 1.36 24.6
1950 12 1.34 24.98
1951 1 1.34 25.38
1951 2 1.36 25.83
1951 3 1.4 25.88
1951 4 1.47 25.92
1951 5 1.55 25.99
1951 6 1.45 25.93
1951 7 1.56 25.91
1951 8 1.62 25.86
1951 9 1.63 26.03
1951 10 1.54 26.16
1951 11 1.56 26.32
1951 12 1.73 26.47
1952 1 1.57 26.45
1952 2 1.54 26.41
1952 3 1.59 26.39
1952 4 1.57 26.46
1952 5 1.67 26.47
1952 6 1.7 26.53
1952 7 1.81 26.68
1952 8 1.83 26.69
1952 9 1.71 26.63
1952 10 1.74 26.69
1952 11 1.85 26.69
1952 12 2.09 26.71
1953 1 1.96 26.64
1953 2 1.97 26.59
1953 3 2.01 26.63
1953 4 2.19 26.69
1953 5 2.16 26.7
1953 6 2.11 26.77
1953 7 2.04 26.79
1953 8 2.04 26.85
1953 9 1.79 26.89
1953 10 1.38 26.95
1953 11 1.44 26.85
1953 12 1.6 26.87
1954 1 1.18 26.94
1954 2 0.97 26.99
1954 3 1.03 26.93
1954 4 0.97 26.86
1954 5 0.76 26.93
1954 6 0.64 26.94
1954 7 0.72 26.86
1954 8 0.92 26.85
1954 9 1.01 26.81
1954 10 0.98 26.72
1954 11 0.93 26.78
1954 12 1.15 26.77
1955 1 1.22 26.77
1955 2 1.17 26.82
1955 3 1.28 26.79
1955 4 1.59 26.79
1955 5 1.45 26.77
1955 6 1.41 26.71
1955 7 1.6 26.76
1955 8 1.9 26.72
1955 9 2.07 26.85
1955 10 2.23 26.82
1955 11 2.24 26.88
1955 12 2.54 26.87
1956 1 2.41 26.83
1956 2 2.32 26.86
1956 3 2.25 26.89
1956 4 2.6 26.93
1956 5 2.61 27.03
1956 6 2.49 27.15
1956 7 2.31 27.29
1956 8 2.6 27.31
1956 9 2.84 27.35
1956 10 2.9 27.51
1956 11 2.99 27.51
1956 12 3.21 27.63
1957 1 3.11 27.67
1957 2 3.1 27.8
1957 3 3.08 27.86
1957 4 3.07 27.93
1957 5 3.06 28
1957 6 3.29 28.11
1957 7 3.16 28.19
1957 8 3.37 28.28
1957 9 3.53 28.32
1957 10 3.58 28.32
1957 11 3.31 28.41
1957 12 3.04 28.47
1958 1 2.44 28.64
1958 2 1.53 28.7
1958 3 1.3 28.87
1958 4 1.13 28.94
1958 5 0.91 28.94
1958 6 0.83 28.91
1958 7 0.91 28.89
1958 8 1.69 28.94
1958 9 2.44 28.91
1958 10 2.63 28.91
1958 11 2.67 28.95
1958 12 2.77 28.97
1959 1 2.82 29.01
1959 2 2.7 29
1959 3 2.8 28.97
1959 4 2.95 28.98
1959 5 2.84 29.04
1959 6 3.21 29.11
1959 7 3.2 29.15
1959 8 3.38 29.18
1959 9 4.04 29.25
1959 10 4.05 29.35
1959 11 4.15 29.35
1959 12 4.49 29.41
1960 1 4.35 29.37
1960 2 3.96 29.41
1960 3 3.31 29.41
1960 4 3.23 29.54
1960 5 3.29 29.57
1960 6 2.46 29.61
1960 7 2.3 29.55
1960 8 2.3 29.61
1960 9 2.48 29.61
1960 10 2.3 29.75
1960 11 2.37 29.78
1960 12 2.25 29.81
1961 1 2.24 29.84
1961 2 2.42 29.84
1961 3 2.39 29.84
1961 4 2.29 29.81
1961 5 2.29 29.84
1961 6 2.33 29.84
1961 7 2.24 29.92
1961 8 2.39 29.94
1961 9 2.28 29.98
1961 10 2.3 29.98
1961 11 2.48 29.98
1961 12 2.6 30.01
1962 1 2.72 30.04
1962 2 2.73 30.11
1962 3 2.72 30.17
1962 4 2.73 30.21
1962 5 2.69 30.24
1962 6 2.73 30.21
1962 7 2.92 30.22
1962 8 2.82 30.28
1962 9 2.78 30.42
1962 10 2.74 30.38
1962 11 2.83 30.38
1962 12 2.87 30.38
1963 1 2.91 30.44
1963 2 2.92 30.48
1963 3 2.89 30.51
1963 4 2.9 30.48
1963 5 2.93 30.51
1963 6 2.99 30.61
1963 7 3.18 30.69
1963 8 3.32 30.75
1963 9 3.38 30.72
1963 10 3.45 30.75
1963 11 3.52 30.78
1963 12 3.52 30.88
1964 1 3.52 30.94
