year mon ipdcongd ipncongd ipbuseq ipmat
1947 1 11.1764 21.55 5.8735 13.5172
1947 2 11.5193 21.2241 5.9369 13.6239
1947 3 11.7707 21.1833 5.9685 14.0771
1947 4 11.8621 21.0204 6.0531 13.7305
1947 5 11.7478 20.8575 6.0847 13.7838
1947 6 11.8392 20.8575 6.127 13.6505
1947 7 11.6107 21.0611 6.0214 13.5172
1947 8 11.4964 21.3056 6.127 13.4906
1947 9 11.8849 21.4278 6.2115 13.6772
1947 10 12.0449 21.7129 6.2538 13.7838
1947 11 12.4106 21.9574 6.2538 14.1038
1947 12 12.5706 21.9166 6.3066 13.9438
1948 1 12.4335 21.8351 6.3594 13.9971
1948 2 12.2735 22.0388 6.3277 14.0771
1948 3 12.3649 21.7129 6.37 13.9438
1948 4 12.2506 21.9981 6.3277 13.8372
1948 5 12.0221 21.9981 6.3066 14.557
1948 6 12.5249 22.161 6.3911 14.5837
1948 7 12.8449 21.9166 6.4228 14.6903
1948 8 12.6392 21.7537 6.4122 14.5037
1948 9 12.2735 21.7944 6.3805 14.5303
1948 10 12.662 21.9166 6.296 14.557
1948 11 12.1821 21.9573 6.2538 14.4237
1948 12 11.725 21.7944 6.201 14.3437
1949 1 11.3593 21.6722 6.0531 14.0771
1949 2 11.1993 21.7537 6.0319 13.9971
1949 3 11.1764 21.9573 5.8946 13.4373
1949 4 11.1993 21.8759 5.7995 13.2506
1949 5 11.1307 21.9573 5.6728 12.8774
1949 6 11.405 21.9981 5.5777 12.6907
1949 7 11.7707 22.0796 5.472 12.6374
1949 8 11.9535 22.324 5.4192 12.8507
1949 9 12.3878 22.4055 5.3875 13.064
1949 10 12.5706 22.487 5.1657 11.7309
1949 11 11.8849 22.4055 5.0072 12.824
1949 12 11.7478 22.2425 5.0178 13.4372
1950 1 13.1191 22.6499 5.1129 13.5439
1950 2 13.0963 22.6499 5.2713 13.3039
1950 3 13.6448 22.9758 5.3242 14.2104
1950 4 14.6276 23.3424 5.4826 14.797
1950 5 15.3818 23.5054 5.715 15.2235
1950 6 16.6618 23.7091 5.9369 15.8101
1950 7 17.3474 24.1979 6.1376 16.2367
1950 8 17.8731 25.0941 6.4756 16.7166
1950 9 17.0732 24.7275 6.3172 16.9032
1950 10 16.7075 24.5646 6.4439 17.1165
1950 11 16.3647 24.6053 6.4967 16.9299
1950 12 16.2047 25.3385 6.6024 17.1965
1951 1 15.9075 25.6644 6.6869 17.0098
1951 2 15.9761 25.6237 6.782 17.1165
1951 3 15.8618 25.1349 6.877 17.4631
1951 4 15.1305 25.0126 7.0461 17.5964
1951 5 14.3533 24.7682 7.1094 17.7297
1951 6 13.6905 24.7275 7.194 17.8097
1951 7 12.2278 24.5238 7.2573 17.4897
1951 8 11.4278 24.2794 7.3524 17.1965
1951 9 11.9078 24.2794 7.5109 17.3031
1951 10 11.8164 24.2386 7.6376 17.0632
1951 11 12.0449 24.5646 7.775 17.1165
1951 12 12.1821 24.7275 7.87 17.1431
1952 1 12.1364 24.9719 8.0707 17.5431
1952 2 12.1135 25.2571 8.1658 17.3831
1952 3 12.3649 25.2978 8.2398 17.3831
1952 4 12.2506 25.3386 8.2081 17.0632
1952 5 12.6163 25.0534 8.2503 16.8232
1952 6 12.7535 25.9496 8.3031 15.8634
1952 7 11.5193 26.0311 7.9017 15.5168
1952 8 12.662 26.1126 8.039 17.4897
1952 9 13.9648 26.1126 8.2292 18.6362
1952 10 14.4219 26.3163 8.3137 18.5295
1952 11 15.359 26.6014 8.4193 19.0894
1952 12 15.4047 26.5607 8.5039 19.1427
1953 1 15.999 26.5199 8.5672 19.0361
