year mon uk   ca    us
1980 1 172436 624794 5908500
1980 4 169359 623433 5787400
1980 7 169038 623215 5776600
1980 10 167180 630215 5883500
1981 1 166052 645957 6005700
1981 4 166393 651954 5957800
1981 7 168651 647351 6030200
1981 10 168669 644030 5955100
1982 1 169296 637721 5857300
1982 4 171436 631494 5889100
1982 7 171441 625933 5866400
1982 10 172344 620116 5871000
1983 1 174865 629676 5944000
1983 4 176198 644156 6077600
1983 7 178303 650958 6197500
1983 10 180417 658832 6325600
1984 1 182112 670403 6448300
1984 4 180841 682008 6559600
1984 7 181680 684910 6623300
1984 10 184254 696525 6677300
1985 1 186331 706112 6740300
1985 4 189234 708095 6797300
1985 7 189223 719063 6903500
1985 10 190512 731258 6955900
1986 1 193389 728739 7022800
1986 4 195597 735118 7051000
1986 7 196672 737068 7119000
1986 10 199962 732947 7153400
1987 1 201057 748899 7193000
1987 4 203176 758202 7269500
1987 7 207640 770615 7332600
1987 10 209588 780940 7458000
1988 1 213072 792899 7496600
1988 4 214077 802215 7592900
1988 7 217050 804449 7632100
1988 10 218598 811244 7734000
1989 1 219411 819827 7806600
1989 4 220791 823547 7865000
1989 7 221012 825195 7927400
1989 10 221267 826342 7944700
1990 1 223108 832320 8027700
1990 4 224282 828846 8059600
1990 7 221618 823527 8059500
1990 10 220350 816578 7988900
1991 1 220151 804257 7950200
1991 4 219417 806395 8003800
1991 7 218586 809283 8037500
1991 10 218820 812268 8069000
1992 1 219114 811082 8157600
1992 4 218590 813393 8244300
1992 7 219674 816441 8329400
1992 10 220882 819574 8417000
1993 1 222234 825643 8432500
1993 4 223248 831011 8486400
1993 7 225176 836239 8531100
1993 10 227119 843845 8643800
1994 1 229547 856541 8727900
1994 4 232813 869369 8847300
1994 7 236056 881611 8904300
1994 10 237788 889523 9003200
1995 1 238611 897751 9025300
1995 4 239831 897729 9044700
1995 7 242574 897906 9120700
1995 10 243764 901870 9184300
1996 1 246104 903033 9247200
1996 4 247104 906638 9407100
1996 7 248725 917328 9488900
1996 10 250684 926458 9592500
1997 1 252750 935478 9666200
1997 4 254838 946273 9809600
1997 7 257393 958906 9932700
1997 10 260466 967189 10008900
1998 1 262483 979541 10103400
1998 4 264180 982093 10194300
1998 7 266462 992920 10328800
1998 10 269308 1009317 10507600
1999 1 270708 1025120 10592100
1999 4 272874 1037096 10674900
1999 7 276364 1051784 10810700
1999 10 279381 1069144 11004800
2000 1 282531 1083729 11033600
2000 4 285289 1096017 11248800
2000 7 286678 1109684 11258300
2000 10 287874 1112630 11325000
2001 1 291225 1117387 11287800
2001 4 291884 1118999 11361700
2001 7 293197 1117315 11330400
2001 10 294183 1126881 11370000
2002 1 296443 1140589 11467100
2002 4 297590 1147293 11528100
2002 7 299631 1157542 11586600
2002 10 301371 1166196 11590600
2003 1 303223 1171246 11638900
2003 4 306010 1169756 11737500
2003 7 308249 1173426 11930700
2003 10 311113 1183941 12038600
2004 1 314086 1192066 12117900
2004 4 315867 1206213 12195900
2004 7 316171 1219184 12286700
2004 10 318728 1227492 12387200
2005 1 319777 1231661 12515000
2005 4 322081 1240613 12570700
2005 7 324089 1253279 12670500
2005 10 326388 1265676 12735600
2006 1 329881 1279451 12896400
2006 4 330819 1280772 12948700
2006 7 332474 1282225 12950400
2006 10 335189 1289685 13038400
2007 1 338439 1298062 13056100
2007 4 340335 1308614 13173600
2007 7 342153 1315891 13269800
2007 10 343102 1322473 13326000
2008 1 344809 1320535 13266800
2008 4 343868 1322383 13310500
2008 7 340780 1325200 13186900
2008 10 333682 1313046 12883500
2009 1 326257 1286175 12663200
2009 4 323585 1274111 12641300
2009 7 322655 1279479 12694500
2009 10 324192 1295124 12813500
2010 1 325360 1312845 12937700
2010 4 328836 1320294 13058500
2010 7 330860 1328350 13139600
2010 10 329189 1338481 13216100
2011 1 330724 1350078 13227900
2011 4 331263 1348342 13271800
