year mon gpsave gpdi
1947 1 28 33.7
1947 4 26.5 32.4
1947 7 31.4 32.7
1947 10 31 41
1948 1 36.7 45
1948 4 43.2 48.1
1948 7 46.4 50.2
1948 10 47.9 49.1
1949 1 43.7 40.9
1949 4 40.3 34
1949 7 42.4 37.3
1949 10 37.9 35.2
1950 1 48.2 44.4
1950 4 45.4 49.9
1950 7 39.9 56.1
1950 10 50 65.9
1951 1 42.5 62.1
1951 4 56.4 64.8
1951 7 59.1 59.4
1951 10 58.9 54.4
1952 1 58.2 55.2
1952 4 55.7 49.9
1952 7 59 53.9
1952 10 58.8 57.1
1953 1 59.7 57.9
1953 4 60.4 58.1
1953 7 59.8 57.4
1953 10 57.9 52.3
1954 1 60.9 51.5
1954 4 59.7 51.2
1954 7 59.8 54.7
1954 10 62.5 57.8
1955 1 63.7 64.2
1955 4 66.6 68.1
1955 7 68.6 70
1955 10 69.4 73.9
1956 1 71.5 73
1956 4 73.9 71.4
1956 7 76.2 72.5
1956 10 77.3 71.2
1957 1 77.8 71.8
1957 4 79.9 71.9
1957 7 79.8 73.2
1957 10 76.8 64.9
1958 1 75.8 60.5
1958 4 76.5 58.7
1958 7 81 65.5
1958 10 84.7 73.2
1959 1 84.2 76.2
1959 4 88.1 82.2
1959 7 81.4 76.4
1959 10 84.7 79.3
1960 1 87.5 89.1
1960 4 83.5 79.7
1960 7 85.1 78.7
1960 10 83.4 68.1
1961 1 86.3 70.3
1961 4 90 75.8
1961 7 94.5 82.4
1961 10 96.8 84.2
1962 1 101.1 89.4
1962 4 100.5 87.9
1962 7 100.5 89.3
1962 10 101 86
1963 1 101.9 90.5
1963 4 103.9 92.2
1963 7 104.2 95
1963 10 108.9 97.4
1964 1 113.8 100.7
1964 4 118.7 100.6
1964 7 117.8 102.5
1964 10 121.9 104.6
1965 1 124.9 115.7
1965 4 126.7 115.8
1965 7 133.7 119.7
1965 10 133.9 121.8
1966 1 135.4 131.7
1966 4 136 130.7
1966 7 137.7 130.2
1966 10 145.8 132.7
1967 1 149.3 129.3
1967 4 146.7 123.7
1967 7 152.4 128.5
1967 10 157.6 132.9
1968 1 152.6 137.2
1968 4 158.5 143.4
1968 7 150.5 139.7
1968 10 154.4 144.4
1969 1 150.1 155.7
1969 4 152.7 155.7
1969 7 164.2 160.3
