year mon Brazil Korea Israel
1997 1 3.455078 5.572181 3.812704
1997 4 4.930598 7.044921 4.456330
1997 7 1.728205 6.392008 1.985707
1997 10 3.539931 4.101193 3.035993
1998 1 0.5521791 3.774856 4.047532
1998 4 1.398343 7.427299 3.148138
1998 7 0.1523982 7.139587 4.931783
1998 10 1.844296 4.452414 3.246633
1999 1 0.2073656 5.806828 0.8876517
1999 4 0.8791817 11.25802 4.44323
1999 7 0.6046679 12.41457 4.035834
1999 10 2.320159 13.37308 5.878669
2000 1 4.172800 12.22644 8.154538
2000 4 3.929371 9.198039 7.985875
2000 7 4.643377 9.388124 10.21018
2000 10 4.364953 4.732144 8.117925
2001 1 3.206247 4.166072 5.779573
2001 4 2.316103 4.216037 0.921817
2001 7 0.4770623 3.080726 3.132066
2001 10 0.7605407 4.449048 3.983695
2002 1 0.05116695 6.536136 2.466671
2002 4 1.890142 7.061344 0.7779448
2002 7 3.848845 7.042266 1.053436
2002 10 4.813131 7.940924 1.393875
2003 1 2.341122 3.620036 1.244701
2003 4 0.8176303 1.877742 0.9046125
2003 7 0.6091054 2.068872 1.954793
2003 10 0.9065468 3.648248 3.066754
2004 1 4.079044 5.226722 3.887135
2004 4 6.226446 5.937515 4.493135
2004 7 6.374373 4.716532 4.594044
2004 10 6.167066 2.676981 5.473285
2005 1 4.005575 2.670673 4.871431
2005 4 4.363947 3.386851 5.439406
2005 7 2.083992 4.581392 4.986434
2005 10 2.242673 5.164731 4.987317
2006 1 4.176229 5.995161 5.91166
2006 4 1.990759 5.081283 6.659492
2006 7 4.682087 5.025536 5.03953
2006 10 4.877129 4.641988 5.521172
2007 1 5.172449 4.418757 5.405843
2007 4 6.481062 5.28695 4.969223
2007 7 6.005759 4.929783 6.94102
2007 10 6.630562 5.770705 6.285799
2008 1 6.336946 5.297477 5.954911
2008 4 6.512597 4.160554 5.200397
2008 7 7.094425 3.1559 4.016158
2008 10 0.8703395 3.231752 2.061218
2009 1 2.445125 4.036666 0.09665513
2009 4 2.445539 1.978173 0.2409081
2009 7 1.485225 1.218731 0.4337983
2009 10 5.251532 6.326388 2.138830
2010 1 9.088427 8.573488 4.224704
2010 4 8.839185 7.390833 5.202018
2010 7 7.089673 4.500398 5.464018
2010 10 5.336313 4.982289 5.969482
2011 1 4.070762 4.03938 5.682005
2011 4 3.332951 3.480835 5.114066
2011 7 2.232126 3.667777 4.674864
2011 10 1.361846 3.357199 3.651426
2012 1 0.671388 2.896960 3.281272
2012 4 0.5080834 2.317348 3.213847
