soi,date
0.377,1950-01-01
0.246,1950-02-01
0.311,1950-03-01
0.104,1950-04-01
-0.016,1950-05-01
0.235,1950-06-01
0.137,1950-07-01
0.191,1950-08-01
-0.016,1950-09-01
0.29,1950-10-01
0.038,1950-11-01
-0.016,1950-12-01
-0.158,1951-01-01
0.366,1951-02-01
0.607,1951-03-01
-0.355,1951-04-01
-0.18,1951-05-01
0.268,1951-06-01
0.093,1951-07-01
0.027,1951-08-01
0.246,1951-09-01
0.202,1951-10-01
0.432,1951-11-01
0.617,1951-12-01
0.76,1952-01-01
0.891,1952-02-01
0.607,1952-03-01
0.574,1952-04-01
0.005,1952-05-01
0.475,1952-06-01
0.202,1952-07-01
-0.027,1952-08-01
-0.038,1952-09-01
0.716,1952-10-01
0.836,1952-11-01
0.891,1952-12-01
0.53,1953-01-01
0.53,1953-02-01
0.377,1953-03-01
-0.235,1953-04-01
-0.585,1953-05-01
-0.18,1953-06-01
-0.53,1953-07-01
-0.464,1953-08-01
-0.443,1953-09-01
0.049,1953-10-01
0.454,1953-11-01
0.257,1953-12-01
0.41,1954-01-01
0.224,1954-02-01
0.148,1954-03-01
-0.432,1954-04-01
-0.093,1954-05-01
-0.268,1954-06-01
0.158,1954-07-01
-0.06,1954-08-01
-0.399,1954-09-01
0.235,1954-10-01
0.366,1954-11-01
0.202,1954-12-01
0.344,1955-01-01
-0.038,1955-02-01
0.29,1955-03-01
-0.126,1955-04-01
-0.366,1955-05-01
-0.115,1955-06-01
-0.301,1955-07-01
-0.486,1955-08-01
-0.137,1955-09-01
0.738,1955-10-01
0.366,1955-11-01
0.366,1955-12-01
0.65,1956-01-01
0.628,1956-02-01
0.126,1956-03-01
0.169,1956-04-01
0.137,1956-05-01
-0.257,1956-06-01
0.169,1956-07-01
-0.093,1956-08-01
0.475,1956-09-01
0.639,1956-10-01
0.596,1956-11-01
0.749,1956-12-01
0.191,1957-01-01
1,1957-02-01
0.486,1957-03-01
0.41,1957-04-01
0.158,1957-05-01
0.126,1957-06-01
0.06,1957-07-01
0.246,1957-08-01
0.738,1957-09-01
0.803,1957-10-01
0.421,1957-11-01
0.617,1957-12-01
0.705,1958-01-01
0.639,1958-02-01
0.454,1958-03-01
0.311,1958-04-01
0.355,1958-05-01
-0.158,1958-06-01
-0.038,1958-07-01
0.115,1958-08-01
0.137,1958-09-01
0.257,1958-10-01
0.115,1958-11-01
0.038,1958-12-01
0.082,1959-01-01
0.148,1959-02-01
0.06,1959-03-01
-0.191,1959-04-01
-0.607,1959-05-01
-0.585,1959-06-01
-0.268,1959-07-01
-0.093,1959-08-01
-0.093,1959-09-01
0.257,1959-10-01
-0.005,1959-11-01
0.224,1959-12-01
0.169,1960-01-01
0.432,1960-02-01
0.202,1960-03-01
-0.366,1960-04-01
-0.661,1960-05-01
0.093,1960-06-01
-0.716,1960-07-01
0.148,1960-08-01
-0.093,1960-09-01
0.279,1960-10-01
0.432,1960-11-01
-0.104,1960-12-01
0.607,1961-01-01
0.18,1961-02-01
0.071,1961-03-01
0.246,1961-04-01
-0.432,1961-05-01
0.06,1961-06-01
-0.388,1961-07-01
0.202,1961-08-01
-0.104,1961-09-01
0.191,1961-10-01
0.475,1961-11-01
0.552,1961-12-01
0.169,1962-01-01
0.333,1962-02-01
-0.005,1962-03-01
-0.038,1962-04-01
-0.126,1962-05-01
-0.443,1962-06-01
-0.016,1962-07-01
0.027,1962-08-01
0.333,1962-09-01
0.355,1962-10-01
0.344,1962-11-01
0.115,1962-12-01
0.311,1963-01-01
0.596,1963-02-01
0.005,1963-03-01
0.388,1963-04-01
-0.5080001,1963-05-01
-0.552,1963-06-01
-0.858,1963-07-01
-0.596,1963-08-01
0.06,1963-09-01
0.071,1963-10-01
0.224,1963-11-01
0.279,1963-12-01
0.322,1964-01-01
0.18,1964-02-01
0.126,1964-03-01
0.082,1964-04-01
0.126,1964-05-01
-0.213,1964-06-01
-0.235,1964-07-01
0.169,1964-08-01
0.388,1964-09-01
0.519,1964-10-01
0.126,1964-11-01
0.41,1964-12-01
0.738,1965-01-01
0.443,1965-02-01
0.596,1965-03-01
-0.137,1965-04-01
-0.486,1965-05-01
-0.377,1965-06-01
0.268,1965-07-01
-0.169,1965-08-01
-0.213,1965-09-01
-0.191,1965-10-01
0.377,1965-11-01
0.126,1965-12-01
0.311,1966-01-01
0.388,1966-02-01
0.388,1966-03-01
0.18,1966-04-01
-0.333,1966-05-01
0.049,1966-06-01
-0.082,1966-07-01
0.191,1966-08-01
0.399,1966-09-01
0.093,1966-10-01
0.005,1966-11-01
0.366,1966-12-01
0.333,1967-01-01
0.377,1967-02-01
0.071,1967-03-01
-0.158,1967-04-01
-0.541,1967-05-01
-0.683,1967-06-01
-0.683,1967-07-01
-0.344,1967-08-01
-0.301,1967-09-01
0.202,1967-10-01
-0.126,1967-11-01
0.082,1967-12-01
0.115,1968-01-01
0.464,1968-02-01
0.104,1968-03-01
-0.18,1968-04-01
-0.672,1968-05-01
0.104,1968-06-01
-0.486,1968-07-01
0.093,1968-08-01
0.279,1968-09-01
0.104,1968-10-01
0.18,1968-11-01
0.475,1968-12-01
0.53,1969-01-01
0.661,1969-02-01
0.355,1969-03-01
-0.344,1969-04-01
-0.038,1969-05-01
0.235,1969-06-01
0.486,1969-07-01
0.169,1969-08-01
0.333,1969-09-01
0.137,1969-10-01
0.169,1969-11-01
0.333,1969-12-01
0.705,1970-01-01
0.377,1970-02-01
0.585,1970-03-01
-0.126,1970-04-01
-0.213,1970-05-01
0.148,1970-06-01
-0.126,1970-07-01
-0.344,1970-08-01
-0.5080001,1970-09-01
0.279,1970-10-01
0.082,1970-11-01
0.355,1970-12-01
0.082,1971-01-01
0.574,1971-02-01
0.355,1971-03-01
-0.257,1971-04-01
-0.377,1971-05-01
-0.344,1971-06-01
-0.65,1971-07-01
-0.093,1971-08-01
-0.137,1971-09-01
0.115,1971-10-01
0.705,1971-11-01
0.399,1971-12-01
0.366,1972-01-01
0.366,1972-02-01
0.038,1972-03-01
-0.268,1972-04-01
0.322,1972-05-01
0.082,1972-06-01
0.082,1972-07-01
0.06,1972-08-01
0.268,1972-09-01
0.421,1972-10-01
0.77,1972-11-01
0.803,1972-12-01
0.661,1973-01-01
0.716,1973-02-01
0.628,1973-03-01
0.191,1973-04-01
0.53,1973-05-01
0.18,1973-06-01
-0.464,1973-07-01
0.279,1973-08-01
0.355,1973-09-01
0.202,1973-10-01
0.552,1973-11-01
0.617,1973-12-01
0.104,1974-01-01
0.224,1974-02-01
0.432,1974-03-01
-0.213,1974-04-01
-0.967,1974-05-01
-1,1974-06-01
-0.432,1974-07-01
-0.683,1974-08-01
-0.5080001,1974-09-01
-0.137,1974-10-01
0.082,1974-11-01
-0.06,1974-12-01
0.333,1975-01-01
0.355,1975-02-01
0.388,1975-03-01
-0.06,1975-04-01
-0.202,1975-05-01
0.005,1975-06-01
-0.115,1975-07-01
0.137,1975-08-01
0.454,1975-09-01
0.388,1975-10-01
0.738,1975-11-01
0.77,1975-12-01
0.803,1976-01-01
0.836,1976-02-01
0.65,1976-03-01
0.005,1976-04-01
-0.366,1976-05-01
0.071,1976-06-01
-0.005,1976-07-01
-0.454,1976-08-01
0.191,1976-09-01
0.432,1976-10-01
0.683,1976-11-01
0.388,1976-12-01
0.235,1977-01-01
-0.093,1977-02-01
0.475,1977-03-01
-0.082,1977-04-01
-0.617,1977-05-01
-0.093,1977-06-01
-0.071,1977-07-01
0.432,1977-08-01
0.421,1977-09-01
0.497,1977-10-01
0.454,1977-11-01
0.596,1977-12-01
0.552,1978-01-01
0.607,1978-02-01
0.464,1978-03-01
-0.301,1978-04-01
-0.77,1978-05-01
-0.65,1978-06-01
-0.694,1978-07-01
-0.137,1978-08-01
-0.464,1978-09-01
-0.246,1978-10-01
0.169,1978-11-01
-0.202,1978-12-01
0.082,1979-01-01
0.607,1979-02-01
-0.158,1979-03-01
-0.454,1979-04-01
-0.781,1979-05-01
-0.388,1979-06-01
0.18,1979-07-01
0.06,1979-08-01
-0.5080001,1979-09-01
-0.268,1979-10-01
0.224,1979-11-01
0.115,1979-12-01
0.399,1980-01-01
0.027,1980-02-01
0.016,1980-03-01
-0.377,1980-04-01
-0.18,1980-05-01
-0.038,1980-06-01
-0.202,1980-07-01
0.137,1980-08-01
0.093,1980-09-01
-0.279,1980-10-01
-0.038,1980-11-01
0.235,1980-12-01
0.169,1981-01-01
0.399,1981-02-01
0.158,1981-03-01
-0.541,1981-04-01
-0.628,1981-05-01
0.027,1981-06-01
-0.738,1981-07-01
-0.913,1981-08-01
-0.027,1981-09-01
0.071,1981-10-01
-0.126,1981-11-01
0.049,1981-12-01
0.454,1982-01-01
0.301,1982-02-01
-0.005,1982-03-01
-0.093,1982-04-01
-0.224,1982-05-01
-0.213,1982-06-01
-0.311,1982-07-01
-0.235,1982-08-01
-0.322,1982-09-01
0.322,1982-10-01
0.093,1982-11-01
0.115,1982-12-01
0.77,1983-01-01
0.607,1983-02-01
-0.158,1983-03-01
-0.235,1983-04-01
-0.202,1983-05-01
-0.333,1983-06-01
-0.158,1983-07-01
-0.224,1983-08-01
-0.355,1983-09-01
0.005,1983-10-01
0.454,1983-11-01
0.41,1983-12-01
0.519,1984-01-01
0.541,1984-02-01
0.301,1984-03-01
-0.574,1984-04-01
-0.344,1984-05-01
-0.279,1984-06-01
-0.716,1984-07-01
-0.869,1984-08-01
-0.596,1984-09-01
-0.29,1984-10-01
-0.454,1984-11-01
-0.246,1984-12-01
-0.607,1985-01-01
-0.563,1985-02-01
-0.235,1985-03-01
-0.246,1985-04-01
-0.399,1985-05-01
-0.333,1985-06-01
-0.53,1985-07-01
-0.049,1985-08-01
0.158,1985-09-01
0.115,1985-10-01
0.322,1985-11-01
0.115,1985-12-01
0.049,1986-01-01
0.454,1986-02-01
0.158,1986-03-01
-0.421,1986-04-01
-0.268,1986-05-01
-0.311,1986-06-01
-0.115,1986-07-01
-0.322,1986-08-01
-0.322,1986-09-01
0.126,1986-10-01
0.333,1986-11-01
0.519,1986-12-01
0.399,1987-01-01
0.519,1987-02-01
0.432,1987-03-01
0.355,1987-04-01
-0.126,1987-05-01
-0.5080001,1987-06-01
-0.388,1987-07-01
0.388,1987-08-01
0.071,1987-09-01
